Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2OzhQlSqBEmt7hmkYxfT6m,"Fortnight (feat. Post Malone)","THE TORTURED POETS DEPARTMENT","Taylor Swift,Post Malone",2024-04-18,228965,84,7n5kk893haxvvrzbp26liy81s,2024-05-02T18:44:06Z,"","Taylor Swift",0.504,0.386,11,-10.976,1,0.0308,0.502,0.0000153,0.0961,0.281,192.004,4
51eSHglvG1RJXtL3qI5trr,"Slow It Down","Fireworks & Rollerblades","Benson Boone",2024-04-05,161831,87,7n5kk893haxvvrzbp26liy81s,2024-05-02T18:44:10Z,"","Night Street Records, Inc./Warner Records Inc.",0.432,0.583,8,-4.682,1,0.0687,0.174,0,0.0933,0.544,181.489,4
4KULAymBBJcPRpk1yO4dOG,"I Remember Everything (feat. Kacey Musgraves)","Zach Bryan","Zach Bryan,Kacey Musgraves",2023-08-25,227195,87,7n5kk893haxvvrzbp26liy81s,2024-05-02T18:44:16Z,"country,red dirt","Warner Records",0.429,0.453,0,-7.746,1,0.0459,0.554,0.000002,0.102,0.155,77.639,4
1bjeWoagtHmUKputLVyDxQ,"Saturn","Saturn","SZA",2024-02-22,186191,82,7n5kk893haxvvrzbp26liy81s,2024-05-02T18:44:22Z,"r&b","Top Dawg Entertainment/RCA Records",0.411,0.619,1,-6.834,1,0.0368,0.62,0,0.11,0.337,177.937,4
4q5YezDOIPcoLr8R81x9qy,"I Can Do It With a Broken Heart","THE TORTURED POETS DEPARTMENT","Taylor Swift",2024-04-18,218004,82,7n5kk893haxvvrzbp26liy81s,2024-05-02T18:44:27Z,"","Taylor Swift",0.701,0.751,0,-8.39,1,0.0502,0.123,0,0.15,0.22,129.994,4
3xkHsmpQCBMytMJNiDf3Ii,"Beautiful Things","Fireworks & Rollerblades","Benson Boone",2024-04-05,180304,91,7n5kk893haxvvrzbp26liy81s,2024-05-02T18:44:31Z,"","Night Street Records, Inc./Warner Records Inc.",0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,3
0W0iAC1VGlB82PI6elxFYf,"Guilty as Sin?","THE TORTURED POETS DEPARTMENT","Taylor Swift",2024-04-18,254365,76,7n5kk893haxvvrzbp26liy81s,2024-05-02T18:44:37Z,"","Taylor Swift",0.626,0.428,2,-8.374,1,0.0261,0.607,0,0.0921,0.487,94.95,3
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Idol Episode 4 (Music from the HBO Original Series)","The Weeknd,JENNIE,Lily-Rose Depp",2023-06-23,244684,92,7n5kk893haxvvrzbp26liy81s,2024-05-02T18:44:42Z,"k-pop","XO / Republic Records",0.264,0.64,8,-6.221,1,0.0442,0.0393,0.00000231,0.151,0.19,84.828,4
0FlwhvrncUKrEAhzunmCKm,"Forever","Stick Season (Forever)","Noah Kahan",2024-02-09,268353,74,7n5kk893haxvvrzbp26liy81s,2024-05-02T18:44:48Z,"","Mercury Records/Republic Records",0.394,0.256,0,-10.944,1,0.036,0.765,0,0.116,0.215,94.367,4
2F3N9tdombb64aW6VtZOdo,"Down Bad","THE TORTURED POETS DEPARTMENT","Taylor Swift",2024-04-18,261228,74,7n5kk893haxvvrzbp26liy81s,2024-05-02T18:44:59Z,"","Taylor Swift",0.541,0.366,11,-10.412,1,0.0748,0.56,0.000001,0.0946,0.168,159.707,4
