Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0P6AWOA4LG1XOctzaVu5tt,"The Weekend - Funk Wav Remix","The Weekend (Funk Wav Remix)","SZA,Calvin Harris,Funk Wav",2017-12-15,171805,74,rebeccalyons29,2020-09-04T09:02:48Z,"r&b,edm","Top Dawg Entertainment/RCA Records",0.775,0.573,11,-4.933,1,0.0585,0.495,0,0.126,0.667,101.925,4
3FtYbEfBqAlGO46NUDQSAt,"Electric Feel","Oracular Spectacular","MGMT",2007-12-14,229640,80,rebeccalyons29,2020-09-04T09:02:57Z,"indie","Red Ink/Columbia",0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,3
1e9oZCCiX42nJl0AcqriVo,"Watermelon Sugar","Watermelon Sugar","Harry Styles",2019-11-17,174000,2,rebeccalyons29,2020-09-04T09:03:05Z,"","Columbia",0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4
2GiJYvgVaD2HtM8GqD9EgQ,"Electric Love","Dopamine","BØRNS",2015-10-16,218106,80,rebeccalyons29,2020-09-04T09:03:20Z,"","UMGRI Interscope",0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
7w87IxuO7BDcJ3YUqCyMTT,"Pumped Up Kicks","Torches","Foster The People",2011-05-23,239600,86,rebeccalyons29,2020-09-04T09:03:28Z,"","Columbia",0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,4
3yvZ1VUso9Xi7EvIyLaj4o,"Royals","Pure Heroine","Lorde",2013-01-01,190185,1,rebeccalyons29,2020-09-04T09:04:05Z,"","Universal Music Group",0.636,0.436,7,-9.524,1,0.139,0.112,0,0.135,0.331,84.804,4
0GONea6G2XdnHWjNZd6zt3,"Summer Of '69","Reckless (30th Anniversary / Deluxe Edition)","Bryan Adams",1984-11-05,216053,82,rebeccalyons29,2020-09-04T09:04:35Z,"","A&M",0.509,0.834,2,-6.205,1,0.0386,0.0183,0,0.0732,0.774,139.13,4
3528IXKpbb7OMjdjWYlbfD,"Everybody Talks","Picture Show (Deluxe Edition)","Neon Trees",2012-01-01,177280,48,rebeccalyons29,2020-09-04T09:04:52Z,"","Mercury Records",0.471,0.924,8,-3.906,1,0.0584,0.00301,0,0.313,0.716,154.962,4
4DnKssL3N9jv5aox9Xsavc,"Find an Island","Find an Island","BENEE",2019-10-11,192666,0,rebeccalyons29,2020-09-04T09:05:11Z,"","Republic Records",0.836,0.681,2,-3.793,0,0.045,0.285,0,0.0727,0.852,81.566,4
1CQ2cMfrmFM1YdfmjENKVE,"She Looks So Perfect","5 Seconds Of Summer","5 Seconds of Summer",2014-06-27,202496,74,rebeccalyons29,2020-09-04T09:05:30Z,"","Capitol",0.494,0.951,9,-4.237,1,0.132,0.000569,0,0.327,0.441,160.025,4
5Z3GHaZ6ec9bsiI5BenrbY,"Young Dumb & Broke","American Teen","Khalid",2017-04-27,202546,81,rebeccalyons29,2020-09-04T09:05:50Z,"","Right Hand Music Group, LLC/RCA Records",0.799,0.539,1,-6.351,1,0.0421,0.199,0.0000166,0.165,0.394,136.948,4
7KWGfnsUU4Ri46TIvjpAPx,"Home - 2019 - Remaster","Up From Below (10th Anniversary Edition) [2019 - Remaster]","Edward Sharpe & The Magnetic Zeros",2009-07-07,306373,2,rebeccalyons29,2020-09-04T09:06:03Z,"","Vagrant Records",0.53,0.634,2,-5.759,1,0.0311,0.249,0.000622,0.0979,0.106,111.615,4
003vvx7Niy0yvhvHt4a68B,"Mr. Brightside","Hot Fuss","The Killers",2004,222973,88,rebeccalyons29,2020-09-04T09:06:05Z,"alternative rock","Island Records",0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,4
0GO8y8jQk1PkHzS31d699N,"Tongue Tied","Never Trust a Happy Song","GROUPLOVE",2011-09-02,218013,80,rebeccalyons29,2020-09-04T09:06:08Z,"indie","Canvasback/ATL",0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96,4
1jJci4qxiYcOHhQR247rEU,"Kids","Oracular Spectacular","MGMT",2007-12-14,302840,82,rebeccalyons29,2020-09-04T09:06:11Z,"indie","Red Ink/Columbia",0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,4
4u7EnebtmKWzUH433cf5Qv,"Bohemian Rhapsody - Remastered 2011","A Night At The Opera (2011 Remaster)","Queen",1975-11-21,354320,80,rebeccalyons29,2020-09-04T09:06:15Z,"classic rock,rock,glam rock","EMI",0.411,0.404,0,-9.928,0,0.0511,0.271,0,0.3,0.226,71.068,4
39q7xibBdRboeMKUbZEB6g,"Take Me Home, Country Roads","The John Denver Collection, Vol 1: Take Me Home Country Roads","John Denver",1997-06-17,197813,2,rebeccalyons29,2020-09-04T09:06:24Z,"folk","Windstar Records",0.255,0.43,9,-12.564,1,0.0322,0.546,0.0000187,0.188,0.546,164.267,4
1Cv1YLb4q0RzL6pybtaMLo,"Sunday Best","Where the Light Is","Surfaces",2019-01-06,158571,8,rebeccalyons29,2020-09-04T09:06:37Z,"","Surfaces, LLC / TenThousand Projects, LLC",0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112.022,4
2Yer0p7uB2lVBUAtANuuQp,"Magic In The Hamptons (feat. Lil Yachty)","Magic In The Hamptons (feat. Lil Yachty)","Social House,Lil Yachty",2018-06-08,164640,71,rebeccalyons29,2020-09-04T09:06:39Z,"","Silent Records / Social House",0.769,0.479,1,-5.339,1,0.0385,0.66,0,0.0914,0.803,96.051,4
0uI7yAKUf52Cn7y3sYyjiX,"3 Nights","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,177666,78,rebeccalyons29,2020-09-04T09:06:43Z,"","Columbia",0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,4
0Rx0DJI556Ix5gBny6EWmn,"Paradise","Soul Searching","Bazzi",2019-08-09,169038,71,rebeccalyons29,2020-09-04T09:06:47Z,"","iamcosmic",0.844,0.644,11,-6.273,0,0.0479,0.0828,0,0.113,0.591,122.061,4
0TEekvXTomKt3hdXDZxxeW,"Ribs","Pure Heroine (Extended)","Lorde",2013-01-01,258969,2,rebeccalyons29,2020-09-04T09:06:53Z,"","Universal Music New Zealand Limited",0.511,0.472,4,-9.277,1,0.091,0.534,0.614,0.11,0.0399,127.978,4
0rzWENXdfcLTgyt5DByGTy,"Honeypie","Honeypie","JAWNY",2019-04-25,135521,0,rebeccalyons29,2020-09-04T09:07:12Z,"bedroom pop","Johnny Utah LLC",0.743,0.683,5,-4.606,0,0.201,0.0713,0,0.15,0.926,115.033,4
0y60itmpH0aPKsFiGxmtnh,"Wait a Minute!","ARDIPITHECUS","WILLOW",2015-01-11,196520,79,rebeccalyons29,2020-09-04T09:07:24Z,"","Roc Nation W Smith P&D",0.764,0.705,3,-5.279,0,0.0278,0.0371,0.0000194,0.0943,0.672,101.003,4
15jRg8Ejs7X3JEHw38TSN3,"Team","Pure Heroine (Extended)","Lorde",2013-01-01,193058,1,rebeccalyons29,2020-09-04T09:07:50Z,"","Universal Music New Zealand Limited",0.69,0.578,6,-7.436,1,0.0929,0.167,0,0.305,0.416,99.961,4
6IGA5YrFiEr5ANrMqKkR6H,"Good Grief","Wild World","Bastille",2016-09-09,206493,66,rebeccalyons29,2020-09-04T09:07:53Z,"","EMI (Virgin)",0.731,0.758,1,-4.888,1,0.065,0.143,0,0.311,0.88,120.041,4
6ap9lSRJ0iLriGLqoJ44cq,"CITY OF ANGELS","DROPPED OUTTA COLLEGE","24kGoldn",2019-11-22,112493,65,rebeccalyons29,2020-09-04T09:07:54Z,"","Records/Columbia",0.686,0.541,0,-4.993,0,0.0493,0.042,0,0.0675,0.724,120.082,4
