Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
12qZHAeOyTf93YAWvGDTat,"All The Small Things","Enema Of The State","blink-182",1999-01-01,168000,8,124192786,2017-09-21T22:08:31Z,"pop punk,punk,emo pop,rock,skate punk,emo","Universal Music Group",0.442,0.893,0,-4.878,1,0.0505,0.00844,0,0.529,0.712,148.119,4
00Mb3DuaIH1kjrwOku9CGU,"Sk8er Boi","Let Go","Avril Lavigne",2002-06-04,204000,78,124192786,2017-09-21T22:45:02Z,"","Arista",0.487,0.9,0,-4.417,1,0.0482,0.0000679,0,0.358,0.484,149.937,4
23oxJmDc1V9uLUSmN2LIvx,"Ocean Avenue","Ocean Avenue","Yellowcard",2003-01-01,198266,73,124192786,2017-09-21T22:21:27Z,"pop punk,emo pop,punk,emo","Capitol Records",0.486,0.904,6,-3.751,0,0.0638,0.0000343,0.0000283,0.0947,0.786,173.734,4
3xrn9i8zhNZsTtcoWgQEAd,"Since U Been Gone","Breakaway","Kelly Clarkson",2004-01-17,188960,77,124192786,2017-09-21T21:42:56Z,"christmas","RCA Records Label",0.662,0.741,0,-5.406,1,0.0334,0.00165,0.0303,0.114,0.404,131,4
4UuHWIkAWnN176A2rx7YFB,"1985","A Hangover You Don't Deserve","Bowling For Soup",2004-09-11,193000,51,124192786,2017-09-21T22:35:20Z,"pop punk,punk","Jive",0.607,0.878,4,-4.422,1,0.0665,0.000246,0,0.337,0.853,119.955,4
33iv3wnGMrrDugd7GBso1z,"My Own Worst Enemy","A Place In The Sun","Lit",1999-02-22,169026,74,124192786,2017-09-21T22:11:42Z,"pop punk","RCA Records Label",0.494,0.946,4,-2.757,1,0.0637,0.00129,0,0.398,0.741,103.408,4
5IVuqXILoxVWvWEPm82Jxr,"Crazy In Love (feat. JAY-Z)","Dangerously In Love","Beyoncé,JAY-Z",2003-06-24,236133,79,124192786,2018-06-25T00:32:53Z,"hip hop,east coast hip hop,rap","Columbia",0.646,0.77,2,-6.596,0,0.226,0.00249,0,0.0715,0.681,99.165,4
4rTeOSYqwXNz5qPR2DUTFZ,"Everybody (Backstreet's Back) - Radio Edit","This Is The End: Original Motion Picture Soundtrack","Backstreet Boys",2013-06-10,224960,56,124192786,2017-09-21T22:43:54Z,"","RCA Records Label",0.735,0.873,10,-3.493,0,0.0402,0.025,0.00000327,0.265,0.586,108.021,4
7oK9VyNzrYvRFo7nQEYkWN,"Mr. Brightside","Hot Fuss","The Killers",2004-06-15,222586,14,124192786,2017-09-21T21:44:03Z,"alternative rock","Island Records",0.356,0.924,1,-3.74,1,0.0808,0.00101,0,0.0953,0.232,148.017,4
0ZUo4YjG4saFnEJhdWp9Bt,"Before He Cheats","Some Hearts","Carrie Underwood",2005-11-14,199946,77,124192786,2017-11-22T19:24:46Z,"country","Arista",0.519,0.749,6,-3.318,0,0.0405,0.271,0,0.119,0.29,147.905,4
4KacUpvbA3Mfo05gttTjhN,"Fat Lip","All Killer, No Filler","Sum 41",2001-01-01,178266,74,124192786,2017-09-21T22:22:31Z,"pop punk,punk,skate punk","Island Records",0.403,0.914,9,-5.215,1,0.142,0.000579,0,0.065,0.626,196.482,4
4srpHYFHKjVGRDNHqRpWxi,"TiK ToK","Animal + Cannibal (Deluxe Edition)","Kesha",2010-11-19,199693,0,124192786,2017-09-21T21:45:46Z,"","RCA Records Label",0.755,0.832,2,-2.741,0,0.116,0.0746,0.00000127,0.291,0.735,120.032,4
1sxUaLi0G2vB7dl4ogtCxH,"Never Let You Go - 2008 Remaster","Blue","Third Eye Blind",1999,237240,67,124192786,2017-09-21T22:37:58Z,"","Elektra Records",0.728,0.94,4,-5.034,1,0.0368,0.0814,0.000162,0.109,0.967,113.76,4
7xHsIaGEmiZunovi6oFtQz,"Angel","Hot Shot","Shaggy,Rayvon",2000-08-08,235133,0,124192786,2018-08-26T00:56:32Z,"reggae","Geffen",0.802,0.77,6,-2.998,1,0.0925,0.143,0,0.0424,0.778,85.286,4
1yKu2MhpwzDXXH2tzG6xoa,"Beverly Hills","Make Believe","Weezer",2005-05-10,196093,71,124192786,2017-11-22T20:16:53Z,"alternative rock","Geffen",0.693,0.823,5,-3.761,1,0.0726,0.0932,0,0.328,0.741,87.904,4
5Q0Nhxo0l2bP3pNjpGJwV1,"Party In The U.S.A.","The Time Of Our Lives","Miley Cyrus",2009-01-01,202066,77,124192786,2017-09-21T21:46:00Z,"","Hollywood Records",0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4
5nkYHBWXu7KCgcdwP6jcB1,"What I Got","Sublime","Sublime",1996-07-30,171066,46,124192786,2017-09-21T22:14:06Z,"reggae rock,ska punk,ska","Gasoline Alley",0.799,0.696,7,-7.513,1,0.0858,0.0128,0.000333,0.331,0.62,95.637,4
1kusepF3AacIEtUTYrw4GV,"Paper Planes","Kala","M.I.A.",2007-01-01,203760,3,124192786,2018-06-30T23:05:25Z,"","Interscope",0.447,0.848,2,-6.175,1,0.222,0.033,0.0000745,0.722,0.485,172.247,4
5lDriBxJd22IhOH9zTcFrV,"Dirty Little Secret","Move Along","The All-American Rejects",2005-01-01,193653,72,124192786,2017-09-21T22:24:19Z,"pop punk,emo,emo pop","Interscope",0.465,0.954,10,-4.251,1,0.044,0.000346,0.00000538,0.573,0.458,143.85,4
1u0l8zWpQeMYStFkc2mLD7,"Everywhere","The Spirit Room","Michelle Branch",2001-07-31,214826,66,124192786,2017-09-21T21:36:37Z,"","Maverick",0.523,0.828,1,-4.696,1,0.0762,0.0136,0.000255,0.165,0.476,96.952,4
2lwwrWVKdf3LR9lbbhnr6R,"Float On","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,208466,73,124192786,2017-09-21T22:15:41Z,"indie rock,indie,alternative rock","Epic",0.649,0.888,6,-4.807,1,0.0293,0.013,0.00000223,0.0888,0.553,100.975,4
4KoecuyOpZaNFZ0UqVsllc,"Follow Me","Double Wide","Uncle Kracker",2000-06-13,218439,72,124192786,2017-09-21T21:54:47Z,"","Lava/Atlantic",0.817,0.585,5,-4.688,1,0.0301,0.439,0,0.147,0.916,105.014,4
005lwxGU1tms6HGELIcUv9,"I Kissed A Girl","One Of The Boys","Katy Perry",2008-06-17,179640,71,124192786,2017-12-29T22:26:59Z,"pop","Capitol Records",0.702,0.76,5,-3.174,1,0.0684,0.00226,0,0.132,0.696,129.996,4
0k2GOhqsrxDTAbFFSdNJjT,"Temperature","The Trinity","Sean Paul",2005-09-27,218573,81,124192786,2018-07-25T20:27:36Z,"dancehall","VP Records",0.951,0.6,0,-4.675,0,0.0685,0.106,0,0.0712,0.822,125.04,4
1C0pmryC2MdXfa7MZ9uIrU,"One Week","Stunt","Barenaked Ladies",1998-07-07,169760,1,124192786,2017-11-22T19:48:06Z,"","Reprise",0.702,0.898,9,-6.003,1,0.0373,0.00854,0.000154,0.0917,0.731,112.845,4
49FYlytm3dAAraYgpoJZux,"Umbrella","Good Girl Gone Bad: Reloaded","Rihanna,JAY-Z",2008-06-02,275986,83,124192786,2017-09-21T21:43:31Z,"hip hop,east coast hip hop,rap","Def Jam Recordings",0.585,0.828,1,-4.603,1,0.124,0.00906,0,0.0426,0.584,174.034,4
3mcG2NI5G5vhrQtRda1YnA,"The Middle","Bleed American (Deluxe Edition)","Jimmy Eat World",2001,168253,9,124192786,2017-09-21T22:21:49Z,"emo,pop punk,emo pop","Interscope",0.629,0.897,2,-3.401,1,0.0483,0.0424,0,0.263,0.93,161.944,4
1PPwghTeQBBKkEGJrf6noY,"California - Tchad Blake Mix","Phantom Planet","Phantom Planet",2004-05-24,193693,0,124192786,2017-11-22T20:14:15Z,"","Epic",0.398,0.789,4,-7.433,1,0.0406,0.0353,0.0000324,0.0714,0.312,158.486,4
0BRHnOFm6sjxN1i9LJrUDu,"The Anthem","The Young and The Hopeless","Good Charlotte",2002-10-04,175093,75,124192786,2017-11-22T19:25:22Z,"pop punk,punk,emo,emo pop","Epic/Daylight",0.494,0.939,1,-3.127,1,0.126,0.00666,0,0.139,0.893,177.751,4
7v02Sn9vYRQ6pc1lqhnkWY,"Save Tonight","Desireless","Eagle-Eye Cherry",1997-07-21,236040,53,124192786,2017-09-21T21:56:24Z,"","Diesel",0.548,0.742,0,-6.536,1,0.0337,0.000154,0.0000397,0.109,0.583,119.496,4
4fixebDZAVToLbUCuEloa2,"Womanizer","Circus (Deluxe Version)","Britney Spears",2008-12-02,224400,80,124192786,2018-07-25T21:23:35Z,"pop","Jive",0.724,0.695,11,-5.226,1,0.0622,0.073,0,0.0889,0.235,139,4
7cz70nyRXlCJOE85whEkgU,"Flagpole Sitta","Where Have All The Merrymakers Gone?","Harvey Danger",1997-01-01,217266,66,124192786,2017-11-22T19:46:04Z,"","Decca Music Group Ltd.",0.361,0.901,4,-4.133,0,0.0443,0.00152,0.000263,0.286,0.482,144.97,4
2Lg4kvhOrPhpGEZmSe7VAN,"Country Grammar (Hot Shit)","Country Grammar","Nelly",2000-06-27,287000,2,124192786,2018-07-25T20:31:39Z,"","Universal/Island Def Jam",0.872,0.673,2,-6.879,1,0.108,0.00802,0,0.155,0.527,162.781,4
4zjFqN9fXAw91GNgJOCYX6,"Sugar, We're Goin Down","From Under The Cork Tree","Fall Out Boy",2005-01-01,229093,2,124192786,2017-11-22T20:06:02Z,"emo,pop punk,emo pop","Universal Music Group",0.494,0.841,7,-4.784,1,0.0838,0.00579,0,0.122,0.567,162.013,4
6e40mgJiCid5HRAGrbpGA6,"I Want It That Way","The Hits--Chapter One","Backstreet Boys",2001-10-23,213600,67,124192786,2017-09-21T21:55:51Z,"","Jive",0.689,0.702,6,-5.642,0,0.0261,0.216,0,0.159,0.484,99.031,4
7iXF2W9vKmDoGAhlHdpyIa,"Forgot About Dre","2001","Dr. Dre,Eminem",1999-11-16,222293,79,124192786,2018-07-25T20:24:17Z,"g-funk,gangster rap,west coast hip hop,hip hop,rap","Aftermath",0.924,0.74,8,-1.299,1,0.0774,0.0827,0,0.163,0.621,133.974,4
2ouURa1AIXp3AvkS52Jry5,"Every Morning","14:59","Sugar Ray",1999-01-12,219866,71,124192786,2017-09-21T22:10:37Z,"","RT Industries",0.833,0.679,8,-4.496,1,0.0365,0.0834,0.00258,0.0769,0.975,109.917,4
0le79px2kIBXQDxUe8ZUGP,"Poker Face","The Fame Monster (International Deluxe)","Lady Gaga",2009-01-01,237200,0,124192786,2017-09-21T21:52:44Z,"art pop,pop","Universal Music Group",0.851,0.806,4,-4.618,1,0.0788,0.12,0.00000139,0.122,0.775,119.002,4
5VGlqQANWDKJFl0MBG3sg2,"Use Somebody","Only By The Night","Kings of Leon",2008-09-23,230760,81,124192786,2017-09-21T21:46:44Z,"modern rock","RCA/Legacy",0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028,4
