Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1Gq4oxjSe4Wptj58JlVzy3,"Ruins of Illusk","Sword Coast Legends (Original Game Soundtrack)","Inon Zur",2015-10-20,123272,0,stxelim,2020-03-03T13:45:07Z,"soundtrack","Inon Zur",0.188,0.0564,4,-24.494,1,0.0367,0.867,0.909,0.0971,0.0383,74.431,3
7tEI5HJZ3u1fpZJENkzyHL,"Daughter of Hatred","Diablo IV Original Soundtrack","Ted Reedy",2023-06-06,317080,26,stxelim,2023-07-11T16:44:52Z,"","Azeroth Music",0.172,0.433,3,-16.071,0,0.0437,0.71,0.969,0.183,0.0868,129.831,4
1SmCAQKhJZbREG3UpjRcju,"The Drawing Room","The 13th Hour","Midnight Syndicate",2005-01-01,94573,25,stxelim,2020-03-03T13:56:10Z,"dark ambient","Entity Productions",0.191,0.00845,5,-34.749,1,0.0385,0.98,0.934,0.112,0.0674,110.672,1
61OL1XKS7AzBkloRZ3K5bj,"Story Of The Dark Crystal","The Dark Crystal: Age Of Resistance, Vol. 1 (Music from the Netflix Original Series)","Daniel Pemberton",2019-08-30,191280,0,stxelim,2020-05-01T03:51:47Z,"soundtrack","Varèse Sarabande",0.177,0.0397,2,-25.047,1,0.0379,0.63,0.707,0.119,0.0324,128.466,4
10Xelysf2G0iFPzHhmnNve,"Graveyard","Vampyre: Symphonies from the Crypt","Midnight Syndicate",2002-01-01,135626,31,stxelim,2020-03-03T13:57:18Z,"dark ambient","Entity Productions / Linfaldia Records",0.0961,0.205,0,-22.124,1,0.039,0.528,0.961,0.145,0.0376,88.51,4
6QIiUXvhADwiOVVdjR7GhZ,"Mansion in the Mist","The 13th Hour","Midnight Syndicate",2005-01-01,77173,34,stxelim,2020-03-03T14:01:19Z,"dark ambient","Entity Productions",0.0721,0.0873,5,-32.761,0,0.042,0.618,0.756,0.104,0.0383,79.879,4
6iFcGGG47rcDKAFqHLdVfo,"Sanctum of the Dead","Sword Coast Legends (Original Game Soundtrack)","Inon Zur",2015-10-20,127800,0,stxelim,2020-03-03T14:15:56Z,"soundtrack","Inon Zur",0.143,0.171,7,-23.861,1,0.0394,0.77,0.957,0.215,0.112,65.277,5
1Tz9bVFO1ngchKLku8WRSK,"Into The Catacombs","The Dark Crystal: Age Of Resistance, Vol. 1 (Music from the Netflix Original Series)","Daniel Pemberton",2019-08-30,129039,0,stxelim,2020-05-01T03:56:21Z,"soundtrack","Varèse Sarabande",0.217,0.0672,6,-31.561,1,0.0413,0.872,0.908,0.112,0.0572,73.597,1
3PSB7TXZUvw7SvG45AOw3Q,"Forlorn Cliffs","Sword Coast Legends (Original Game Soundtrack)","Inon Zur",2015-10-20,205636,0,stxelim,2020-03-03T14:17:09Z,"soundtrack","Inon Zur",0.105,0.255,1,-18.701,0,0.0519,0.956,0.97,0.111,0.0349,166.649,3
1xNeFWna91qK2UCiMRtZhB,"A Watchful Gathering","Monsters of Legend","Midnight Syndicate",2013-07-19,139613,10,stxelim,2020-03-04T04:07:04Z,"dark ambient","Linfaldia Records and Entity Productions",0.204,0.141,4,-24.529,0,0.0473,0.731,0.926,0.157,0.0373,125.921,3
1RFatpzatwYXxTltbbo8hd,"Leviathan","The Old City (Original Soundtrack)","Atrium Carceri",2015-02-28,632729,32,stxelim,2022-07-21T13:31:11Z,"dark ambient,ambient,drone","Cryo Chamber",0.163,0.335,5,-28.865,1,0.0624,0.919,0.873,0.108,0.0643,131.475,4
1kCXpmChtiwCAjvnFZsgUe,"So Blind and in Terror","Beyond Skyrim: Bruma (Original Game Soundtrack)","Daniel Ran",2018-03-16,224023,17,stxelim,2023-07-11T16:54:19Z,"","2077743 Records DK2",0.0919,0.0639,8,-22.553,1,0.042,0.984,0.916,0.0659,0.031,86.859,3
