Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3ITCrEvmcuQOnmy4g1TZY5,"Overture: Lore","The Last Guardian Soundtrack (Japan Deluxe Edition)","Takeshi Furukawa",2016-12-22,186733,32,chidgeon,2018-02-26T18:38:26Z,"","Sony Interactive Entertainment Inc.",0.177,0.0699,6,-25.262,1,0.0388,0.854,0.906,0.0861,0.0353,85.188,3
62b8d8SQJUtfXUWu2tD4d1,"The Slopes Of The Blessure","The Witcher 3: Wild Hunt - Blood and Wine (Official Soundtrack)","Piotr Musiał",2016-06-01,242000,53,chidgeon,2017-09-07T23:31:10Z,"medieval","CD PROJEKT RED",0.247,0.263,2,-14.501,0,0.0313,0.845,0.437,0.114,0.066,80.057,4
6VIzhy3Jeg6H1Ure3RfYVL,"Moth, Butterfly, and Torchbug","The Elder Scrolls Online Original Game Soundtrack","Brad Derrick",2014-04-02,342200,47,chidgeon,2017-09-08T21:52:25Z,"medieval","Bethesda Softworks",0.104,0.138,7,-19.111,1,0.0372,0.892,0.92,0.108,0.0338,90.331,5
4dCOHVQRRay8ldlP4TtCI1,"Grazelands Dawn (feat. Jeremy Soule)","The Elder Scrolls Online: Morrowind (Original Game Soundtrack)","Brad Derrick,Jeremy Soule",2017-06-07,301377,47,chidgeon,2017-09-27T18:58:15Z,"medieval,soundtrack","Bethesda Softworks",0.14,0.218,7,-15.338,0,0.0396,0.818,0.75,0.111,0.0392,141.452,3
0Mmtro18AX4ONE1I3mgNEh,"Cloud Country","Stardew Valley (Original Game Soundtrack)","ConcernedApe",2016-09-19,90000,51,chidgeon,2017-09-05T17:59:10Z,"soundtrack","ConcernedApe",0.709,0.198,11,-18.498,1,0.0548,0.805,0.956,0.0966,0.627,95.979,4
149g1z4mDkQsNG8ZB0xbev,"Spikeroog","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Mikolai Stroinski",2015-08-26,185699,0,chidgeon,2017-09-07T23:19:36Z,"medieval,soundtrack","CD PROJEKT RED",0.151,0.168,2,-14.513,0,0.0363,0.969,0.849,0.0824,0.054,148.828,4
6MPL7WpETrp3N8RmRMMZGK,"Kaer Morhen","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Marcin Przybyłowicz",2015-08-26,155109,0,chidgeon,2017-09-07T23:22:18Z,"medieval,soundtrack","CD PROJEKT RED",0.384,0.342,2,-13.777,0,0.0307,0.826,0.777,0.167,0.0514,140.133,4
0ydyMGGCAXLRDEzfbEWjbQ,"The Vagabond","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Marcin Przybyłowicz",2015-08-26,167935,0,chidgeon,2017-09-07T23:23:59Z,"medieval,soundtrack","CD PROJEKT RED",0.321,0.0997,2,-20.401,0,0.0314,0.851,0.948,0.107,0.057,131.049,4
4xYGQYZN2RV4TZXLRrQ8aH,"Yes, I Do...","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Mikolai Stroinski",2015-08-26,93529,0,chidgeon,2017-09-07T23:24:58Z,"medieval,soundtrack","CD PROJEKT RED",0.123,0.165,7,-15.297,1,0.0425,0.969,0.524,0.175,0.0699,171.232,4
3TYw4LSw9ykSahfYCBSSVw,"After The Storm","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Mikolai Stroinski",2015-08-26,90983,0,chidgeon,2017-09-07T23:25:30Z,"medieval,soundtrack","CD PROJEKT RED",0.189,0.158,2,-16.148,0,0.0366,0.947,0.966,0.104,0.0595,60.471,5
1rviSMTqJSd3120zrPaqY5,"Bonnie At Morn - Instrumental","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Mikolai Stroinski",2015-08-26,148000,0,chidgeon,2017-09-07T23:26:42Z,"medieval,soundtrack","CD PROJEKT RED",0.25,0.236,2,-13.525,0,0.0349,0.96,0.911,0.125,0.0654,90.292,3
6utAVGpiL1AZJu0TkVkx6U,"Back On The Path","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Marcin Przybyłowicz,Percival Schuttenbach",2015-08-26,161101,0,chidgeon,2017-09-07T23:26:54Z,"medieval,soundtrack,folk metal","CD PROJEKT RED",0.552,0.559,7,-11.972,1,0.0298,0.432,0,0.1,0.704,140.04,4
6gWxtJpaoqOCtnBLy3yeVH,"Words On Wind","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Marcin Przybyłowicz",2015-08-26,168416,0,chidgeon,2017-09-07T23:27:03Z,"medieval,soundtrack","CD PROJEKT RED",0.123,0.21,2,-16.433,0,0.0366,0.711,0.589,0.246,0.0365,148.927,4
4by2V8ms3KJNDJtgQIJ50C,"When No Man Has Gone Before","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Mikolai Stroinski",2015-08-26,189499,0,chidgeon,2017-09-07T23:27:17Z,"medieval,soundtrack","CD PROJEKT RED",0.0719,0.117,7,-16.502,1,0.0392,0.964,0.454,0.0978,0.0393,75.657,4
0iP9XqyYrRbEAG9iNUMMdM,"The Tree When We Sat Once","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Mikolai Stroinski",2015-08-26,155295,0,chidgeon,2017-09-07T23:27:44Z,"medieval,soundtrack","CD PROJEKT RED",0.0647,0.184,2,-14.465,0,0.0406,0.962,0.679,0.136,0.109,61.291,5
04Me7GXTY03245nMR0YRGI,"Fanfares And Flowers","The Witcher 3: Wild Hunt - Blood and Wine (Official Soundtrack)","Mikolai Stroinski",2016-06-01,190582,50,chidgeon,2017-09-07T23:29:20Z,"medieval,soundtrack","CD PROJEKT RED",0.235,0.411,2,-11.371,0,0.0301,0.889,0.935,0.207,0.0391,138.538,3
4VZO9ICuHMFrHlsawAoP4k,"The Banks Of The Sansretour","The Witcher 3: Wild Hunt - Blood and Wine (Official Soundtrack)","Piotr Musiał",2016-06-01,238000,50,chidgeon,2017-09-07T23:29:56Z,"medieval","CD PROJEKT RED",0.125,0.26,0,-15.394,1,0.0325,0.792,0.167,0.177,0.0709,94.669,3
3PgY5sgfYqNUFCtLDz8gsg,"Lady Of The Lake","The Witcher 3: Wild Hunt - Blood and Wine (Official Soundtrack)","Marcin Przybyłowicz",2016-06-01,70000,49,chidgeon,2017-09-07T23:32:49Z,"medieval,soundtrack","CD PROJEKT RED",0.238,0.227,5,-14.976,0,0.0404,0.958,0.265,0.207,0.0609,73.856,4
