Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
,"Dragon Age: Origins","Dragon Age: Origins","Inon Zur",,169000,0,stxelim,2018-03-01T05:35:17Z,"","undefined",,,,,,,,,,,,
4RopFgGSZ3zcQqcb4PTvJA,"Nightsong","World of Warcraft: Cataclysm Original Soundtrack","Neal Acree",2010-12-07,158358,39,stxelim,2018-02-28T23:25:45Z,"","Azeroth Music",0.248,0.541,2,-12.956,0,0.0436,0.654,0.813,0.217,0.207,137.317,3
,"May It Be","Music from The Lord of the Rings Trilogy","Howard Shore",,319000,0,stxelim,2018-03-01T05:48:23Z,"","undefined",,,,,,,,,,,,
6cr3fZckrJJdgpAuhetWyb,"Song of Elune","World of Warcraft Original Soundtrack","Jason Hayes",2004-11-23,135560,41,stxelim,2018-03-01T05:42:02Z,"medieval","Azeroth Music",0.369,0.38,1,-12.341,0,0.0329,0.9,0.968,0.117,0.116,149.978,4
4tzTvhjxfpW8vrcch5hcCo,"The Traveler's Path","World of Warcraft: Mists of Pandaria Soundtrack","Russell Brower,Sam Cardone",2012-09-25,348376,26,stxelim,2018-02-28T23:27:41Z,"","Azeroth Music",0.255,0.2,9,-15.163,0,0.0363,0.757,0.00527,0.158,0.0548,120.058,4
3oPovkhQZHAMZk1ZcRSRk2,"Way Of The Monk","World of Warcraft: Mists of Pandaria Soundtrack","Neal Acree",2012-09-25,225995,35,stxelim,2018-02-28T23:26:49Z,"","Azeroth Music",0.225,0.441,0,-10.049,0,0.0401,0.451,0.545,0.543,0.162,119.862,4
1GSFYlCrIVAEmwxvwtYyRi,"Darnassus","World of Warcraft Original Soundtrack","Tracy Bush",2004-11-23,165026,35,stxelim,2018-03-01T05:42:13Z,"","Azeroth Music",0.401,0.442,2,-13.972,1,0.0441,0.475,0.948,0.108,0.0381,94.253,4
,"Evenstar","Music from The Lord of the Rings Trilogy","Howard Shore",,218000,0,stxelim,2018-03-01T05:48:48Z,"","undefined",,,,,,,,,,,,
27szccvsWzjoXNzujeQakZ,"Guardians of Nordrassil","World of Warcraft: Cataclysm Original Soundtrack","David Arkenstone",2010-12-07,405290,30,stxelim,2018-03-01T05:40:21Z,"celtic,new age,medieval","Azeroth Music",0.189,0.22,9,-16.71,1,0.0378,0.947,0.934,0.266,0.0342,113.995,4
2SsJmkp6iZyKzKczgPUbeh,"A World Divided","World of Warcraft: Legion (Original Game Soundtrack)","Neal Acree,Sam Cardon",2016-08-30,322123,36,stxelim,2018-03-01T05:59:37Z,"","Azeroth Music",0.193,0.238,4,-14.954,0,0.0355,0.829,0.769,0.095,0.073,109.974,4
