Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3A6B7EgDzGsBakF8u6Jvlw,"Dragonsreach","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,140936,52,aliasless,2018-10-15T16:39:59Z,"medieval,soundtrack","Bethesda Softworks",0.0929,0.0607,2,-23.773,1,0.0347,0.829,0.946,0.11,0.0328,58.621,4
331NM5JOjmqoDwLXFkSHb7,"Ichthyosaurus Communis","Abzu","Austin Wintory",2016-08-02,121683,28,aliasless,2018-10-16T12:03:04Z,"soundtrack","T-65b Records",0.435,0.361,5,-14.587,0,0.0302,0.801,0.917,0.0844,0.491,108.104,4
0zke8Vmo0bgbPjxL3pUhqk,"From Past to Present","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,304007,60,aliasless,2018-10-29T13:46:28Z,"medieval,soundtrack","Bethesda Softworks",0.0754,0.0921,0,-21.53,1,0.038,0.983,0.849,0.0748,0.036,72.985,4
2AhTppjasVXtLuMGZkoXyV,"Yes! (feat. Jack Liebeck)","Jane Eyre - Original Motion Picture Soundtrack","Dario Marianelli,Jack Liebeck,Benjamin Wallfisch",2011-03-08,121373,43,aliasless,2018-10-29T15:24:01Z,"soundtrack,chamber music","Sony Classical",0.154,0.239,0,-15.006,0,0.0445,0.884,0.807,0.107,0.0348,83.541,3
761SMhVKJlJlUCUveNcq1m,"Kaer Morhen","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Marcin Przybyłowicz",2015-08-26,155109,56,aliasless,2018-10-29T16:09:21Z,"medieval,soundtrack","CD PROJEKT RED",0.396,0.329,2,-13.481,0,0.032,0.796,0.878,0.126,0.0561,139.853,4
5umM7S7ZVJrwozwINtBsAU,"メインメニュー","モンスターハンター:ワールド オリジナル・サウンドトラック","Zhenlan Kang",2018-02-14,74093,0,aliasless,2018-11-18T14:54:42Z,"japanese vgm","セルピュータ",0.226,0.0715,5,-25.189,1,0.0389,0.95,0.628,0.0697,0.028,66.402,4
3PXFXPVeBAroVQPRfh5yNx,"Epilogue","Uncharted 4: A Thief's End (Original Soundtrack)","Henry Jackman",2016-05-10,197693,0,aliasless,2018-11-27T11:57:53Z,"soundtrack","Sony Interactive Entertainment America LLC",0.119,0.0456,7,-28.299,0,0.042,0.875,0.915,0.0809,0.0335,94.701,4
36E9rXzGLxYphIFjZrz3oT,"Adamant Fortress","Dragon Age Inquisition","Trevor Morris",2014-11-17,256013,0,aliasless,2018-12-10T14:18:08Z,"medieval,soundtrack","EA TM Music",0.0886,0.578,6,-13.269,0,0.0407,0.105,0.871,0.0997,0.153,55.491,4
3NSkea1V0RWgvAVOB80pIo,"Moon Temple","RiME (Deluxe Soundtrack)","David García Díaz",2017-05-26,120440,17,aliasless,2018-12-18T10:48:04Z,"","Grey Box",0.0925,0.022,9,-28.212,0,0.0416,0.965,0.863,0.0927,0.0375,83.926,4
7juNEvjwYAGis0hAGPrQOR,"The Shadow System","RiME (Deluxe Soundtrack)","David García Díaz",2017-05-26,174224,20,aliasless,2018-12-18T10:48:22Z,"","Grey Box",0.0645,0.0923,9,-29.847,0,0.0451,0.875,0.207,0.0822,0.0671,50.7,4
