Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6x2vzCfYoV5MSx6pvdwkdv,"Elmshore","Pillars of Eternity (Official Soundtrack)","Justin Bell",2015-03-24,152164,50,aliasless,2018-10-15T16:15:32Z,"medieval","Obsidian Entertainment",0.288,0.193,10,-15.969,1,0.0393,0.73,0.831,0.0734,0.0382,77.944,3
5DXwCicqdBf9BoxDcHsXUm,"Twin Elms","Pillars of Eternity (Official Soundtrack)","Justin Bell",2015-03-24,280994,46,aliasless,2018-10-15T16:16:18Z,"medieval","Obsidian Entertainment",0.0823,0.111,4,-14.544,0,0.0406,0.978,0.915,0.107,0.0341,69.109,5
7KrjPz4fkYtoi2AkRZpzml,"Teller of the Tales","Virtutes Instrumenti","Kevin MacLeod",2015-07-28,212375,31,aliasless,2018-10-15T16:17:47Z,"","Incompetech",0.787,0.0505,9,-23.728,0,0.0995,0.894,0.885,0.0981,0.592,130.039,4
0zke8Vmo0bgbPjxL3pUhqk,"From Past to Present","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,304007,60,aliasless,2018-10-15T16:18:35Z,"medieval,soundtrack","Bethesda Softworks",0.0754,0.0921,0,-21.53,1,0.038,0.983,0.849,0.0748,0.036,72.985,4
2gEAHKw83WHPD875YqDHH2,"Ancient Stones","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,285531,58,aliasless,2018-10-15T16:18:48Z,"medieval,soundtrack","Bethesda Softworks",0.126,0.12,8,-22.729,0,0.0332,0.928,0.968,0.0672,0.0719,96.012,3
1l7bKxkdTymsFbxWzsK3vw,"The City Gates","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,226058,57,aliasless,2018-10-15T16:19:02Z,"medieval,soundtrack","Bethesda Softworks",0.0977,0.211,7,-18.282,0,0.0376,0.953,0.811,0.281,0.0391,84.25,4
3A6B7EgDzGsBakF8u6Jvlw,"Dragonsreach","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,140936,52,aliasless,2018-10-15T16:19:27Z,"medieval,soundtrack","Bethesda Softworks",0.0929,0.0607,2,-23.773,1,0.0347,0.829,0.946,0.11,0.0328,58.621,4
3DMLISDQgfwws7KpbCm2LI,"Vanishing Grace (Childhood)","The Last of Us","Gustavo Santaolalla,Alan Umstead",2013-06-07,101106,40,aliasless,2018-10-15T16:44:56Z,"soundtrack","Masterworks",0.134,0.0575,7,-25.336,1,0.0443,0.969,0.892,0.126,0.036,78.954,1
63zmiYZRPVSRLoYXbqfLPv,"Dawn","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,237794,56,aliasless,2018-10-15T16:45:05Z,"medieval,soundtrack","Bethesda Softworks",0.155,0.0297,9,-29.885,0,0.0437,0.98,0.957,0.0906,0.0323,92.112,1
18CctEeOpjEDIAvWM5S7RE,"The Streets of Whiterun","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,244842,62,aliasless,2018-10-15T16:45:05Z,"medieval,soundtrack","Bethesda Softworks",0.0664,0.186,1,-17.679,0,0.0346,0.943,0.887,0.108,0.0363,72.162,3
