Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5DXwCicqdBf9BoxDcHsXUm,"Twin Elms","Pillars of Eternity (Official Soundtrack)","Justin Bell",2015-03-24,280994,46,stxelim,2019-06-11T03:01:10Z,"medieval","Obsidian Entertainment",0.0823,0.111,4,-14.544,0,0.0406,0.978,0.915,0.107,0.0341,69.109,5
0zke8Vmo0bgbPjxL3pUhqk,"From Past to Present","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,304007,60,stxelim,2019-06-11T02:56:10Z,"medieval,soundtrack","Bethesda Softworks",0.0754,0.0921,0,-21.53,1,0.038,0.983,0.849,0.0748,0.036,72.985,4
1B70yeXyeY8iuuDAu9QJ3Q,"The Lost Temple","Dragon Age Inquisition","Trevor Morris",2014-11-17,410066,0,stxelim,2019-06-20T04:43:36Z,"medieval,soundtrack","EA TM Music",0.179,0.26,8,-20.168,1,0.0376,0.836,0.936,0.0961,0.0384,129.964,4
2TqqSIiMATAnzmCenloaAV,"Fresh Paint","Elle (Original Motion Picture Soundtrack)","Anne Dudley",2016-09-23,121346,33,stxelim,2019-06-20T04:43:31Z,"soundtrack","Sony Classical",0.199,0.0521,2,-18.995,0,0.042,0.975,0.937,0.0893,0.0347,115.263,3
0DrhapFEF5d9Yzg4v914dp,"Awake","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,92899,59,stxelim,2019-06-11T02:56:10Z,"medieval,soundtrack","Bethesda Softworks",0.165,0.146,7,-22.704,0,0.0373,0.911,0.973,0.0729,0.0339,87.528,3
5XcivSLcE4sR5s9ItTxROd,"Unbroken Road","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,384173,50,stxelim,2019-06-11T02:56:10Z,"medieval,soundtrack","Bethesda Softworks",0.124,0.161,2,-21.192,0,0.0368,0.924,0.852,0.0893,0.0552,151.374,3
3wnSHCMTtD1fxwOzTc5Gdh,"Distant Horizons","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,232870,57,stxelim,2019-06-11T02:56:10Z,"medieval,soundtrack","Bethesda Softworks",0.134,0.0897,4,-22.09,0,0.0368,0.98,0.923,0.0933,0.035,143.564,3
63zmiYZRPVSRLoYXbqfLPv,"Dawn","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,237794,56,stxelim,2019-06-11T02:56:10Z,"medieval,soundtrack","Bethesda Softworks",0.155,0.0297,9,-29.885,0,0.0437,0.98,0.957,0.0906,0.0323,92.112,1
45Oh87YCFHuXgw95CFc9du,"The Jerall Mountains","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,199840,52,stxelim,2019-06-11T02:56:10Z,"medieval,soundtrack","Bethesda Softworks",0.174,0.185,4,-23.18,0,0.0438,0.97,0.796,0.0964,0.04,119.776,4
1BRtrNXFD8RrlsHfo61PS7,"Frostfall","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,206332,56,stxelim,2019-06-11T02:56:10Z,"medieval,soundtrack","Bethesda Softworks",0.164,0.16,4,-20.891,0,0.0392,0.966,0.953,0.108,0.0302,133.133,4
6O9hBwcZKrzCVVhEeoieko,"Kyne's Peace","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,229517,58,stxelim,2019-06-11T02:56:10Z,"medieval,soundtrack","Bethesda Softworks",0.151,0.0859,7,-27.811,0,0.041,0.949,0.989,0.0981,0.0331,136.374,4
5ZiXhaYx9gkuYJs38r9MDu,"Unbound","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,92611,49,stxelim,2019-06-11T02:56:10Z,"medieval,soundtrack","Bethesda Softworks",0.0842,0.0853,3,-26.148,1,0.0367,0.843,0.955,0.0913,0.129,84.694,4
