Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7bCCka4PvsKIlhPT4JWJcG,"Autumn Is Coming","Might & Magic Heroes VI (Original Game Soundtrack)","Rob King,Paul Romero",2011-10-13,203813,31,gentilpuck,2016-11-03T10:30:44Z,"","Ubisoft Music",0.264,0.217,9,-16.271,0,0.0316,0.628,0.862,0.111,0.0837,117.077,3
5f8qMrwOuhDVbygFpVNPFS,"Winterlight","Paysages","Gentil Puck",2014,183013,0,gentilpuck,2019-03-14T08:29:02Z,"","Gentil Puck",0.0707,0.0437,10,-27.893,0,0.0471,0.938,0.475,0.104,0.0432,59.395,3
5mHzvRoLIGkX1G4HmS6kGk,"Dancing Reflections","Pode","Austin Wintory",2018-06-21,334236,14,gentilpuck,2019-04-16T13:50:52Z,"soundtrack","T-65b Records",0.203,0.0778,2,-18.531,1,0.0335,0.941,0.702,0.163,0.0564,91.704,3
5fkTxZml4AQfBsp3SCvHMn,"Spirit Nest","Falthringor","Borough Bound",2023-01-06,201874,28,gentilpuck,2024-12-20T09:03:32Z,"medieval","Mankis Stankis Records",0.174,0.239,8,-17.763,1,0.0306,0.793,0.951,0.127,0.038,89.299,3
6VIzhy3Jeg6H1Ure3RfYVL,"Moth, Butterfly, and Torchbug","The Elder Scrolls Online Original Game Soundtrack","Brad Derrick",2014-04-02,342200,47,gentilpuck,2016-11-20T16:58:00Z,"medieval","Bethesda Softworks",0.104,0.138,7,-19.111,1,0.0372,0.892,0.92,0.108,0.0338,90.331,5
0Wt3pSlO0hHjvZjFBGgOV4,"The Towers Cast Long Shadows","The Elder Scrolls Online Original Game Soundtrack","Brad Derrick",2014-04-02,353667,38,gentilpuck,2016-11-20T16:58:00Z,"medieval","Bethesda Softworks",0.146,0.141,7,-18.35,1,0.0415,0.931,0.969,0.0632,0.0345,138.835,3
3Q7a9lcE3qREsBgs8xiK0T,"People Turn On You So Fast","All The Way (Original Motion Picture Soundtrack)","James Newton Howard",2016-05-27,186333,0,gentilpuck,2017-04-25T11:41:05Z,"soundtrack","Universal Music Group",0.153,0.00199,0,-38.628,0,0.0506,0.851,0.436,0.0791,0.0376,48.935,4
7fSwmfBsPbmO8DnJ5FQxdh,"The Proposition","The Huntsman: Winter's War (Original Motion Picture Soundtrack)","James Newton Howard",2016-04-15,130502,0,gentilpuck,2017-04-28T06:43:01Z,"soundtrack","Back Lot Music",0.16,0.0138,0,-37.205,0,0.0475,0.937,0.859,0.351,0.0392,65.46,5
1BRtrNXFD8RrlsHfo61PS7,"Frostfall","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,206332,56,gentilpuck,2017-06-19T10:12:48Z,"medieval,soundtrack","Bethesda Softworks",0.164,0.16,4,-20.891,0,0.0392,0.966,0.953,0.108,0.0302,133.133,4
5ddAVi2Tzl7PM2uRP001S3,"The Road Forward","Horn","Austin Wintory",2012-08-13,148365,39,gentilpuck,2017-06-22T10:07:06Z,"soundtrack","T-65b Records",0.111,0.258,4,-16.131,0,0.0432,0.914,0.843,0.121,0.0731,69.024,5
