Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5W6KeokNeUXozE9asPqqT3,"Watchman's Ease","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","Jeremy Soule",2006-03-20,125152,52,stxelim,2021-11-15T13:34:10Z,"medieval,soundtrack","Bethesda Softworks",0.235,0.166,8,-17.467,0,0.0394,0.937,0.889,0.108,0.0372,81.837,4
1CrS6nV5ISKaRJeOMlYGkX,"ek elska þik","The Northerner Diaries Symphonic Sketches","Jeremy Soule",2018-07-05,215962,33,stxelim,2021-11-15T13:37:48Z,"medieval,soundtrack","Jeremy Soule",0.15,0.0381,9,-29.18,1,0.0393,0.948,0.923,0.105,0.0351,77.007,4
1NhDv99nTtRm37rZpoH7Ix,"Harvest Dawn","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","Jeremy Soule",2006-03-20,171441,56,stxelim,2021-11-18T15:41:29Z,"medieval,soundtrack","Bethesda Softworks",0.127,0.0632,2,-21.617,0,0.0383,0.934,0.855,0.0853,0.056,84.176,4
1SCZdUny74IGIsMOb5OYjL,"The Gathering Storm","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,173246,51,stxelim,2021-11-18T15:52:17Z,"medieval,soundtrack","Bethesda Softworks",0.163,0.042,7,-27.484,0,0.0394,0.965,0.934,0.0924,0.0337,111.141,4
68k0W3WTJ0cWjD58i6fFbN,"Northpoint Nocturne","The Elder Scrolls Online Original Game Soundtrack","Rik Schaffer",2014-04-02,327215,42,stxelim,2021-11-22T14:10:06Z,"","Bethesda Softworks",0.111,0.117,5,-24.421,1,0.0381,0.92,0.939,0.115,0.0376,88.339,3
77dmvB30VrxEJOaNduzPhB,"King and Country","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","Jeremy Soule",2006-03-20,244584,51,stxelim,2021-11-29T18:59:54Z,"medieval,soundtrack","Bethesda Softworks",0.168,0.107,6,-21.325,0,0.037,0.894,0.897,0.107,0.0391,136.265,4
0zke8Vmo0bgbPjxL3pUhqk,"From Past to Present","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,304007,60,stxelim,2021-12-01T14:29:33Z,"medieval,soundtrack","Bethesda Softworks",0.0754,0.0921,0,-21.53,1,0.038,0.983,0.849,0.0748,0.036,72.985,4
0DrhapFEF5d9Yzg4v914dp,"Awake","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,92899,59,stxelim,2021-12-01T14:30:45Z,"medieval,soundtrack","Bethesda Softworks",0.165,0.146,7,-22.704,0,0.0373,0.911,0.973,0.0729,0.0339,87.528,3
2rtFUTZLSQ7cECBXfUOgJe,"Far Horizons","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,331475,57,stxelim,2021-12-01T14:34:59Z,"medieval,soundtrack","Bethesda Softworks",0.0638,0.173,10,-20.774,1,0.0401,0.936,0.953,0.17,0.044,67.744,3
5WLUeYz960wyEPZnPre9zn,"Bloodlines","Beyond Skyrim: Bruma (Original Game Soundtrack)","Daniel Ran",2018-03-16,335032,0,stxelim,2021-12-01T14:37:32Z,"","Materia Collective",0.0791,0.204,7,-19.316,0,0.0421,0.881,0.899,0.0957,0.0396,75.911,4
