Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6Z8R6UsFuGXGtiIxiD8ISb,"Safe And Sound","In A Tidal Wave Of Mystery (Deluxe Edition)","Capital Cities",2013,192789,21,qon9p4ro7d4cjfj1dsfw99k9z,2025-03-21T14:40:42Z,"","Capital Cities",0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,5
7qiZfU4dY1lWllzX7mPBI3,"Shape of You","÷ (Deluxe)","Ed Sheeran",2017-03-03,233712,88,qon9p4ro7d4cjfj1dsfw99k9z,2025-03-21T14:40:42Z,"soft pop","Atlantic Records UK",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4
10rChmECwPcvTTj4w07hq4,"Welcome to My Life","Still Not Getting Any","Simple Plan",2004-10-25,206773,70,qon9p4ro7d4cjfj1dsfw99k9z,2025-03-21T14:40:42Z,"pop punk,punk,emo","143/Atlantic Entertainment",0.421,0.858,1,-4.535,1,0.0963,0.0134,0,0.067,0.491,173.255,4
1XGmzt0PVuFgQYYnV2It7A,"Payphone","Overexposed Track By Track","Maroon 5,Wiz Khalifa",2012-01-01,231173,84,qon9p4ro7d4cjfj1dsfw99k9z,2025-03-21T14:40:42Z,"pop,rap","Interscope Records*",0.743,0.752,4,-4.813,1,0.0414,0.0188,0,0.287,0.545,110.015,4
2CT3r93YuSHtm57mjxvjhH,"Wonderwall","Stop The Clocks","Oasis",2006-11-19,258613,1,qon9p4ro7d4cjfj1dsfw99k9z,2025-03-21T14:40:42Z,"britpop,madchester,rock","Big Brother",0.409,0.892,2,-4.373,1,0.0336,0.000807,0,0.207,0.651,174.426,4
7oK9VyNzrYvRFo7nQEYkWN,"Mr. Brightside","Hot Fuss","The Killers",2004-06-15,222586,14,qon9p4ro7d4cjfj1dsfw99k9z,2025-03-21T14:40:42Z,"alternative rock","Island Records",0.356,0.924,1,-3.74,1,0.0808,0.00101,0,0.0953,0.232,148.017,4
4LJhJ6DQS7NwE7UKtvcM52,"What's My Age Again?","Enema Of The State","blink-182",1999-06-01,148360,78,qon9p4ro7d4cjfj1dsfw99k9z,2025-03-21T14:40:42Z,"pop punk,punk,emo pop,rock,skate punk,emo","Geffen",0.391,0.951,6,-7.419,1,0.0688,0.012,0.000446,0.0878,0.468,157.663,4
20I6sIOMTCkB6w7ryavxtO,"Call Me Maybe","Kiss","Carly Rae Jepsen",2012-01-01,193400,82,qon9p4ro7d4cjfj1dsfw99k9z,2025-03-21T14:40:42Z,"","Silent Records IGA",0.782,0.58,7,-6.548,1,0.0407,0.0114,0.00000228,0.108,0.66,120.021,4
4bHsxqR3GMrXTxEPLuK5ue,"Don't Stop Believin'","Escape (Bonus Track Version)","Journey",1981,250986,16,qon9p4ro7d4cjfj1dsfw99k9z,2025-03-21T14:40:42Z,"album rock,classic rock","Columbia",0.5,0.748,4,-9.072,1,0.0363,0.127,0,0.447,0.514,118.852,4
1jNOi6m3Hn8nLEeHCp5Msr,"Seven Nation Army","Elephant","The White Stripes",2003-04-01,231800,2,qon9p4ro7d4cjfj1dsfw99k9z,2025-03-21T14:40:42Z,"garage rock,blues rock,rock,alternative rock","Warner Records",0.753,0.457,0,-7.709,1,0.0767,0.00679,0.484,0.311,0.297,123.913,4
