Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2ZyuwVvV6Z3XJaXIFbspeE,"Wild Things","Know-It-All (Deluxe)","Alessia Cara",2015-11-13,188493,1,1299016678,2018-04-23T19:09:12Z,"","EP Entertainment, LLC / Def Jam",0.741,0.626,1,-4.826,0,0.0886,0.02,0,0.0828,0.706,108.029,4
3n69hLUdIsSa1WlRmjMZlW,"Breezeblocks","An Awesome Wave","alt-J",2012-09-18,227080,70,1299016678,2018-04-23T19:11:08Z,"indie,indie rock","Canvasback/ATL",0.615,0.658,5,-7.299,1,0.0343,0.096,0.000911,0.205,0.293,150.093,4
4iEOVEULZRvmzYSZY2ViKN,"Left Hand Free","This Is All Yours","alt-J",2014-09-22,173630,68,1299016678,2018-04-23T19:11:21Z,"indie,indie rock","Canvasback/ATL",0.697,0.877,3,-4.465,1,0.0462,0.462,0.00943,0.083,0.802,101.99,4
6CQaVuICm1WVXyy3SZ5jEI,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007","Back To Black: B-Sides","Amy Winehouse",2007-01-01,233733,0,1299016678,2018-04-23T19:13:10Z,"","Universal-Island Records Ltd.",0.757,0.367,5,-5.759,0,0.0354,0.736,0,0.157,0.681,96.008,4
1eRI8xvZPDftfvW6CGMhg8,"Cecilia And The Satellite","Andrew McMahon In The Wilderness (Deluxe Edition)","Andrew McMahon in the Wilderness",2015-01-01,223879,22,1299016678,2018-04-23T19:17:30Z,"","Concord",0.389,0.841,5,-7.164,1,0.146,0.013,0,0.31,0.25,193.963,4
7EbVnljEpnmQT4JoeNY8cO,"Synesthesia","The Pop Underground EP","Andrew McMahon in the Wilderness",2013-04-30,261015,42,1299016678,2018-04-23T19:17:38Z,"","Left Here Music",0.591,0.659,1,-7.591,1,0.0393,0.0604,0.00225,0.0837,0.159,109.98,4
3v0pzyIy08Sndq17gww5Si,"Smoke Clears","The Good Parts","Andy Grammer",2017-12-01,179061,0,1299016678,2018-04-23T19:18:21Z,"","S-Curve Records",0.593,0.822,7,-3.655,1,0.0468,0.394,0,0.081,0.505,99.988,4
0azWS02NS8NxRnvD1bAjig,"Spaceship","The Good Parts","Andy Grammer",2017-12-01,180460,0,1299016678,2018-04-23T19:18:31Z,"","S-Curve Records",0.836,0.691,4,-5.702,1,0.0736,0.157,0,0.303,0.649,99.921,4
6Hmj7SrLRbreLVfVS7mV1S,"Wake Up","Funeral","Arcade Fire",2004-06-16,335333,63,1299016678,2018-04-23T19:21:15Z,"indie rock,baroque pop","Sony Music CG",0.252,0.8,0,-4.845,1,0.0368,0.12,0.0538,0.118,0.29,139.361,4
1i0gFntJDmN2JHj9uF2se4,"Fake Money","High Noon","Arkells",2014-08-05,211733,20,1299016678,2018-04-23T19:21:51Z,"","Universal Music Canada",0.386,0.933,2,-4.912,1,0.122,0.000704,0.0761,0.111,0.165,131.603,4
73H6vZ2LE7VHCQk7N8yjEW,"Never Thought That This Would Happen","High Noon","Arkells",2014-08-05,290093,35,1299016678,2018-04-23T19:22:24Z,"","Universal Music Canada",0.418,0.873,10,-3.313,1,0.0508,0.0394,0.00000281,0.184,0.437,159.927,4
0SpL6Ym4825zfi101eBaDC,"What Are You Holding On To?","High Noon","Arkells",2014-08-05,220680,20,1299016678,2018-04-23T19:24:12Z,"","Universal Music Canada",0.509,0.803,9,-5.009,1,0.0453,0.00149,0.000323,0.164,0.769,147.749,4
7iDPOnnIRfhsau33KevZ2r,"Leather Jacket","High Noon","Arkells",2014-08-05,236453,48,1299016678,2018-04-23T19:24:25Z,"","Universal Music Canada",0.353,0.886,11,-4.501,1,0.0481,0.00103,0.00027,0.371,0.66,128.077,4
6ppA06Pl0RJwhEQ6dWMi54,"Crawling Through The Window","High Noon","Arkells",2014-08-05,228413,22,1299016678,2018-04-23T19:24:36Z,"","Universal Music Canada",0.645,0.586,5,-6.457,1,0.0264,0.49,0.0000755,0.13,0.411,94.236,4
