Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0mflMxspEfB0VbI1kyLiAv,"Stick Season","Stick Season","Noah Kahan",2022-10-14,182346,87,sneaky1004,2023-06-18T03:30:00Z,"","Mercury Records/Republic Records",0.664,0.5,9,-6.935,1,0.0651,0.799,0,0.0966,0.801,117.896,4
3CboywxfJIgvHqi2FF4exb,"Loverboy","Loverboy","A-Wall",2019-06-28,224520,12,sneaky1004,2023-06-18T03:30:43Z,"bedroom pop","Revolution Records",0.604,0.466,0,-10.093,1,0.0315,0.649,0.0334,0.093,0.499,120.045,4
0CjP2vfWYMNdVFjg4RoDj5,"The Gold - Acoustic","The Gold (Acoustic)","Manchester Orchestra",2017-12-08,264946,42,sneaky1004,2023-06-18T03:30:53Z,"","Loma Vista",0.361,0.173,9,-15.244,1,0.0357,0.871,0.000207,0.295,0.502,166.597,3
3QmzlL0tTtDgD1Hwfct68D,"Let's Be Still","Let's Be Still","The Head And The Heart",2013-10-15,268346,60,sneaky1004,2023-06-18T03:31:12Z,"indie folk,folk pop,folk","Sub Pop Records",0.638,0.411,9,-10.724,1,0.0277,0.674,0.00357,0.106,0.563,131.18,4
0zlaa4AmbFE7MVDijsyD9Q,"Heat Above","The Battle at Garden’s Gate","Greta Van Fleet",2021-04-16,341255,63,sneaky1004,2023-06-18T03:31:27Z,"rock","Lava / Republic Records",0.338,0.847,3,-3.692,1,0.0458,0.00881,0.00105,0.147,0.232,139.061,4
1odExI7RdWc4BT515LTAwj,"Daylight","Daylight","David Kushner",2023-04-14,212953,81,sneaky1004,2023-06-18T03:31:49Z,"","Miserable Music Group, LLC",0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,4
2L9N0zZnd37dwF0clgxMGI,"ceilings","five seconds flat","Lizzy McAlpine",2022-04-08,182887,81,sneaky1004,2023-06-18T03:31:56Z,"","Harbour Artists & Music",0.516,0.322,9,-11.762,1,0.0292,0.473,0.00194,0.215,0.261,148.005,3
1rPiAgK5DD2ve9aPujSJB7,"Biblical","Biblical","Calum Scott",2021-06-10,229673,54,sneaky1004,2023-06-18T03:32:03Z,"soft pop","Capitol Records",0.565,0.272,4,-4.747,1,0.032,0.802,0,0.111,0.331,135.812,4
37zuIvk4KBkAxxLJsxJaHq,"Would That I","Wasteland, Baby!","Hozier",2019-03-01,268293,77,6ejzbcsssrmqkloyd50mpkire,2023-06-18T03:32:43Z,"","Columbia",0.521,0.526,5,-6.032,1,0.0281,0.243,0.00537,0.108,0.502,130.694,4
474uVhyGgK5MtY9gMcDgGl,"It's Called: Freefall","How to: Friend, Love, Freefall","Rainbow Kitten Surprise",2018-04-06,152293,78,6ejzbcsssrmqkloyd50mpkire,2023-06-18T03:32:45Z,"","Elektra (NEK)",0.744,0.516,2,-6.365,1,0.0513,0.632,0,0.605,0.281,97.944,4
3WMj8moIAXJhHsyLaqIIHI,"Something in the Orange","Something in the Orange","Zach Bryan",2022-04-22,228013,85,6ejzbcsssrmqkloyd50mpkire,2023-06-18T03:32:48Z,"country,red dirt","Warner Records",0.369,0.192,4,-12.151,0,0.04,0.555,0.00000835,0.0954,0.148,175.212,3
20svOpmCQao5GUBgSu8zDe,"Rivers and Roads","The Head and the Heart","The Head And The Heart",2011-01-11,284000,0,xc4d55arhin0xaa4hhdc2ujqz,2023-06-18T03:32:51Z,"indie folk,folk pop,folk","Sub Pop Records",0.499,0.178,0,-9.764,1,0.0345,0.701,0.0000375,0.0762,0.184,131.993,3
0jZO7p0nBUi9VHedWUBS9l,"The Night We Met (feat. Phoebe Bridgers)","13 Reasons Why (Season 2)","Lord Huron,Phoebe Bridgers",2018-05-18,208173,63,xc4d55arhin0xaa4hhdc2ujqz,2023-06-18T03:32:58Z,"","UMGRI Interscope",0.423,0.437,2,-8.588,1,0.0355,0.962,0.336,0.664,0.131,174.158,3
0b6wdul3A5sQNpIOv03OxP,"Ocean Drive","Ocean Drive","Duke Dumont",2015-07-31,206320,69,6ejzbcsssrmqkloyd50mpkire,2023-06-18T03:33:00Z,"house","EMI",0.686,0.718,8,-5.054,0,0.0431,0.00637,0.000703,0.119,0.557,115.026,4
6Nt65Ai8u0oUBAXhARj04o,"Like the Dawn","Through the Deep, Dark Valley","The Oh Hellos",2012-10-30,305000,48,xc4d55arhin0xaa4hhdc2ujqz,2023-06-18T03:33:03Z,"christian folk,folk pop,indie folk","The Oh Hellos",0.571,0.491,5,-11.351,0,0.0281,0.503,0.00568,0.098,0.37,96.029,4
1Y3LN4zO1Edc2EluIoSPJN,"Until I Found You (with Em Beihold) - Em Beihold Version","Until I Found You (Em Beihold Version)","Stephen Sanchez,Em Beihold",2022-04-22,176440,80,sneaky1004,2023-06-18T03:33:03Z,"","Republic Records",0.551,0.55,10,-5.339,1,0.0286,0.777,0,0.202,0.342,101.19,3
1fEGtTZjrjJW8eUeewnNJR,"Flightless Bird, American Mouth","The Shepherd's Dog","Iron & Wine",2007-09-25,241917,69,xc4d55arhin0xaa4hhdc2ujqz,2023-06-18T03:33:08Z,"indie folk,chamber pop,folk","Sub Pop Records",0.369,0.403,3,-7.996,1,0.0259,0.827,0.0541,0.106,0.177,154.899,3
1Fid2jjqsHViMX6xNH70hE,"Atlantis","Tell Me It's Real (Expanded Edition)","Seafret",2016-01-29,229173,84,sneaky1004,2023-06-18T03:33:12Z,"","Sweet Jane Recordings",0.4,0.479,8,-7.989,0,0.0308,0.0529,0.00000214,0.115,0.213,166.159,4
7B2yGUDt0aHGP0YuP4c2iG,"Down in the Valley","The Head And The Heart","The Head And The Heart",2011-01-11,303653,0,xc4d55arhin0xaa4hhdc2ujqz,2023-06-18T03:33:15Z,"indie folk,folk pop,folk","The Head And The Heart",0.414,0.394,0,-11.412,1,0.0297,0.52,0.0283,0.113,0.184,105.822,4
7w5cxTEzp1rfV3KCy0Bd5N,"Home","Up from Below","Edward Sharpe & The Magnetic Zeros",2009-07-14,303200,3,sneaky1004,2023-06-18T03:33:16Z,"","Vagrant Records",0.542,0.589,2,-6.623,1,0.0318,0.292,0.000522,0.177,0.137,111.665,4
0ZAbupc7jAQpG9IxojQ3s3,"Cocaine Jesus","RKS","Rainbow Kitten Surprise",2015-04-25,229666,1,xc4d55arhin0xaa4hhdc2ujqz,2023-06-18T03:33:22Z,"","RKS Recordings",0.822,0.362,2,-7.462,1,0.0411,0.16,0,0.313,0.159,119.903,4
