Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2fhePAlCSsJplwkjqMYpVm,"LOVE AGAIN","CASE STUDY 01","Daniel Caesar,Brandy",2019-06-28,214277,64,8gwcez1oesoo5fystrp31w9x6,2023-08-25T23:45:42Z,"r&b","Golden Child Recordings",0.553,0.441,5,-6.411,1,0.0918,0.41,0.00000257,0.107,0.525,76.988,4
2CSRrnOEELmhpq8iaAi9cd,"Blind","SOS","SZA",2022-12-09,150720,75,8gwcez1oesoo5fystrp31w9x6,2023-08-25T23:46:02Z,"r&b","Top Dawg Entertainment/RCA Records",0.461,0.279,9,-11.776,0,0.0373,0.911,0,0.205,0.599,114.225,4
40EXFgNMOIQRQOwJZ8mJkC,"Who Told You (feat. Drake)","Who Told You (feat. Drake)","J Hus,Drake",2023-06-08,208917,64,8gwcez1oesoo5fystrp31w9x6,2023-08-25T23:49:58Z,"grime,afroswing,afrobeats,rap,hip hop","Black Butter",0.732,0.736,11,-4.607,0,0.323,0.156,0,0.124,0.87,76.656,5
2xC3aQCmwgsW7ChDlJxLca,"Back On 74","Back On 74","Jungle",2023-07-27,209482,0,8gwcez1oesoo5fystrp31w9x6,2023-09-08T17:24:37Z,"","Caiola Records",0.62,0.761,10,-7.282,0,0.175,0.207,0.000147,0.269,0.194,146.003,4
2Z2MAil7tpZhHOB2noIJUd,"jersey luv","jersey luv","GROOVY,B Jack$",2023-02-01,231106,0,8gwcez1oesoo5fystrp31w9x6,2023-09-12T19:13:12Z,"jersey club,sexy drill","VWO Records.",0.345,0.674,1,-6.765,0,0.156,0.494,0,0.133,0.318,155.957,4
,"undefined","undefined","undefined",,,,8gwcez1oesoo5fystrp31w9x6,2023-09-17T21:52:49Z,"","undefined",,,,,,,,,,,,
5qoYAaamCq2vBLHpvArGjk,"","","",0000,0,0,8gwcez1oesoo5fystrp31w9x6,2023-11-11T01:41:21Z,"champeta","",0.688,0.447,11,-10.04,0,0.0434,0.255,0,0.0418,0.529,110.008,4
0JwfrZk5keNp3SYhZn6Wi1,"No One Knows","A.M. Paradox","Brent Faiyaz",2016-09-20,271246,69,8gwcez1oesoo5fystrp31w9x6,2023-12-09T08:39:58Z,"r&b","Lost Kids, LLC",0.547,0.618,4,-9.709,0,0.207,0.357,0.0000431,0.106,0.307,103.919,4
,"undefined","undefined","undefined",,,,8gwcez1oesoo5fystrp31w9x6,2024-02-14T07:32:07Z,"","undefined",,,,,,,,,,,,
3mitUVB1ZpgpGYOEfbbQ33,"Deira","Deira","Saint Levant,MC Abdul",2024-02-23,169186,49,8gwcez1oesoo5fystrp31w9x6,2024-03-22T05:20:28Z,"arabic rap","Saint Levant",0.752,0.698,7,-5.663,0,0.0372,0.802,0.00497,0.125,0.549,101.963,4
0cdPGKZRvj01vg5XLfqdfd,"Horsepower","Horsepower","daniell,caesar",2023-11-21,168343,0,8gwcez1oesoo5fystrp31w9x6,2024-03-27T00:20:12Z,"","Golden Child Recordings",0.574,0.317,11,-12.786,0,0.0348,0.598,0.0000675,0.213,0.176,103.961,4
5w2urkV0oCHiBCo5W2fYmR,"5am in Paris","5am in Paris","Saint Levant",2024-04-11,135179,50,8gwcez1oesoo5fystrp31w9x6,2024-04-14T01:18:06Z,"arabic rap","Saint Levant",0.739,0.607,0,-10.525,1,0.0702,0.189,0.0474,0.13,0.655,115.114,4
3TzuOUqhDIS7gkKS4oy37V,"From Gaza, With Love","From Gaza, With Love","Saint Levant",2023-03-06,119747,46,8gwcez1oesoo5fystrp31w9x6,2024-04-14T01:19:09Z,"arabic rap","2048 LLC",0.828,0.48,7,-9.569,1,0.158,0.587,0.169,0.127,0.253,116.038,4
5WHnE8MsLFHqSUwecrs7WO,"Bésame Mucho","Amor (Edición Especial En Español)","Andrea Bocelli",2006-01-01,241232,62,8gwcez1oesoo5fystrp31w9x6,2024-04-15T07:07:03Z,"opera","Sugar s.r.l. under exclusive licence to Universal International Music B.V.",0.521,0.502,5,-8.521,0,0.0287,0.886,0.02,0.188,0.378,95.028,4
2SWbnWSe1onmbllRAU46uo,"PERSIAN RUGS","PARTYPACK","PARTYNEXTDOOR",2020-10-16,174306,71,8gwcez1oesoo5fystrp31w9x6,2024-04-19T06:24:54Z,"r&b","OVO Sound",0.768,0.428,1,-8.156,0,0.0459,0.0489,0.000491,0.105,0.147,110.478,4
09gysnJpfQ3ublBmJDfcEC,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)","SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)","Amaarae,Kali Uchis,MOLIY",2021-09-16,204763,76,8gwcez1oesoo5fystrp31w9x6,2024-04-19T20:51:21Z,"alté,afrobeats","0207 Def Jam",0.87,0.523,1,-8.052,0,0.0602,0.433,0.0000207,0.113,0.319,110.02,4
0pKVRbfQXIVYzTlisENGFH,"senior","senior","leeron",2023-08-25,199156,1,8gwcez1oesoo5fystrp31w9x6,2024-05-05T04:39:23Z,"","5601956 Records DK2",0.625,0.41,7,-11.13,0,0.0368,0.213,0.000136,0.523,0.295,84.947,4
2VgjGB1MMpkCTVVwKMSBjB,"Galbi","Galbi","Saint Levant",2024-05-03,143529,48,8gwcez1oesoo5fystrp31w9x6,2024-05-05T08:30:58Z,"arabic rap","Saint Levant",0.741,0.605,3,-5.392,0,0.219,0.574,0.0000542,0.0722,0.757,152.957,4
22NwPDPsTVRNewmtb8qsa9,"yuhgetme?","yuhgetme?","leeron,Roy William",2023-12-22,172096,0,8gwcez1oesoo5fystrp31w9x6,2024-05-24T19:14:05Z,"","5601956 Records DK2",0.814,0.346,10,-11.273,0,0.0971,0.0465,0.0000178,0.118,0.661,126.075,4
4WZdQvtG2ek9peqCKxkV86,"Jimmy Choos","Jimmy Choos","Roy William,leeron",2023-09-29,133643,1,8gwcez1oesoo5fystrp31w9x6,2024-05-24T19:14:10Z,"","1996087 Records DK2",0.711,0.393,8,-12.073,1,0.208,0.00705,0,0.142,0.291,129.825,4
5qPcrnvubBiYudhiPcpPIK,"ON 10","SATIN","DESTIN CONRAD",2022-11-11,173458,44,8gwcez1oesoo5fystrp31w9x6,2024-06-02T03:31:35Z,"alternative r&b","Above Ground Entertainment",0.825,0.384,8,-13.251,1,0.131,0.202,0.71,0.468,0.251,109.981,4
2eKZvfQGKWrpASz67UCvTo,"FaceTime","FaceTime","Saint Levant",2023-02-14,153625,54,8gwcez1oesoo5fystrp31w9x6,2024-06-08T04:12:04Z,"arabic rap","2048 LLC",0.769,0.541,1,-9.71,1,0.267,0.101,0.000012,0.101,0.669,100.083,4
2BVGOALdQbEoHdTDRnblPO,"On This Land","DEIRA","Saint Levant,Sol Band",2024-06-07,134024,47,8gwcez1oesoo5fystrp31w9x6,2024-06-08T19:32:50Z,"arabic rap","Saint Levant",0.54,0.752,1,-6.558,0,0.146,0.629,0.000132,0.188,0.516,116.981,4
6GZ1fXt4LMbYxqsh4KkzoU,"Forgive Me","DEIRA","Saint Levant,TIF",2024-06-07,171367,58,8gwcez1oesoo5fystrp31w9x6,2024-06-08T19:33:03Z,"arabic rap","Saint Levant",0.499,0.666,2,-4.678,0,0.0781,0.0832,0.0000262,0.0994,0.877,116.185,4
1C8Y9lRqBfATkC7SSMvm6y,"Let Her Go","DEIRA","Saint Levant,Cheb Bilal",2024-06-07,159857,47,8gwcez1oesoo5fystrp31w9x6,2024-06-08T19:33:09Z,"arabic rap,raï,moroccan chaabi,moroccan pop,gnawa","Saint Levant",0.581,0.741,11,-6.99,0,0.0899,0.581,0.00466,0.126,0.443,142.899,4
653KCEiNh1JpZySNEWJ5O1,"Allah Yihmeeki","DEIRA","Saint Levant,Kehlani",2024-06-07,163183,54,8gwcez1oesoo5fystrp31w9x6,2024-06-08T19:33:13Z,"arabic rap","Saint Levant",0.455,0.527,5,-7.629,0,0.0621,0.489,0.000162,0.109,0.42,97.58,4
