Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1qMMYpVatbRITKCfq1gasi,"PUFFIN ON ZOOTIEZ","I NEVER LIKED YOU","Future",2022-04-29,172933,78,31abj3zyx3jg4uozx3rdmpqa6wca,2023-02-25T22:58:33Z,"rap","Epic/Freebandz",0.883,0.657,8,-5.748,1,0.305,0.0603,0,0.128,0.284,124.992,4
5fEB6ZmVkg63GZg9qO86jh,"Break from Toronto","PARTYNEXTDOOR","PARTYNEXTDOOR",2013-07-01,99213,83,31abj3zyx3jg4uozx3rdmpqa6wca,2023-02-25T22:58:46Z,"r&b","OVO Sound",0.595,0.678,9,-5.18,1,0.0335,0.0199,0.00389,0.418,0.259,117.067,4
3QLjDkgLh9AOEHlhQtDuhs,"Best I Ever Had","So Far Gone","Drake",2009,257690,77,31abj3zyx3jg4uozx3rdmpqa6wca,2023-02-25T22:59:21Z,"rap,hip hop","Young Money/Cash Money Records",0.395,0.922,1,-2.176,1,0.375,0.19,0,0.134,0.558,162.361,4
0oufSLnKQDoBFX5mgkDCgR,"Trust","Lost","Brent Faiyaz",2018-10-19,158420,76,31abj3zyx3jg4uozx3rdmpqa6wca,2023-02-25T22:59:40Z,"r&b","Lost Kids / Human Re Sources",0.764,0.394,8,-8.559,1,0.152,0.231,0.0000937,0.117,0.465,92.009,4
5NijSs5dAwaIybq1GaRTIe,"Poison","Poison","Brent Faiyaz",2016-08-03,212992,79,31abj3zyx3jg4uozx3rdmpqa6wca,2023-02-25T22:59:47Z,"r&b","Lost Kids",0.689,0.394,2,-10.102,0,0.065,0.711,0.000905,0.0859,0.382,117.489,3
3aJkV6DUTSCqOwVwaBDG9B,"With You","Views","Drake,PARTYNEXTDOOR",2016-05-06,195053,63,31abj3zyx3jg4uozx3rdmpqa6wca,2023-02-25T23:00:03Z,"rap,hip hop,r&b","Cash Money Records/Young Money Ent./Universal Rec.",0.878,0.406,1,-9.961,1,0.248,0.134,0.000234,0.112,0.784,128.014,4
5c3luoCub1Z1Gg74NdNtuq,"Belong to the City","PARTYNEXTDOOR TWO","PARTYNEXTDOOR",2014-07-29,98023,78,31abj3zyx3jg4uozx3rdmpqa6wca,2023-02-25T23:00:45Z,"r&b","OVO Sound",0.582,0.482,5,-9.813,0,0.0479,0.709,0.00138,0.129,0.193,88.198,4
5rgrBsAFYMun6yhtnLKRPz,"Right My Wrongs","T R A P S O U L","Bryson Tiller",2015-10-02,249320,81,31abj3zyx3jg4uozx3rdmpqa6wca,2023-02-25T23:01:02Z,"r&b","TrapSoul/RCA Records",0.543,0.449,1,-8.065,1,0.0463,0.345,0,0.157,0.29,132.609,4
3a3dQOO19moXPeTt2PomoT,"What You Heard","What You Heard","Sonder",2019-02-22,238242,79,31abj3zyx3jg4uozx3rdmpqa6wca,2023-02-25T23:02:08Z,"r&b","Sonder Global",0.429,0.371,2,-9.017,0,0.0327,0.546,0.00000571,0.104,0.135,137.134,4
7LaI3mRTJu66r9HKdv7iBx,"Gang Over Luv","Sonder Son","Brent Faiyaz",2017-10-13,204841,70,31abj3zyx3jg4uozx3rdmpqa6wca,2023-02-25T23:02:25Z,"r&b","Lost Kids",0.781,0.277,8,-9.35,1,0.326,0.0408,0.000339,0.0754,0.302,163.987,4
7kOU7qeq1PV6R2ZJcKUyIQ,"Ok Cool","Ok Cool","CEO Trayle",2020-05-05,177648,0,31abj3zyx3jg4uozx3rdmpqa6wca,2023-02-25T23:02:48Z,"","Independent",0.512,0.351,3,-11.371,0,0.554,0.651,0,0.183,0.607,71.793,4
79XrkTOfV1AqySNjVlygpW,"Energy","If You're Reading This It's Too Late","Drake",2015-02-12,181933,70,31abj3zyx3jg4uozx3rdmpqa6wca,2023-02-25T23:03:22Z,"rap,hip hop","Cash Money Records/Young Money Ent./Universal Rec.",0.747,0.571,11,-7.916,1,0.478,0.38,0,0.534,0.553,172.104,4
124NFj84ppZ5pAxTuVQYCQ,"Take Care","Take Care (Deluxe)","Drake,Rihanna",2011-11-15,277386,76,31abj3zyx3jg4uozx3rdmpqa6wca,2023-02-25T23:03:34Z,"rap,hip hop","Cash Money Records/Young Money Ent./Universal Rec.",0.629,0.515,0,-10.358,0,0.265,0.0267,0.0000122,0.0888,0.299,121.845,4
6BdgtqiV3oXNqBikezwdvC,"Over","Thank Me Later","Drake",2010-01-01,233560,69,31abj3zyx3jg4uozx3rdmpqa6wca,2023-02-25T23:03:43Z,"rap,hip hop","Aspire Music Group, LLC",0.35,0.845,7,-5.614,1,0.2,0.0107,0,0.123,0.45,99.643,5
4BycRneKmOs6MhYG9THsuX,"Find Your Love","Thank Me Later","Drake",2010-01-01,208946,66,31abj3zyx3jg4uozx3rdmpqa6wca,2023-02-25T23:03:55Z,"rap,hip hop","Aspire Music Group, LLC",0.627,0.614,6,-6.006,0,0.17,0.0211,0,0.0286,0.758,96.038,4
4wVOKKEHUJxHCFFNUWDn0B,"Chicago Freestyle (feat. Giveon)","Dark Lane Demo Tapes","Drake,GIVĒON",2020-05-01,220487,78,31abj3zyx3jg4uozx3rdmpqa6wca,2023-02-25T23:04:04Z,"rap,hip hop,r&b","OVO",0.735,0.449,10,-7.507,1,0.347,0.629,0,0.113,0.0397,122.947,4
2Na0z2gfN67Rzf0vp74Wi3,"Lose You","More Life","Drake",2017-03-18,305373,63,31abj3zyx3jg4uozx3rdmpqa6wca,2023-02-25T23:04:13Z,"rap,hip hop","Cash Money Records/Young Money Ent./Universal Rec.",0.526,0.583,4,-9.172,1,0.376,0.699,0,0.372,0.378,89.837,4
