Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1BxfuPKGuaTgP7aM0Bbdwr,"Cruel Summer","Lover","Taylor Swift",2019-08-23,178426,89,128018344,2023-07-25T23:31:27Z,"","Taylor Swift",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4
7KokYm8cMIXCsGVmUvKtqf,"Karma","Midnights","Taylor Swift",2022-10-21,204852,76,128018344,2023-07-25T23:31:39Z,"","Taylor Swift",0.64,0.619,8,-7.108,1,0.065,0.062,0,0.475,0.121,90.008,4
1qrpoAMXodY6895hGKoUpA,"You Belong With Me (Taylor’s Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,231124,81,128018344,2023-07-25T23:31:52Z,"","Taylor Swift",0.632,0.773,6,-4.856,1,0.0346,0.0623,0,0.0885,0.474,130.033,4
6sxptembJVty4sNtcPMAVz,"Man! I Feel Like A Woman!","Come On Over","Shania Twain",1997-11-04,234493,72,128018344,2023-07-25T23:32:16Z,"country","Mercury Nashville",0.677,0.639,10,-7.527,1,0.0358,0.577,0,0.278,0.673,124.943,4
2k1np6GRFvKjgjYfo2g39B,"I Wanna Dance with Somebody (Who Loves Me)","Whitney","Whitney Houston",1987-06-02,291293,1,128018344,2023-07-25T23:32:31Z,"","Arista",0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.814,4
6KOEK6SeCEZOQkLj5M1PxH,"California Gurls","Teenage Dream","Katy Perry,Snoop Dogg",2010-01-01,234653,76,128018344,2023-07-25T23:32:42Z,"pop,g-funk,west coast hip hop,gangster rap,hip hop,rap","Capitol Records",0.789,0.753,0,-3.71,1,0.0537,0.0038,0,0.18,0.403,125.007,4
58q2HKrzhC3ozto2nDdN4z,"I Like It","Invasion of Privacy","Cardi B,Bad Bunny,J Balvin",2018-04-06,253390,77,128018344,2023-07-25T23:33:15Z,"reggaeton,trap latino,latin,urbano latino","Atlantic/KSR",0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,4
6JY1IdkZGeIcPegKxjSKeb,"Since U Been Gone","Breakaway","Kelly Clarkson",2004,188960,76,128018344,2023-07-25T23:33:50Z,"christmas","RCA Records Label",0.662,0.739,9,-5.354,0,0.0322,0.00206,0.0603,0.113,0.382,130.999,4
3E7dfMvvCLUddWissuqMwr,"Party In The U.S.A.","The Time Of Our Lives (International Version)","Miley Cyrus",2009-01-01,202066,81,128018344,2023-07-25T23:34:00Z,"","Hollywood Records",0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4
0GjEhVFGZW8afUYGChu3Rr,"Dancing Queen","Arrival","ABBA",1976,230400,85,128018344,2023-07-25T23:34:20Z,"","Polar Music International AB",0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,4
2TxCwUlqaOH3TIyJqGgR91,"Mamma Mia","Abba","ABBA",1975,213266,79,128018344,2023-07-25T23:34:36Z,"","Polar Music International AB",0.749,0.748,2,-7.011,1,0.0323,0.295,0.000443,0.469,0.827,137.547,4
4w3tQBXhn5345eUXDGBWZG,"9 to 5","9 To 5 And Odd Jobs","Dolly Parton",1980,162466,78,128018344,2023-07-25T23:36:35Z,"country","RCA Records Label",0.554,0.783,6,-5.852,1,0.0457,0.416,0.00000154,0.631,0.813,105.39,4
5fdhThPDe6jQQDqCyWrdAn,"Jolene","Jolene (Expanded Edition)","Dolly Parton",1974,161533,73,128018344,2023-07-25T23:36:42Z,"country","RLG/Legacy",0.674,0.537,1,-10.971,0,0.0363,0.566,0,0.131,0.809,110.578,4
4o6BgsqLIBViaGVbx5rbRk,"You Make My Dreams (Come True)","Voices","Daryl Hall & John Oates",1980,190626,81,128018344,2023-07-25T23:37:50Z,"soft rock","RCA/BMG Heritage",0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,4
7tFiyTwD0nx5a1eklYtX2J,"Bohemian Rhapsody - Remastered 2011","A Night At The Opera (Deluxe Remastered Version)","Queen",1975-11-21,354320,72,128018344,2023-07-25T23:38:05Z,"classic rock,rock,glam rock","Hollywood Records",0.391,0.402,0,-9.961,0,0.0539,0.289,0,0.243,0.228,143.879,4
4KfSdst7rW39C0sfhArdrz,"Barracuda","Little Queen","Heart",1977-05-14,261933,73,128018344,2023-07-25T23:38:18Z,"classic rock,album rock,rock","Epic/Portrait",0.548,0.691,4,-13.553,0,0.0369,0.015,0.106,0.144,0.667,137.145,4
6xkryXuiZU360Lngd4sx13,"Fantasy","Daydream","Mariah Carey",1995-10-03,243493,76,128018344,2023-07-25T23:39:35Z,"christmas","Columbia",0.669,0.727,7,-7.588,1,0.0353,0.139,0,0.123,0.807,102.322,4
2aBxt229cbLDOvtL7Xbb9x,"Always Be My Baby","Daydream","Mariah Carey",1995-10-03,258133,74,128018344,2023-07-25T23:39:51Z,"christmas","Columbia",0.65,0.531,4,-8.335,1,0.0364,0.457,0,0.249,0.487,78.946,4
1jX9wlAgVkAl0fCZqkCI73,"IF YOU GO DOWN (I'M GOIN' DOWN TOO)","SUBJECT TO CHANGE","Kelsea Ballerini",2022-09-23,166035,68,128018344,2023-07-25T23:41:07Z,"country","Black River Entertainment",0.676,0.856,11,-4.35,1,0.0393,0.454,0,0.141,0.965,144.092,4
6fyzsHCwnt8oL4XgGIMrdN,"Potential Breakup Song","Potential Breakup Song","Aly & AJ",2020-12-29,218333,56,128018344,2023-07-25T23:41:35Z,"","Aly & AJ Music LLC",0.554,0.901,6,-4.139,0,0.0384,0.000493,0.000291,0.0867,0.537,157.987,4
7rqaqQurHzR5xHAhdm1gmM,"Goodbye Earl","Fly","The Chicks",1999-08-27,258640,65,128018344,2023-07-25T23:42:36Z,"country","Monument",0.705,0.7,0,-7.38,1,0.0295,0.0192,0,0.0755,0.765,122.841,4
4FUfoWMypAyWbOavmYyeNu,"That Don't Impress Me Much","Come On Over","Shania Twain",1997-11-04,218866,61,128018344,2023-07-25T23:42:52Z,"country","Mercury Nashville",0.757,0.757,1,-7.599,1,0.0389,0.238,0,0.0476,0.967,124.955,4
58spuRyMUsjKHQHEGwLC99,"80s Mercedes","HERO (Deluxe Edition)","Maren Morris",2017-03-17,211767,57,128018344,2023-07-25T23:43:03Z,"country","Columbia Nashville",0.485,0.834,9,-5.413,1,0.0715,0.0665,0,0.28,0.659,90.933,4
1LM5zQv5pBKPyO7rm7Uz6U,"My Church","HERO (Deluxe Edition)","Maren Morris",2017-03-17,197930,64,128018344,2023-07-25T23:43:17Z,"country","Columbia Nashville",0.517,0.743,9,-4.336,1,0.0363,0.243,0.00000336,0.107,0.664,76.979,4
0pdfN7nOHMYmKykzu1cyfm,"Any Man Of Mine","The Woman In Me","Shania Twain",1995-01-01,246760,73,128018344,2023-07-25T23:43:30Z,"country","Mercury Nashville",0.592,0.725,8,-8.698,1,0.0412,0.207,0,0.148,0.784,78.235,4
3MjUtNVVq3C8Fn0MP3zhXa,"...Baby One More Time","...Baby One More Time (Digital Deluxe Version)","Britney Spears",1999-01-12,211066,83,128018344,2023-07-25T23:44:19Z,"pop","Jive",0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,4
6naxalmIoLFWR0siv8dnQQ,"Oops!...I Did It Again","Oops!... I Did It Again","Britney Spears",2000-05-16,211160,81,128018344,2023-07-25T23:44:34Z,"pop","Jive",0.751,0.834,1,-5.444,0,0.0437,0.3,0.0000177,0.355,0.894,95.053,4
6HMtHNpW6YPi1hrw9tgF8P,"About Damn Time","Special","Lizzo",2022-07-15,191937,75,128018344,2023-07-25T23:45:15Z,"","Nice Life/Atlantic",0.836,0.743,10,-6.305,0,0.0653,0.0974,0,0.335,0.723,108.965,4
13Irp51zj01BZu2XtDrnAg,"2 Be Loved (Am I Ready)","Special","Lizzo",2022-07-14,187107,68,128018344,2023-07-25T23:45:21Z,"","Nice Life/Atlantic",0.721,0.769,7,-4.111,1,0.105,0.0922,0,0.0817,0.915,155.932,4
