artists,occurrence,freqency
"The Black Ghosts",1,0.004219
"Mark Ronson,The Business Intl,MNDR",1,0.004219
"Madge",1,0.004219
"Skee-Lo",1,0.004219
"Daft Punk",15,0.063291
"Stardust,Benjamin Diamond,Alan Braxe,Thomas Bangalter",2,0.008439
"The Chemical Brothers",1,0.004219
"Domino",1,0.004219
"Katy Perry,Snoop Dogg",19,0.080169
"Blondie",11,0.046414
"Rod Stewart",1,0.004219
"Coolio",1,0.004219
"Inner City",1,0.004219
"Lil' Kim,Snoop Dogg",1,0.004219
"Robert L. Huggar",1,0.004219
"Tyrese",1,0.004219
"Ty Dolla $ign,PJ,Sa-Ra",1,0.004219
"Mila J",2,0.008439
"Keyshia Cole",4,0.016878
"Teedra Moses",2,0.008439
"Les Sins",1,0.004219
"Saweetie,YG,Tyga",1,0.004219
"Diana Ross",5,0.021097
"Mark Morrison",1,0.004219
"Adina Howard",1,0.004219
"Michiko",1,0.004219
"Khruangbin",1,0.004219
"Bananarama",2,0.008439
"TSHA",1,0.004219
"IAMNOBODI",1,0.004219
"Terry Hunter,Reelsoul,DJ Spen,Rona Ray",1,0.004219
"Shaun Escoffery",1,0.004219
"E-40",1,0.004219
"Miguel Migs",1,0.004219
"Mariah Carey,Da Brat,Missy Elliott",1,0.004219
"Miguel Migs,Andy Allo",1,0.004219
"E-40,Suga T",1,0.004219
"The Runaways",3,0.012658
"The Five Stars",6,0.025316
"Black Eyed Peas",46,0.194093
"Sparks",1,0.004219
"Elton Britt",4,0.016878
"Poppy",5,0.021097
"Jonas Brothers",11,0.046414
"Nena",9,0.037975
"Metric",1,0.004219
"Florence + The Machine",10,0.042194
"The Killers",20,0.084388
"Kesha",34,0.143460
"Ian Dury,The Blockheads",1,0.004219
"Scene Queen,Set It Off",2,0.008439
"Bikini Kill",1,0.004219
"Jazmin Bean",1,0.004219
"The Aquabats!",1,0.004219
"R.E.M.",9,0.037975
"Janelle Monáe",5,0.021097
"Poppy,Grimes",1,0.004219
"AFI",3,0.012658
"Björk",2,0.008439
"Britney Spears",100,0.421941
"The Postal Service",1,0.004219
"William Onyeabor",1,0.004219
"The Kills",3,0.012658
"Republika",1,0.004219
