artists,occurrence,freqency
"The Black Ghosts",1,0.066667
"Mark Ronson,The Business Intl,MNDR",1,0.066667
"Madge",1,0.066667
"Skee-Lo",1,0.066667
"Daft Punk",1,0.066667
"Stardust,Benjamin Diamond,Alan Braxe,Thomas Bangalter",1,0.066667
"The Chemical Brothers",1,0.066667
"Domino",1,0.066667
"Katy Perry,Snoop Dogg",5,0.333333
"Blondie",4,0.266667
"Rod Stewart",1,0.066667
"Coolio",1,0.066667
"Inner City",1,0.066667
"Lil' Kim,Snoop Dogg",1,0.066667
"Robert L. Huggar",1,0.066667
"Tyrese",1,0.066667
"Ty Dolla $ign,PJ,Sa-Ra",1,0.066667
"Mila J",1,0.066667
"Keyshia Cole",1,0.066667
"Teedra Moses",2,0.133333
"Les Sins",1,0.066667
"Saweetie,YG,Tyga",1,0.066667
"Diana Ross",1,0.066667
"Mark Morrison",1,0.066667
"Adina Howard",1,0.066667
"Michiko",1,0.066667
"Khruangbin",1,0.066667
"Bananarama",1,0.066667
"TSHA",1,0.066667
"IAMNOBODI",1,0.066667
"Terry Hunter,Reelsoul,DJ Spen,Rona Ray",1,0.066667
"Shaun Escoffery",1,0.066667
"E-40",1,0.066667
"Miguel Migs",1,0.066667
"Mariah Carey,Da Brat,Missy Elliott",1,0.066667
"Miguel Migs,Andy Allo",1,0.066667
"E-40,Suga T",1,0.066667
"The Runaways",2,0.133333
"The Five Stars",5,0.333333
"Black Eyed Peas",9,0.600000
"Sparks",1,0.066667
"Elton Britt",3,0.200000
"Poppy",4,0.266667
"Jonas Brothers",1,0.066667
"Nena",4,0.266667
"Metric",1,0.066667
"Florence + The Machine",1,0.066667
"The Killers",5,0.333333
"Kesha",8,0.533333
"Ian Dury,The Blockheads",1,0.066667
"Scene Queen,Set It Off",2,0.133333
"Bikini Kill",1,0.066667
"Jazmin Bean",1,0.066667
"The Aquabats!",1,0.066667
"R.E.M.",2,0.133333
"Janelle Monáe",4,0.266667
"Poppy,Grimes",1,0.066667
"AFI",1,0.066667
"Björk",2,0.133333
"Britney Spears",16,1.066667
"The Postal Service",1,0.066667
"William Onyeabor",1,0.066667
"The Kills",2,0.133333
"Republika",1,0.066667
"Sun Ra",1,0.066667
"Tiger Army",1,0.066667
"Green Day",3,0.200000
"Steve Stevens",1,0.066667
"Scene Queen",16,1.066667
"Halestorm",3,0.200000
"Beach Bunny",1,0.066667
"Aqua",6,0.400000
"MARINA",14,0.933333
"chloe moriondo",1,0.066667
"Orchestral Manoeuvres In The Dark",4,0.266667
"Jessie J,Ariana Grande,Nicki Minaj",1,0.066667
"Le Tigre",1,0.066667
"Sky Ferreira",2,0.133333
"Gorillaz",1,0.066667
"Grimes",2,0.133333
"Grimes,HANA",1,0.066667
"Danny Kaye,The Andrews Sisters,Vic Schoen & His Orchestra",1,0.066667
"Wolf Alice",1,0.066667
"Charli xcx",14,0.933333
"Lilyisthatyou",1,0.066667
