playlist a,playlist b,common artists, unique artists
"beverly_hills_barbenheimer","💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana",1,160
"beverly_hills_barbenheimer","barbenheimer💅💣_Aobambi",1,58
"beverly_hills_barbenheimer","barbenheimer_Marianna",0,128
"beverly_hills_barbenheimer","summer_of_barbenheimer",0,104
"beverly_hills_barbenheimer","barbenheimer_Dee&FromZimbabwe",1,53
"beverly_hills_barbenheimer","barbenheimerrr💕💥_daisyrain323&others",1,171
"beverly_hills_barbenheimer","barbenheimer_satiahatami",1,111
"beverly_hills_barbenheimer","barbenheimer_jsobo",0,241
"beverly_hills_barbenheimer","barbenheimer_Vanessasapinheiro&RennieKeller",0,127
"beverly_hills_barbenheimer","barbenheimer_JessicaKoebelMillen",2,113
"beverly_hills_barbenheimer","barbenheimer_MrMario",0,100
"beverly_hills_barbenheimer","barbenheimer_hoe_down",0,115
"beverly_hills_barbenheimer","barbenheimer_cody",0,56
"beverly_hills_barbenheimer","barbenheimer_Sam Telford",0,104
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer💅💣_Aobambi",7,134
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_Marianna",8,200
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","summer_of_barbenheimer",5,182
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_Dee&FromZimbabwe",2,139
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimerrr💕💥_daisyrain323&others",12,237
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_satiahatami",6,189
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_jsobo",6,317
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_Vanessasapinheiro&RennieKeller",16,183
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_JessicaKoebelMillen",11,183
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_MrMario",1,186
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_hoe_down",4,195
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_cody",6,132
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_Sam Telford",19,154
"barbenheimer💅💣_Aobambi","barbenheimer_Marianna",3,108
"barbenheimer💅💣_Aobambi","summer_of_barbenheimer",1,88
"barbenheimer💅💣_Aobambi","barbenheimer_Dee&FromZimbabwe",2,37
"barbenheimer💅💣_Aobambi","barbenheimerrr💕💥_daisyrain323&others",4,151
"barbenheimer💅💣_Aobambi","barbenheimer_satiahatami",4,91
"barbenheimer💅💣_Aobambi","barbenheimer_jsobo",2,223
"barbenheimer💅💣_Aobambi","barbenheimer_Vanessasapinheiro&RennieKeller",4,105
"barbenheimer💅💣_Aobambi","barbenheimer_JessicaKoebelMillen",7,89
"barbenheimer💅💣_Aobambi","barbenheimer_MrMario",3,80
"barbenheimer💅💣_Aobambi","barbenheimer_hoe_down",3,95
"barbenheimer💅💣_Aobambi","barbenheimer_cody",1,40
"barbenheimer💅💣_Aobambi","barbenheimer_Sam Telford",4,82
"barbenheimer_Marianna","summer_of_barbenheimer",5,148
"barbenheimer_Marianna","barbenheimer_Dee&FromZimbabwe",5,99
"barbenheimer_Marianna","barbenheimerrr💕💥_daisyrain323&others",14,199
"barbenheimer_Marianna","barbenheimer_satiahatami",8,151
"barbenheimer_Marianna","barbenheimer_jsobo",6,283
"barbenheimer_Marianna","barbenheimer_Vanessasapinheiro&RennieKeller",6,169
"barbenheimer_Marianna","barbenheimer_JessicaKoebelMillen",8,155
"barbenheimer_Marianna","barbenheimer_MrMario",2,150
"barbenheimer_Marianna","barbenheimer_hoe_down",7,155
"barbenheimer_Marianna","barbenheimer_cody",3,104
"barbenheimer_Marianna","barbenheimer_Sam Telford",5,148
"summer_of_barbenheimer","barbenheimer_Dee&FromZimbabwe",1,83
"summer_of_barbenheimer","barbenheimerrr💕💥_daisyrain323&others",4,195
"summer_of_barbenheimer","barbenheimer_satiahatami",6,131
"summer_of_barbenheimer","barbenheimer_jsobo",3,265
"summer_of_barbenheimer","barbenheimer_Vanessasapinheiro&RennieKeller",4,149
"summer_of_barbenheimer","barbenheimer_JessicaKoebelMillen",3,141
"summer_of_barbenheimer","barbenheimer_MrMario",2,126
"summer_of_barbenheimer","barbenheimer_hoe_down",2,141
"summer_of_barbenheimer","barbenheimer_cody",0,86
"summer_of_barbenheimer","barbenheimer_Sam Telford",2,130
"barbenheimer_Dee&FromZimbabwe","barbenheimerrr💕💥_daisyrain323&others",4,146
"barbenheimer_Dee&FromZimbabwe","barbenheimer_satiahatami",4,86
"barbenheimer_Dee&FromZimbabwe","barbenheimer_jsobo",1,220
"barbenheimer_Dee&FromZimbabwe","barbenheimer_Vanessasapinheiro&RennieKeller",4,100
"barbenheimer_Dee&FromZimbabwe","barbenheimer_JessicaKoebelMillen",10,78
"barbenheimer_Dee&FromZimbabwe","barbenheimer_MrMario",2,77
"barbenheimer_Dee&FromZimbabwe","barbenheimer_hoe_down",2,92
"barbenheimer_Dee&FromZimbabwe","barbenheimer_cody",1,35
"barbenheimer_Dee&FromZimbabwe","barbenheimer_Sam Telford",2,81
"barbenheimerrr💕💥_daisyrain323&others","barbenheimer_satiahatami",30,152
"barbenheimerrr💕💥_daisyrain323&others","barbenheimer_jsobo",42,256
"barbenheimerrr💕💥_daisyrain323&others","barbenheimer_Vanessasapinheiro&RennieKeller",17,192
"barbenheimerrr💕💥_daisyrain323&others","barbenheimer_JessicaKoebelMillen",18,180
"barbenheimerrr💕💥_daisyrain323&others","barbenheimer_MrMario",2,195
"barbenheimerrr💕💥_daisyrain323&others","barbenheimer_hoe_down",17,180
"barbenheimerrr💕💥_daisyrain323&others","barbenheimer_cody",5,145
"barbenheimerrr💕💥_daisyrain323&others","barbenheimer_Sam Telford",7,189
"barbenheimer_satiahatami","barbenheimer_jsobo",28,224
"barbenheimer_satiahatami","barbenheimer_Vanessasapinheiro&RennieKeller",12,142
"barbenheimer_satiahatami","barbenheimer_JessicaKoebelMillen",11,134
"barbenheimer_satiahatami","barbenheimer_MrMario",3,133
"barbenheimer_satiahatami","barbenheimer_hoe_down",12,130
"barbenheimer_satiahatami","barbenheimer_cody",2,91
"barbenheimer_satiahatami","barbenheimer_Sam Telford",1,141
"barbenheimer_jsobo","barbenheimer_Vanessasapinheiro&RennieKeller",5,284
"barbenheimer_jsobo","barbenheimer_JessicaKoebelMillen",7,270
"barbenheimer_jsobo","barbenheimer_MrMario",1,265
"barbenheimer_jsobo","barbenheimer_hoe_down",12,258
"barbenheimer_jsobo","barbenheimer_cody",2,219
"barbenheimer_jsobo","barbenheimer_Sam Telford",6,259
"barbenheimer_Vanessasapinheiro&RennieKeller","barbenheimer_JessicaKoebelMillen",17,136
"barbenheimer_Vanessasapinheiro&RennieKeller","barbenheimer_MrMario",2,149
"barbenheimer_Vanessasapinheiro&RennieKeller","barbenheimer_hoe_down",4,160
"barbenheimer_Vanessasapinheiro&RennieKeller","barbenheimer_cody",2,105
"barbenheimer_Vanessasapinheiro&RennieKeller","barbenheimer_Sam Telford",3,151
"barbenheimer_JessicaKoebelMillen","barbenheimer_MrMario",3,137
"barbenheimer_JessicaKoebelMillen","barbenheimer_hoe_down",8,142
"barbenheimer_JessicaKoebelMillen","barbenheimer_cody",3,93
"barbenheimer_JessicaKoebelMillen","barbenheimer_Sam Telford",12,123
"barbenheimer_MrMario","barbenheimer_hoe_down",3,135
"barbenheimer_MrMario","barbenheimer_cody",1,80
"barbenheimer_MrMario","barbenheimer_Sam Telford",3,124
"barbenheimer_hoe_down","barbenheimer_cody",1,95
"barbenheimer_hoe_down","barbenheimer_Sam Telford",8,129
"barbenheimer_cody","barbenheimer_Sam Telford",5,76
