playlist a,playlist b,common artists, unique artists
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_the_movie_vibes",3,112
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_playlist",1,96
"barbie_but_its_the_end_of_the_movie_and_youre_sad","im_a_barbie_girl_in_a_barbie_world_nicole<3",5,101
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_vibes_",4,93
"barbie_but_its_the_end_of_the_movie_and_youre_sad","what_was_i_made_for",11,57
"barbie_but_its_the_end_of_the_movie_and_youre_sad","girly_barbie_vibes_",3,92
"barbie_but_its_the_end_of_the_movie_and_youre_sad","im_a_barbie_girl_in_a_barbie_world_sukuna",7,250
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_can_you_play_ken",2,68
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_vibes",9,159
"barbie_but_its_the_end_of_the_movie_and_youre_sad","🌷🎀_Barbie_Vibes_🛼🌸",9,176
"barbie_but_its_the_end_of_the_movie_and_youre_sad","what_was_i_made_for_type_of_sad",13,47
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_movie_vibes_2023",2,109
"barbie_the_movie_vibes","barbie_playlist",18,70
"barbie_the_movie_vibes","im_a_barbie_girl_in_a_barbie_world_nicole<3",14,91
"barbie_the_movie_vibes","barbie_vibes_",9,91
"barbie_the_movie_vibes","what_was_i_made_for",2,83
"barbie_the_movie_vibes","girly_barbie_vibes_",6,94
"barbie_the_movie_vibes","im_a_barbie_girl_in_a_barbie_world_sukuna",11,250
"barbie_the_movie_vibes","barbie_can_you_play_ken",1,78
"barbie_the_movie_vibes","barbie_vibes",16,153
"barbie_the_movie_vibes","🌷🎀_Barbie_Vibes_🛼🌸",16,170
"barbie_the_movie_vibes","what_was_i_made_for_type_of_sad",2,77
"barbie_the_movie_vibes","barbie_movie_vibes_2023",13,95
"barbie_playlist","im_a_barbie_girl_in_a_barbie_world_nicole<3",10,79
"barbie_playlist","barbie_vibes_",4,81
"barbie_playlist","what_was_i_made_for",1,65
"barbie_playlist","girly_barbie_vibes_",4,78
"barbie_playlist","im_a_barbie_girl_in_a_barbie_world_sukuna",10,232
"barbie_playlist","barbie_can_you_play_ken",1,58
"barbie_playlist","barbie_vibes",9,147
"barbie_playlist","🌷🎀_Barbie_Vibes_🛼🌸",11,160
"barbie_playlist","what_was_i_made_for_type_of_sad",1,59
"barbie_playlist","barbie_movie_vibes_2023",8,85
"im_a_barbie_girl_in_a_barbie_world_nicole<3","barbie_vibes_",15,72
"im_a_barbie_girl_in_a_barbie_world_nicole<3","what_was_i_made_for",2,76
"im_a_barbie_girl_in_a_barbie_world_nicole<3","girly_barbie_vibes_",11,77
"im_a_barbie_girl_in_a_barbie_world_nicole<3","im_a_barbie_girl_in_a_barbie_world_sukuna",18,229
"im_a_barbie_girl_in_a_barbie_world_nicole<3","barbie_can_you_play_ken",1,71
"im_a_barbie_girl_in_a_barbie_world_nicole<3","barbie_vibes",23,132
"im_a_barbie_girl_in_a_barbie_world_nicole<3","🌷🎀_Barbie_Vibes_🛼🌸",20,155
"im_a_barbie_girl_in_a_barbie_world_nicole<3","what_was_i_made_for_type_of_sad",2,70
"im_a_barbie_girl_in_a_barbie_world_nicole<3","barbie_movie_vibes_2023",23,68
"barbie_vibes_","what_was_i_made_for",2,66
"barbie_vibes_","girly_barbie_vibes_",18,53
"barbie_vibes_","im_a_barbie_girl_in_a_barbie_world_sukuna",25,205
"barbie_vibes_","barbie_can_you_play_ken",1,61
"barbie_vibes_","barbie_vibes",15,138
"barbie_vibes_","🌷🎀_Barbie_Vibes_🛼🌸",21,143
"barbie_vibes_","what_was_i_made_for_type_of_sad",1,62
"barbie_vibes_","barbie_movie_vibes_2023",17,70
"what_was_i_made_for","girly_barbie_vibes_",1,65
"what_was_i_made_for","im_a_barbie_girl_in_a_barbie_world_sukuna",6,221
"what_was_i_made_for","barbie_can_you_play_ken",1,39
"what_was_i_made_for","barbie_vibes",5,136
"what_was_i_made_for","🌷🎀_Barbie_Vibes_🛼🌸",6,151
"what_was_i_made_for","what_was_i_made_for_type_of_sad",10,22
"what_was_i_made_for","barbie_movie_vibes_2023",2,78
"girly_barbie_vibes_","im_a_barbie_girl_in_a_barbie_world_sukuna",22,208
"girly_barbie_vibes_","barbie_can_you_play_ken",1,58
"girly_barbie_vibes_","barbie_vibes",11,143
"girly_barbie_vibes_","🌷🎀_Barbie_Vibes_🛼🌸",13,156
"girly_barbie_vibes_","what_was_i_made_for_type_of_sad",0,61
"girly_barbie_vibes_","barbie_movie_vibes_2023",14,73
