artists,occurrence,freqency
"Billie Eilish",40,0.909091
"Gracie Abrams",8,0.181818
"Harry Styles",6,0.136364
"Taylor Swift",86,1.954545
"Phoebe Bridgers",22,0.500000
"Sufjan Stevens",2,0.045455
"Conan Gray",5,0.113636
"Madison Beer",3,0.068182
"Delaney Bailey",1,0.022727
"Billy Joel",8,0.181818
"Manchester Orchestra,Phoebe Bridgers",2,0.045455
"boygenius,Julien Baker,Phoebe Bridgers,Lucy Dacus",4,0.090909
"Taylor Swift,Phoebe Bridgers",3,0.068182
"Lana Del Rey",20,0.454545
"Taylor Swift,Bon Iver",2,0.045455
"Lizzy McAlpine",3,0.068182
"Hozier",3,0.068182
"Olivia Rodrigo",22,0.500000
"girl in red",1,0.022727
"Ashe,FINNEAS",1,0.022727
"Cyn",1,0.022727
"Wasia Project",1,0.022727
"Orla Gartland",1,0.022727
"Lizzy McAlpine,FINNEAS",1,0.022727
"Lewis Capaldi",2,0.045455
"Jeremy Zucker,Chelsea Cutler",1,0.022727
"James Arthur",1,0.022727
"Noah Cyrus",1,0.022727
"Hailee Steinfeld",3,0.068182
"Labrinth",2,0.045455
"Freya Ridings",3,0.068182
"Rihanna",34,0.772727
"Camila Cabello",3,0.068182
"Selena Gomez",6,0.136364
"Bon Iver,St. Vincent",1,0.022727
"Cigarettes After Sex",2,0.045455
"Iron & Wine",1,0.022727
"The 1975",3,0.068182
"Daughter",1,0.022727
"London Grammar",1,0.022727
"The Smiths",2,0.045455
"Joji",1,0.022727
"RY X",2,0.045455
"Måneskin",6,0.136364
"Coldplay",3,0.068182
"Labrinth,Zendaya",2,0.045455
"Lana Del Rey,Bleachers",1,0.022727
"Novo Amor",3,0.068182
"Lana Del Rey,Father John Misty",1,0.022727
"Lana Del Rey,SYML",2,0.045455
"Djo",2,0.045455
"Ariana Grande",58,1.318182
"Mitski",3,0.068182
"Richy Mitch & The Coal Miners",1,0.022727
"Sabrina Carpenter",22,0.500000
"Aqua",15,0.340909
"Madonna",16,0.363636
"Julie Brown",1,0.022727
"Meghan Trainor",7,0.159091
"The Go-Go's",2,0.045455
"Barbie,Mattel",5,0.113636
"Carly Rae Jepsen",11,0.250000
"Hoku",6,0.136364
"Vengaboys",5,0.113636
"Lipps Inc.",2,0.045455
"Hilary Duff",6,0.136364
"Stacey Q",1,0.022727
"Ashley Tisdale",1,0.022727
"Spice Girls",8,0.181818
"Atomic Kitten",2,0.045455
"Blondie",6,0.136364
"Girls Aloud",2,0.045455
"Olivia Newton-John",2,0.045455
"Lolly",3,0.068182
"Aly & AJ",6,0.136364
"Trixie Mattel",1,0.022727
"Bubbles",1,0.022727
"Toy-Box",1,0.022727
"Chipz",1,0.022727
"WANNABOO MUSIC",1,0.022727
"Victorious Cast,Victoria Justice",1,0.022727
"Pixie Lott",1,0.022727
"A*Teens",1,0.022727
"Grace Potter",1,0.022727
"Elisa Rosselli",1,0.022727
"BG5",1,0.022727
"S Club",1,0.022727
"Jessica Simpson",1,0.022727
"Beyond Pink",1,0.022727
"Fifth Harmony",9,0.204545
"Lizzo",16,0.363636
"Dua Lipa",38,0.863636
"Nicki Minaj,Ice Spice,Aqua",12,0.272727
"Charli xcx",34,0.772727
