playlist a,playlist b,common artists, unique artists
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_the_movie_vibes",3,112
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_playlist",1,96
"barbie_but_its_the_end_of_the_movie_and_youre_sad","im_a_barbie_girl_in_a_barbie_world_nicole<3",5,101
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_vibes_",4,93
"barbie_but_its_the_end_of_the_movie_and_youre_sad","what_was_i_made_for",11,57
"barbie_but_its_the_end_of_the_movie_and_youre_sad","girly_barbie_vibes_",3,92
"barbie_but_its_the_end_of_the_movie_and_youre_sad","im_a_barbie_girl_in_a_barbie_world_sukuna",7,250
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_can_you_play_ken",2,68
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_vibes",9,159
"barbie_but_its_the_end_of_the_movie_and_youre_sad","🌷🎀_Barbie_Vibes_🛼🌸",9,176
"barbie_but_its_the_end_of_the_movie_and_youre_sad","what_was_i_made_for_type_of_sad",13,47
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_movie_vibes_2023",2,109
"barbie_but_its_the_end_of_the_movie_and_youre_sad","beverly_hills_barbenheimer",0,92
"barbie_but_its_the_end_of_the_movie_and_youre_sad","💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana",5,170
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer💅💣_Aobambi",0,78
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_Marianna",4,138
"barbie_but_its_the_end_of_the_movie_and_youre_sad","summer_of_barbenheimer",2,118
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_Dee&FromZimbabwe",0,73
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimerrr💕💥_daisyrain323&others",6,179
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_satiahatami",3,125
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_jsobo",1,257
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_Vanessasapinheiro&RennieKeller",7,131
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_JessicaKoebelMillen",3,129
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_MrMario",0,118
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_hoe_down",2,129
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_cody",1,72
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbenheimer_Sam Telford",1,120
"barbie_but_its_the_end_of_the_movie_and_youre_sad","i_am_literally_oppenheimer__i_am_a_girl_",0,82
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_Ben",2,139
"barbie_but_its_the_end_of_the_movie_and_youre_sad","an_oppenheimer_playlist",0,61
"barbie_but_its_the_end_of_the_movie_and_youre_sad","now_i_am_become_death_the_destroyer_of_worlds_Marissa",4,87
"barbie_but_its_the_end_of_the_movie_and_youre_sad","studying_like_oppenheimer_MaxColannino",0,118
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_vibes_YirnickvanDijk",0,65
"barbie_but_its_the_end_of_the_movie_and_youre_sad","now_i_have_become_death_the_destroyer_of_words_EastPermianFederation",0,66
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_vibes_SUGABUSH",0,76
"barbie_but_its_the_end_of_the_movie_and_youre_sad","now_i_am_become_death_the_destroyer_of_worlds_Eren",3,100
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_Nadia",0,80
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_vibes_PetroAlexiou",1,69
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_vibes_raziqsafri",0,66
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_vibes_Dugger",0,87
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_vibes_Sorenjc",0,86
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_vibes_Athlaros",0,84
"barbie_but_its_the_end_of_the_movie_and_youre_sad","oppenheimer_-_a_study_playlist",0,74
"barbie_the_movie_vibes","barbie_playlist",18,70
"barbie_the_movie_vibes","im_a_barbie_girl_in_a_barbie_world_nicole<3",14,91
"barbie_the_movie_vibes","barbie_vibes_",9,91
"barbie_the_movie_vibes","what_was_i_made_for",2,83
"barbie_the_movie_vibes","girly_barbie_vibes_",6,94
"barbie_the_movie_vibes","im_a_barbie_girl_in_a_barbie_world_sukuna",11,250
