artists,occurrence,freqency
"Marcin Przybyłowicz,Mikołaj Stroiński,AUKSO Orchestra",3,0.230769
"Marcin Przybyłowicz,Mikołaj Stroiński,AUKSO Orchestra,Percival Schuttenbach",1,0.076923
"Mikolai Stroinski",16,1.230769
"Marcin Przybyłowicz",14,1.076923
"Inon Zur",16,1.230769
"Daniel Pemberton",10,0.769231
"Bear McCreary",3,0.230769
"P.T. Adamczyk",2,0.153846
"Ramin Djawadi",14,1.076923
"Nao Sato",1,0.076923
"Adam Skorupa,Krzysztof Wierzynkiewicz",4,0.307692
"Gareth Coker",3,0.230769
"Travis Savoie",1,0.076923
"SIE Sound Team",9,0.692308
"Borislav Slavov",16,1.230769
"Jeremy Soule",30,2.307692
"Trevor Morris",10,0.769231
"David Grimes",1,0.076923
"Doug Wood",1,0.076923
"Justin Bell",9,0.692308
"Jason Hayes",9,0.692308
"Brad Derrick",11,0.846154
"EA Games Soundtrack",1,0.076923
"Kevin MacLeod",3,0.230769
"Midnight Syndicate",11,0.846154
"Samuel Laflamme",11,0.846154
"Colin Stetson",1,0.076923
"Yuka Kitamura",4,0.307692
"Gustavo Santaolalla",2,0.153846
"Russell Brower,Derek Duke,Jeremy Soule",1,0.076923
"Mikko Tarmia",9,0.692308
"Jami Sieber",1,0.076923
"Derek Duke",2,0.153846
"Brian Tyler,Klaus Badelt",1,0.076923
"Daniel Ran",6,0.461538
"Stuart Chatwood",2,0.153846
"Wilbert Roget, II",1,0.076923
"Tai Tomisawa",3,0.230769
"Alex Roe",8,0.615385
"Jesper Kyd",4,0.307692
"Gustav Holst,Walter Susskind,St. Louis Symphony",1,0.076923
"Christopher Larkin",4,0.307692
"Adrian Von Ziegler",3,0.230769
"Alexander Rollins",1,0.076923
"Wolfgang Amadeus Mozart,David Parry,London Philharmonic Orchestra,London Philharmonic Choir",1,0.076923
"Jessica Curry",1,0.076923
"Two Steps from Hell",1,0.076923
"Johan Söderqvist",1,0.076923
"Piotr Musiał",6,0.461538
"Dreyma",1,0.076923
"Russell Shaw",5,0.384615
"Jason Graves",8,0.615385
"Joel Corelitz,Jeff Russo",1,0.076923
"Atrium Carceri",5,0.384615
"Atrium Carceri,Cities Last Broadcast",1,0.076923
"Austin Wintory",3,0.230769
"Ryan Amon,Alex Roe",1,0.076923
"Motoi Sakuraba,Alex Roe",1,0.076923
"TPR",1,0.076923
"Shoi Miyazawa,Alex Roe",1,0.076923
"Leo Kaliski",1,0.076923
"Solas Composer",1,0.076923
"Olivier Deriviere",1,0.076923
"Morphia Productions,Horror Music",1,0.076923
"Mark Korven",1,0.076923
"Hans Zimmer",4,0.307692
"Dark Fantasy Studio",1,0.076923
"David Arkenstone,Jason Hayes",1,0.076923
"Howard Shore",1,0.076923
"Richard Armitage,The Dwarf Cast",1,0.076923
"David Arkenstone",4,0.307692
"The Dwarf Cast",1,0.076923
"Raney Shockne,Elizaveta,Nick Stoubis",1,0.076923
"Russell Brower,Laurence Juber,Matt Uelmen",1,0.076923
"Sieber, Kammen, Fulton and Schatz",1,0.076923
"Don McLean",1,0.076923
"Pawel Blaszczak",4,0.307692
"Marcin Przybyłowicz,Percival Schuttenbach",1,0.076923
"Dominik Hauser",1,0.076923
"Krzysztof Wierzynkiewicz",7,0.538462
"Adam Skorupa",8,0.615385
"Glenn Stafford",3,0.230769
"James Horner,London Symphony Orchestra",7,0.538462
"FlyByNo",10,0.769231
"Russell Brower",1,0.076923
"David Arkenstone,Sam Cardon",1,0.076923
"Matt Uelmen",1,0.076923
"Tracy Bush",1,0.076923
"Russell Brower,Brian David Farr",1,0.076923
"Samuel Sim",2,0.153846
"Jason Miller and Samuel Riegel,Celestial Aeon Project",1,0.076923
"Christine Slagman",1,0.076923
"Justin E. Bell",1,0.076923
"EA Games Soundtrack,Inon Zur",5,0.384615
"Harry Gregson-Williams",1,0.076923
"Elitsa Alexandrova,Assassin's Creed",4,0.307692
"Jesper Kyd,Assassin's Creed",1,0.076923
"Gustavo Santaolalla,Alan Umstead",1,0.076923
"Martin O'Donnell,Michael Salvatori",1,0.076923
"Lorne Balfe,Assassin's Creed",2,0.153846
"Brian Tyler,Assassin's Creed",1,0.076923
"Cliff Martinez",2,0.153846
"Rik Schaffer",1,0.076923
"Taylor Davis",1,0.076923
"Gareth Coker,Aeralie Brighton",2,0.153846
"Gareth Coker,Rachel Mellis",1,0.076923
"Joris de Man",5,0.384615
"Zoe Mthiyane,Rupert Gregson-Williams",1,0.076923
"Rupert Gregson-Williams",1,0.076923
"Henry Jackman",1,0.076923
"Derek Fiechter,Brandon Fiechter",2,0.153846
"Ted Reedy",1,0.076923
"The Newton Brothers",4,0.307692
"Jeff Russo",1,0.076923
"Osi And The Jupiter",1,0.076923
"L'Orchestra Cinematique",1,0.076923
