playlist a,playlist b,common artists, unique artists
"moon_wives","atmosphere_temple",0,19
"moon_wives","battle_standard",2,20
"moon_wives","mood__ominous",1,27
"moon_wives","erebos",7,20
"moon_wives","knights_of_shallow_lake",2,32
"moon_wives","helviti_batr_vessels_to_elsewhere",1,26
"moon_wives","lurkers_below",1,29
"moon_wives","hearthstone",2,30
"moon_wives","pot_tyr",7,30
"moon_wives","atmosphere_nature",2,40
"moon_wives","grave_lady",0,23
"moon_wives","dnd",1,15
"atmosphere_temple","battle_standard",1,11
"atmosphere_temple","mood__ominous",1,16
"atmosphere_temple","erebos",1,21
"atmosphere_temple","knights_of_shallow_lake",0,25
"atmosphere_temple","helviti_batr_vessels_to_elsewhere",1,15
"atmosphere_temple","lurkers_below",1,18
"atmosphere_temple","hearthstone",1,21
"atmosphere_temple","pot_tyr",2,29
"atmosphere_temple","atmosphere_nature",2,29
"atmosphere_temple","grave_lady",0,12
"atmosphere_temple","dnd",0,6
"battle_standard","mood__ominous",4,15
"battle_standard","erebos",6,16
"battle_standard","knights_of_shallow_lake",2,26
"battle_standard","helviti_batr_vessels_to_elsewhere",1,20
"battle_standard","lurkers_below",5,15
"battle_standard","hearthstone",5,18
"battle_standard","pot_tyr",5,28
"battle_standard","atmosphere_nature",3,32
"battle_standard","grave_lady",0,17
"battle_standard","dnd",0,11
"mood__ominous","erebos",5,23
"mood__ominous","knights_of_shallow_lake",3,29
"mood__ominous","helviti_batr_vessels_to_elsewhere",3,21
"mood__ominous","lurkers_below",6,18
"mood__ominous","hearthstone",3,27
"mood__ominous","pot_tyr",2,39
"mood__ominous","atmosphere_nature",3,37
"mood__ominous","grave_lady",1,20
"mood__ominous","dnd",0,16
"erebos","knights_of_shallow_lake",3,34
"erebos","helviti_batr_vessels_to_elsewhere",3,26
"erebos","lurkers_below",6,23
"erebos","hearthstone",4,30
"erebos","pot_tyr",7,34
"erebos","atmosphere_nature",4,40
"erebos","grave_lady",2,23
"erebos","dnd",0,21
"knights_of_shallow_lake","helviti_batr_vessels_to_elsewhere",3,28
"knights_of_shallow_lake","lurkers_below",4,29
"knights_of_shallow_lake","hearthstone",3,34
"knights_of_shallow_lake","pot_tyr",2,46
"knights_of_shallow_lake","atmosphere_nature",2,46
"knights_of_shallow_lake","grave_lady",3,23
"knights_of_shallow_lake","dnd",1,21
"helviti_batr_vessels_to_elsewhere","lurkers_below",1,27
"helviti_batr_vessels_to_elsewhere","hearthstone",1,30
"helviti_batr_vessels_to_elsewhere","pot_tyr",3,36
"helviti_batr_vessels_to_elsewhere","atmosphere_nature",1,40
"helviti_batr_vessels_to_elsewhere","grave_lady",1,19
"helviti_batr_vessels_to_elsewhere","dnd",0,15
"lurkers_below","hearthstone",4,27
"lurkers_below","pot_tyr",4,37
"lurkers_below","atmosphere_nature",5,35
"lurkers_below","grave_lady",3,18
"lurkers_below","dnd",0,18
"hearthstone","pot_tyr",4,40
"hearthstone","atmosphere_nature",2,44
"hearthstone","grave_lady",0,27
"hearthstone","dnd",0,21
"pot_tyr","atmosphere_nature",5,48
"pot_tyr","grave_lady",0,37
"pot_tyr","dnd",0,31
"atmosphere_nature","grave_lady",0,37
"atmosphere_nature","dnd",1,29
"grave_lady","dnd",0,10
