artists,occurrence,freqency
"Fironn",2,0.125000
"Ludwig Göransson",82,5.125000
"Hans Zimmer",17,1.062500
"Aphex Twin",3,0.187500
"Garrett Atterberry",1,0.062500
"The Cinematic Orchestra,London Metropolitan Orchestra",1,0.062500
"M83,Felsmann + Tiley",4,0.250000
"M83",9,0.562500
"nowt",2,0.125000
"Wolfgang Amadeus Mozart,Michael Finnissy,Academy of Ancient Music,Stephen Cleobury,Choir of King's College, Cambridge",3,0.187500
"Justin Hurwitz",5,0.312500
"Giuseppe Verdi,Carmen Giannattasio,Veronica Simeoni,Alxander Timchenko,Carlo Colombara,Yuri Temirkanov,St. Petersburg Philharmonic Orchestra",1,0.062500
"Fugazi",1,0.062500
"Negatiator",1,0.062500
"MGMT",7,0.437500
"Adele Adkins,Paul Epworth,Adele,J.A.C. Redford",3,0.187500
"Slowdive",1,0.062500
"Mojave 3",1,0.062500
"Pastel Ghost",1,0.062500
"Sidewalks and Skeletons",1,0.062500
"Billy Idol",2,0.125000
"Your Anxiety Buddy",1,0.062500
"noturgf",2,0.125000
"Chris Lorenzo",1,0.062500
"New Order",1,0.062500
"CamelPhat,Elderbrook",1,0.062500
"FISHER",1,0.062500
"The Doobie Brothers",1,0.062500
"Queen",1,0.062500
"Elton John",2,0.125000
"Elvis Presley",2,0.125000
"Gary B",1,0.062500
"Nirvana",3,0.187500
"Glen Campbell",2,0.125000
"Looking Glass",1,0.062500
"Badfinger",1,0.062500
"Dr. Hook",1,0.062500
"The Smashing Pumpkins",2,0.125000
"Frank Sinatra",3,0.187500
"Édith Piaf",1,0.062500
"Louis Armstrong",4,0.250000
"Compay Segundo",1,0.062500
"Glenn Miller",1,0.062500
"Daryl Hall & John Oates",5,0.312500
"Creedence Clearwater Revival",1,0.062500
"Paul Desmond,The Dave Brubeck Quartet",1,0.062500
"Redbone",1,0.062500
"Blue Swede,Björn Skifs",1,0.062500
"Simple Minds",1,0.062500
"Thin Lizzy",1,0.062500
"Guns N' Roses",1,0.062500
"America,George Martin",1,0.062500
"Boston",1,0.062500
"The Black Keys",2,0.125000
"Billy Joel",3,0.187500
"Fleetwood Mac",5,0.312500
"The Lemonheads",1,0.062500
"bôa",3,0.187500
"Jamiroquai",1,0.062500
"Modjo",1,0.062500
"Starship",1,0.062500
"Stardust,Benjamin Diamond,Alan Braxe,Thomas Bangalter",1,0.062500
"The Chakachas",1,0.062500
"Michael Jackson",1,0.062500
"Dire Straits",2,0.125000
"Big Mountain",1,0.062500
"Rockwell",1,0.062500
"Matthew Wilder",1,0.062500
"Real Life",1,0.062500
"Lester Young,Oscar Peterson Trio",1,0.062500
"Videoclub,Adèle Castillon,Mattyeux",2,0.125000
"Johann Pachelbel,Kanon Orchestre de Chambre,Jean-François Paillard",1,0.062500
