artists,occurrence,freqency
"Albert Hammond",1,0.100000
"Townes Van Zandt",2,0.200000
"George Harrison",6,0.600000
"Gerry Rafferty",1,0.100000
"The Mamas & The Papas",3,0.300000
"Billy Swan",1,0.100000
"Steely Dan",3,0.300000
"Fred Neil",1,0.100000
"Billy Joel",5,0.500000
"Elton John",8,0.800000
"Kansas",3,0.300000
"The Beatles",17,1.700000
"The Rolling Stones",10,1.000000
"Eagles",10,1.000000
"Derek & The Dominos,Eric Clapton",1,0.100000
"Fleetwood Mac",30,3.000000
"Dire Straits",3,0.300000
"Bob Dylan",10,1.000000
"James Taylor",2,0.200000
"Carole King",2,0.200000
"America,George Martin",2,0.200000
"Grateful Dead",2,0.200000
"Ringo Starr",2,0.200000
"The Doobie Brothers",3,0.300000
"Gladys Knight & The Pips",1,0.100000
"Eric Clapton",2,0.200000
"Joni Mitchell",4,0.400000
"Daryl Hall & John Oates",3,0.300000
"Dolly Parton",1,0.100000
"Aerosmith",3,0.300000
"Led Zeppelin",14,1.400000
"Creedence Clearwater Revival",12,1.200000
"Nancy Sinatra",1,0.100000
"Dusty Springfield",2,0.200000
"Aretha Franklin",1,0.100000
"Cream",1,0.100000
"The Band",2,0.200000
"John Denver",4,0.400000
"Bill Withers",2,0.200000
"Blue Öyster Cult",3,0.300000
"Queen",7,0.700000
"Lynyrd Skynyrd",7,0.700000
"Allman Brothers Band",3,0.300000
"Bob & Earl",1,0.100000
"The Turtles",1,0.100000
"Janis Joplin",3,0.300000
"Big Brother & The Holding Company,Janis Joplin",1,0.100000
"Roy Orbison",1,0.100000
"Simon & Garfunkel",2,0.200000
"Pink Floyd",8,0.800000
"Electric Light Orchestra",2,0.200000
"Elton John,Kiki Dee",2,0.200000
"Chicago",2,0.200000
"Steppenwolf",1,0.100000
"Neil Diamond",1,0.100000
"Jimi Hendrix",2,0.200000
"The Doors",1,0.100000
"Redbone",1,0.100000
"Paul McCartney",1,0.100000
"Bee Gees",7,0.700000
"Joe Cocker",1,0.100000
"Santana",1,0.100000
"The Zombies",1,0.100000
"The Monkees",1,0.100000
"Chuck Berry",2,0.200000
"Frankie Valli",2,0.200000
"The Beach Boys",4,0.400000
"Edison Lighthouse",2,0.200000
"Glen Campbell",4,0.400000
"Shuggie Otis",1,0.100000
"Otis Redding",1,0.100000
"Sam Cooke",1,0.100000
"Van Morrison",1,0.100000
"Chris Isaak",1,0.100000
"Martha Reeves & The Vandellas",1,0.100000
"Tears For Fears",6,0.600000
"10cc",1,0.100000
"The Kinks",1,0.100000
"Talking Heads",1,0.100000
"Elvin Bishop",1,0.100000
"Frankie Valli & The Four Seasons",1,0.100000
"Lindsey Buckingham",1,0.100000
"Bob Seger",4,0.400000
"The Cars",2,0.200000
"Sonny & Cher",2,0.200000
"The Association",1,0.100000
"Faces",1,0.100000
"Dolly Parton,Kenny Rogers",1,0.100000
"Bread",3,0.300000
"Peter Frampton",1,0.100000
"Linda Ronstadt",1,0.100000
"Snowy White",1,0.100000
"America",7,0.700000
"Todd Rundgren",2,0.200000
"Jackson Browne",2,0.200000
"Buffalo Springfield",1,0.100000
