playlist a,playlist b,common artists, unique artists
"road_trip_____","summer_road_trip_vibes",3,282
"road_trip_____","roadtrip_",3,278
"road_trip_____","the_ultimate_roadtrip_playlist__",10,477
"road_trip_____","all_american_road_trip",3,142
"road_trip_____","road_trippin_",9,1394
"road_trip_____","road_trip____",0,155
"road_trip_____","roadtrippin_",2,325
"road_trip_____","road_trip_",10,343
"road_trip_____","90s__00s_road_trippin",0,215
"summer_road_trip_vibes","roadtrip_",7,306
"summer_road_trip_vibes","the_ultimate_roadtrip_playlist__",49,435
"summer_road_trip_vibes","all_american_road_trip",0,184
"summer_road_trip_vibes","road_trippin_",74,1300
"summer_road_trip_vibes","road_trip____",5,181
"summer_road_trip_vibes","roadtrippin_",36,293
"summer_road_trip_vibes","road_trip_",21,357
"summer_road_trip_vibes","90s__00s_road_trippin",3,245
"roadtrip_","the_ultimate_roadtrip_playlist__",14,501
"roadtrip_","all_american_road_trip",0,180
"roadtrip_","road_trippin_",38,1368
"roadtrip_","road_trip____",0,187
"roadtrip_","roadtrippin_",12,337
"roadtrip_","road_trip_",11,373
"roadtrip_","90s__00s_road_trippin",3,241
"the_ultimate_roadtrip_playlist__","all_american_road_trip",2,389
"the_ultimate_roadtrip_playlist__","road_trippin_",168,1321
"the_ultimate_roadtrip_playlist__","road_trip____",7,386
"the_ultimate_roadtrip_playlist__","roadtrippin_",43,488
"the_ultimate_roadtrip_playlist__","road_trip_",49,510
"the_ultimate_roadtrip_playlist__","90s__00s_road_trippin",15,430
"all_american_road_trip","road_trippin_",5,1298
"all_american_road_trip","road_trip____",0,51
"all_american_road_trip","roadtrippin_",1,223
"all_american_road_trip","road_trip_",0,259
"all_american_road_trip","90s__00s_road_trippin",0,111
"road_trippin_","road_trip____",12,1291
"road_trippin_","roadtrippin_",85,1319
"road_trippin_","road_trip_",54,1415
"road_trippin_","90s__00s_road_trippin",12,1351
"road_trip____","roadtrippin_",18,196
"road_trip____","road_trip_",8,250
"road_trip____","90s__00s_road_trippin",0,118
"roadtrippin_","road_trip_",36,368
"roadtrippin_","90s__00s_road_trippin",2,288
"road_trip_","90s__00s_road_trippin",9,308
