artists,occurrence,freqency
"blink-182",6,0.375000
"Avril Lavigne",16,1.000000
"Yellowcard",1,0.062500
"Kelly Clarkson",17,1.062500
"Bowling For Soup",3,0.187500
"Lit",1,0.062500
"Beyoncé,JAY-Z",3,0.187500
"Backstreet Boys",20,1.250000
"The Killers",13,0.812500
"Carrie Underwood",14,0.875000
"Sum 41",2,0.125000
"Kesha",19,1.187500
"Third Eye Blind",4,0.250000
"Shaggy,Rayvon",1,0.062500
"Weezer",12,0.750000
"Miley Cyrus",29,1.812500
"Sublime",6,0.375000
"M.I.A.",5,0.312500
"The All-American Rejects",8,0.500000
"Michelle Branch",2,0.125000
"Modest Mouse",1,0.062500
"Uncle Kracker",1,0.062500
"Katy Perry",34,2.125000
"Sean Paul",5,0.312500
"Barenaked Ladies",7,0.437500
"Rihanna,JAY-Z",10,0.625000
"Jimmy Eat World",8,0.500000
"Phantom Planet",3,0.187500
"Good Charlotte",3,0.187500
"Eagle-Eye Cherry",1,0.062500
"Britney Spears",36,2.250000
"Harvey Danger",1,0.062500
"Nelly",6,0.375000
"Fall Out Boy",12,0.750000
"Dr. Dre,Eminem",1,0.062500
"Sugar Ray",4,0.250000
"Lady Gaga",33,2.062500
"Kings of Leon",14,0.875000
"TLC",5,0.312500
"Alanis Morissette",7,0.437500
"Red Hot Chili Peppers",7,0.437500
"Blessid Union Of Souls",1,0.062500
"Justin Timberlake,Timbaland",4,0.250000
"Gwen Stefani",5,0.312500
"Blackstreet,Dr. Dre,Queen Pen",2,0.125000
"P!nk",24,1.500000
"My Chemical Romance",3,0.187500
"The Offspring",3,0.187500
"Outkast",16,1.000000
"Missy Elliott",2,0.125000
"Panic! At The Disco",11,0.687500
"Eve 6",1,0.062500
"Mary J. Blige",2,0.125000
"Destiny's Child",7,0.437500
"*NSYNC",9,0.562500
"Spice Girls",12,0.750000
"Meredith Brooks",2,0.125000
"Arctic Monkeys",14,0.875000
"Gnarls Barkley",3,0.187500
"Jennifer Lopez,Jadakiss,Styles P",2,0.125000
"Rihanna",79,4.937500
"Christina Aguilera",10,0.625000
"Jay Sean,Lil Wayne",5,0.312500
"Keane",5,0.312500
"Fergie",10,0.625000
"Maroon 5",25,1.562500
"Gwen Stefani,Eve",3,0.187500
"Train",20,1.250000
"Natasha Bedingfield",12,0.750000
"KT Tunstall",2,0.125000
"Chamillionaire,Krayzie Bone",2,0.125000
"Taylor Swift",133,8.312500
"Tal Bachman",3,0.187500
"American Hi-Fi",1,0.062500
"50 Cent",6,0.375000
"The Goo Goo Dolls",7,0.437500
"Plain White T's",5,0.312500
"Nelly Furtado,Timbaland",5,0.312500
"Fountains Of Wayne",5,0.312500
"Snow Patrol",10,0.625000
"Linkin Park",2,0.125000
"Lupe Fiasco,Matthew Santos",1,0.062500
"Vanessa Carlton",8,0.500000
"Puddle Of Mudd",2,0.125000
"Gorillaz,De La Soul",3,0.187500
"Nine Days",2,0.125000
"Jennifer Lopez",2,0.125000
"Fastball",2,0.125000
"Will Smith",2,0.125000
"Hanson",1,0.062500
"Everclear",2,0.125000
"Sheryl Crow",3,0.187500
"Fatboy Slim",4,0.250000
"Smash Mouth",6,0.375000
"Ben Harper And The Innocent Criminals",1,0.062500
"T.I.,Rihanna",3,0.187500
"New Radicals",2,0.125000
"3 Doors Down",7,0.437500
"Ashlee Simpson",1,0.062500
"Shaggy,Rik Rok",3,0.187500
"Amy Winehouse",6,0.375000
"Flo Rida,T-Pain",6,0.375000
"Evan And Jaron",1,0.062500
"Incubus",1,0.062500
"Colbie Caillat",1,0.062500
"Nelly,City Spud",3,0.187500
"Coldplay",30,1.875000
"No Doubt",4,0.250000
"Natalie Imbruglia",1,0.062500
"The Ataris",1,0.062500
"Matchbox Twenty",6,0.375000
"Sara Bareilles",3,0.187500
"T.I.",2,0.125000
"Christina Aguilera,Lil' Kim,Mýa,P!nk",2,0.125000
"Three Days Grace",3,0.187500
"Nelly Furtado",8,0.500000
"Beyoncé",15,0.937500
"Finger Eleven",1,0.062500
"Flo Rida,Kesha",4,0.250000
"Justin Timberlake",17,1.062500
"Green Day",5,0.312500
"Missy Elliott,Ciara,Fatman Scoop",1,0.062500
"Cascada",5,0.312500
"The Fray",10,0.625000
"Franz Ferdinand",2,0.125000
"Snoop Dogg,Pharrell Williams",2,0.125000
"Jewel",1,0.062500
"Switchfoot",1,0.062500
"AFI",1,0.062500
"Jason Derulo",29,1.812500
"LEN",1,0.062500
"Sean Kingston",17,1.062500
