playlist a,playlist b,common artists, unique artists
"3. millennial_nostalgia_road_trip","12. road_trip (agustdlc)",11,309
"3. millennial_nostalgia_road_trip","11. road_trip (darya)",2,297
"3. millennial_nostalgia_road_trip","10. road_trip (kat)",27,400
"3. millennial_nostalgia_road_trip","18. best_roadtrip_playlist_of_all_time",30,581
"3. millennial_nostalgia_road_trip","6. road-trip (meghan)",15,375
"3. millennial_nostalgia_road_trip","5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)",34,436
"3. millennial_nostalgia_road_trip","20. lets_go_girls_-_a_road_trip_playlist",27,234
"3. millennial_nostalgia_road_trip","13. road_trip (Mackie)",38,468
"3. millennial_nostalgia_road_trip","16. fun_road_trip_bangers",76,787
"3. millennial_nostalgia_road_trip","23. roadtrip_bangers",46,515
"3. millennial_nostalgia_road_trip","14. road-trip (maleena)",5,451
"3. millennial_nostalgia_road_trip","19. 2000s-2010s_roadtrip_songs",66,279
"3. millennial_nostalgia_road_trip","17. 70s_80s_90s_road_trip_jams",7,314
"3. millennial_nostalgia_road_trip","24. conic_songs_for_car_rides",35,316
"3. millennial_nostalgia_road_trip","9. road_trip_jams",32,318
"12. road_trip (agustdlc)","11. road_trip (darya)",8,182
"12. road_trip (agustdlc)","10. road_trip (kat)",25,301
"12. road_trip (agustdlc)","18. best_roadtrip_playlist_of_all_time",11,516
"12. road_trip (agustdlc)","6. road-trip (meghan)",11,280
"12. road_trip (agustdlc)","5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)",25,351
"12. road_trip (agustdlc)","20. lets_go_girls_-_a_road_trip_playlist",10,165
"12. road_trip (agustdlc)","13. road_trip (Mackie)",14,413
"12. road_trip (agustdlc)","16. fun_road_trip_bangers",37,762
"12. road_trip (agustdlc)","23. roadtrip_bangers",25,454
"12. road_trip (agustdlc)","14. road-trip (maleena)",5,348
"12. road_trip (agustdlc)","19. 2000s-2010s_roadtrip_songs",17,274
"12. road_trip (agustdlc)","17. 70s_80s_90s_road_trip_jams",1,223
"12. road_trip (agustdlc)","24. conic_songs_for_car_rides",16,251
"12. road_trip (agustdlc)","9. road_trip_jams",17,245
"11. road_trip (darya)","10. road_trip (kat)",4,313
"11. road_trip (darya)","18. best_roadtrip_playlist_of_all_time",2,504
"11. road_trip (darya)","6. road-trip (meghan)",4,264
"11. road_trip (darya)","5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)",3,365
"11. road_trip (darya)","20. lets_go_girls_-_a_road_trip_playlist",1,153
"11. road_trip (darya)","13. road_trip (Mackie)",8,395
"11. road_trip (darya)","16. fun_road_trip_bangers",10,786
"11. road_trip (darya)","23. roadtrip_bangers",8,458
"11. road_trip (darya)","14. road-trip (maleena)",13,302
"11. road_trip (darya)","19. 2000s-2010s_roadtrip_songs",3,272
"11. road_trip (darya)","17. 70s_80s_90s_road_trip_jams",0,195
"11. road_trip (darya)","24. conic_songs_for_car_rides",2,249
"11. road_trip (darya)","9. road_trip_jams",2,245
"10. road_trip (kat)","18. best_roadtrip_playlist_of_all_time",42,577
"10. road_trip (kat)","6. road-trip (meghan)",26,373
"10. road_trip (kat)","5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)",34,456
"10. road_trip (kat)","20. lets_go_girls_-_a_road_trip_playlist",20,268
"10. road_trip (kat)","13. road_trip (Mackie)",23,518
"10. road_trip (kat)","16. fun_road_trip_bangers",90,779
"10. road_trip (kat)","23. roadtrip_bangers",59,509
"10. road_trip (kat)","14. road-trip (maleena)",7,467
"10. road_trip (kat)","19. 2000s-2010s_roadtrip_songs",37,357
"10. road_trip (kat)","17. 70s_80s_90s_road_trip_jams",30,288
"10. road_trip (kat)","24. conic_songs_for_car_rides",26,354
"10. road_trip (kat)","9. road_trip_jams",31,340
"18. best_roadtrip_playlist_of_all_time","6. road-trip (meghan)",42,528
"18. best_roadtrip_playlist_of_all_time","5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)",37,637
"18. best_roadtrip_playlist_of_all_time","20. lets_go_girls_-_a_road_trip_playlist",22,451
"18. best_roadtrip_playlist_of_all_time","13. road_trip (Mackie)",27,697
"18. best_roadtrip_playlist_of_all_time","16. fun_road_trip_bangers",96,954
"18. best_roadtrip_playlist_of_all_time","23. roadtrip_bangers",60,694
"18. best_roadtrip_playlist_of_all_time","14. road-trip (maleena)",5,658
"18. best_roadtrip_playlist_of_all_time","19. 2000s-2010s_roadtrip_songs",21,576
"18. best_roadtrip_playlist_of_all_time","17. 70s_80s_90s_road_trip_jams",28,479
"18. best_roadtrip_playlist_of_all_time","24. conic_songs_for_car_rides",33,527
"18. best_roadtrip_playlist_of_all_time","9. road_trip_jams",20,549
"6. road-trip (meghan)","5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)",25,425
"6. road-trip (meghan)","20. lets_go_girls_-_a_road_trip_playlist",8,243
"6. road-trip (meghan)","13. road_trip (Mackie)",22,471
"6. road-trip (meghan)","16. fun_road_trip_bangers",48,814
"6. road-trip (meghan)","23. roadtrip_bangers",31,516
"6. road-trip (meghan)","14. road-trip (maleena)",5,422
"6. road-trip (meghan)","19. 2000s-2010s_roadtrip_songs",14,354
"6. road-trip (meghan)","17. 70s_80s_90s_road_trip_jams",5,289
"6. road-trip (meghan)","24. conic_songs_for_car_rides",25,307
"6. road-trip (meghan)","9. road_trip_jams",9,335
"5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)","20. lets_go_girls_-_a_road_trip_playlist",14,330
"5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)","13. road_trip (Mackie)",33,548
"5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)","16. fun_road_trip_bangers",90,829
"5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)","23. roadtrip_bangers",92,493
"5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)","14. road-trip (maleena)",14,503
"5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)","19. 2000s-2010s_roadtrip_songs",82,317
"5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)","17. 70s_80s_90s_road_trip_jams",1,396
"5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)","24. conic_songs_for_car_rides",80,296
"5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)","9. road_trip_jams",43,366
"20. lets_go_girls_-_a_road_trip_playlist","13. road_trip (Mackie)",10,378
"20. lets_go_girls_-_a_road_trip_playlist","16. fun_road_trip_bangers",50,693
"20. lets_go_girls_-_a_road_trip_playlist","23. roadtrip_bangers",26,409
"20. lets_go_girls_-_a_road_trip_playlist","14. road-trip (maleena)",1,313
"20. lets_go_girls_-_a_road_trip_playlist","19. 2000s-2010s_roadtrip_songs",22,221
"20. lets_go_girls_-_a_road_trip_playlist","17. 70s_80s_90s_road_trip_jams",9,164
"20. lets_go_girls_-_a_road_trip_playlist","24. conic_songs_for_car_rides",12,216
"20. lets_go_girls_-_a_road_trip_playlist","9. road_trip_jams",20,196
