artists,occurrence,freqency
"Inon Zur",51,5.100000
"Ted Reedy",1,0.100000
"Midnight Syndicate",5,0.500000
"Daniel Pemberton",2,0.200000
"Atrium Carceri",1,0.100000
"Daniel Ran",10,1.000000
"Adam Skorupa",10,1.000000
"Stuart Chatwood",2,0.200000
"Alphaxone",3,0.300000
"Justin Bell",22,2.200000
"Kevin MacLeod",2,0.200000
"Jeremy Soule",103,10.300000
"Gustavo Santaolalla,Alan Umstead",2,0.200000
"Austin Wintory",47,4.700000
"Gareth Coker,Tom Boyd",2,0.200000
"Igor Stravinsky,Iván Fischer,Budapest Festival Orchestra",1,0.100000
"Jeremiah Pena",1,0.100000
"David García Díaz",10,1.000000
"Michael Salvatori,C Paul Johnson,Martin O'Donnell,Paul McCartney",1,0.100000
"Frida Johansson,Henrik Oja",6,0.600000
"Peter Gundry",1,0.100000
"FlyByNo",6,0.600000
"Basil Poledouris",1,0.100000
"Joris de Man",3,0.300000
"Brad Derrick",111,11.100000
"Frederik Wiedmann",1,0.100000
"Pawel Blaszczak",5,0.500000
"Yasunori Nishiki",2,0.200000
"Howard Shore",11,1.100000
"EA Games Soundtrack,Inon Zur",2,0.200000
"Rik Schaffer",7,0.700000
"Will Savino",1,0.100000
"Justin E. Bell",3,0.300000
"Dreyma",2,0.200000
"Borislav Slavov",8,0.800000
"Rob King,Paul Romero",1,0.100000
"Gentil Puck",2,0.200000
"Borough Bound",3,0.300000
"James Newton Howard",32,3.200000
"Harry Gregson-Williams",20,2.000000
"Aakaash Rao",1,0.100000
"Russell Shaw",15,1.500000
"Paul Romero,Rob King",4,0.400000
"Arkadiusz Reikowski,Jacek Paciorkowski",1,0.100000
"Aaron Zigman",1,0.100000
"Mikolai Stroinski",27,2.700000
"John Williams",11,1.100000
"Unapologetically Melodic",1,0.100000
"Traditional,Cheryl Ann Fulton",1,0.100000
"Adam Skorupa,Krzysztof Wierzynkiewicz",6,0.600000
"Roc Chen",5,0.500000
"Trevor Morris",29,2.900000
"P.T. Adamczyk",10,1.000000
"Nova Arcadia",2,0.200000
"Traditional,Deborah Henson-Conant",1,0.100000
"Rolf Løvland,Secret Garden",1,0.100000
"ASKII",8,0.800000
"Thomas Loefke,Various Artists",1,0.100000
"Fredrik Jonasson",2,0.200000
"Ivan Duch",1,0.100000
"Hugues Leteve",2,0.200000
"Ari Pulkkinen",10,1.000000
"Bill Brown",5,0.500000
"Jamie Christopherson",4,0.400000
"Philharmonia Orchestra,The Pinewood Singers",3,0.300000
"Gareth Coker",5,0.500000
"Marcin Przybyłowicz",15,1.500000
"Marcin Przybyłowicz,Percival Schuttenbach",2,0.200000
"Two Worlds II",9,0.900000
"Jason Hayes",12,1.200000
"Derek Duke",3,0.300000
"David Arkenstone,Jason Hayes",1,0.100000
"Russell Brower",9,0.900000
