playlist a,playlist b,common artists, unique artists
"blood_moon","music_safe",1,27
"blood_moon","atmosphere_town",1,13
"blood_moon","valormore",1,16
"blood_moon","rpg_background_music",2,143
"blood_moon","dd_fantasy_overworld",3,95
"blood_moon","music_catharsis",1,23
"blood_moon","mood_-_victory_-_dark_fantasy_rpg",0,16
"blood_moon","pot_rivellon",1,27
"blood_moon","fantasymusic",1,34
"music_safe","atmosphere_town",4,18
"music_safe","valormore",3,23
"music_safe","rpg_background_music",9,140
"music_safe","dd_fantasy_overworld",8,96
"music_safe","music_catharsis",5,26
"music_safe","mood_-_victory_-_dark_fantasy_rpg",1,25
"music_safe","pot_rivellon",3,34
"music_safe","fantasymusic",4,39
"atmosphere_town","valormore",2,11
"atmosphere_town","rpg_background_music",4,136
"atmosphere_town","dd_fantasy_overworld",4,90
"atmosphere_town","music_catharsis",3,16
"atmosphere_town","mood_-_victory_-_dark_fantasy_rpg",1,11
"atmosphere_town","pot_rivellon",3,20
"atmosphere_town","fantasymusic",3,27
"valormore","rpg_background_music",6,135
"valormore","dd_fantasy_overworld",6,89
"valormore","music_catharsis",3,19
"valormore","mood_-_victory_-_dark_fantasy_rpg",1,14
"valormore","pot_rivellon",6,17
"valormore","fantasymusic",2,32
"rpg_background_music","dd_fantasy_overworld",30,170
"rpg_background_music","music_catharsis",11,132
"rpg_background_music","mood_-_victory_-_dark_fantasy_rpg",3,139
"rpg_background_music","pot_rivellon",9,140
"rpg_background_music","fantasymusic",8,149
"dd_fantasy_overworld","music_catharsis",9,90
"dd_fantasy_overworld","mood_-_victory_-_dark_fantasy_rpg",3,93
"dd_fantasy_overworld","pot_rivellon",11,90
"dd_fantasy_overworld","fantasymusic",9,101
"music_catharsis","mood_-_victory_-_dark_fantasy_rpg",1,21
"music_catharsis","pot_rivellon",4,28
"music_catharsis","fantasymusic",6,31
"mood_-_victory_-_dark_fantasy_rpg","pot_rivellon",2,23
"mood_-_victory_-_dark_fantasy_rpg","fantasymusic",2,30
"pot_rivellon","fantasymusic",6,35
