Playlist A, Playlist B, Feature, Cosine Similarity
0,1,Duration (ms),0.49
0,2,Duration (ms),0.73
0,3,Duration (ms),0.52
0,4,Duration (ms),0.62
0,5,Duration (ms),0.65
0,6,Duration (ms),0.44
0,7,Duration (ms),0.63
0,8,Duration (ms),0.37
0,9,Duration (ms),0.42
0,10,Duration (ms),0.50
0,11,Duration (ms),0.57
0,12,Duration (ms),0.56
0,13,Duration (ms),0.67
0,14,Duration (ms),0.68
1,2,Duration (ms),0.35
1,3,Duration (ms),0.74
1,4,Duration (ms),0.70
1,5,Duration (ms),0.29
1,6,Duration (ms),0.82
1,7,Duration (ms),0.71
1,8,Duration (ms),0.74
1,9,Duration (ms),0.85
1,10,Duration (ms),0.76
1,11,Duration (ms),0.67
1,12,Duration (ms),0.82
1,13,Duration (ms),0.31
1,14,Duration (ms),0.67
2,3,Duration (ms),0.42
2,4,Duration (ms),0.47
2,5,Duration (ms),0.85
2,6,Duration (ms),0.33
2,7,Duration (ms),0.50
2,8,Duration (ms),0.28
2,9,Duration (ms),0.33
2,10,Duration (ms),0.40
2,11,Duration (ms),0.46
2,12,Duration (ms),0.48
2,13,Duration (ms),0.88
2,14,Duration (ms),0.49
3,4,Duration (ms),0.77
3,5,Duration (ms),0.38
3,6,Duration (ms),0.69
3,7,Duration (ms),0.80
3,8,Duration (ms),0.60
3,9,Duration (ms),0.70
3,10,Duration (ms),0.89
3,11,Duration (ms),0.74
3,12,Duration (ms),0.88
3,13,Duration (ms),0.39
3,14,Duration (ms),0.70
4,5,Duration (ms),0.41
4,6,Duration (ms),0.63
4,7,Duration (ms),0.92
4,8,Duration (ms),0.56
4,9,Duration (ms),0.64
4,10,Duration (ms),0.78
4,11,Duration (ms),0.93
4,12,Duration (ms),0.81
4,13,Duration (ms),0.43
4,14,Duration (ms),0.88
5,6,Duration (ms),0.29
5,7,Duration (ms),0.45
5,8,Duration (ms),0.24
5,9,Duration (ms),0.29
5,10,Duration (ms),0.34
5,11,Duration (ms),0.41
5,12,Duration (ms),0.43
5,13,Duration (ms),0.94
5,14,Duration (ms),0.44
6,7,Duration (ms),0.65
6,8,Duration (ms),0.86
6,9,Duration (ms),0.89
6,10,Duration (ms),0.71
6,11,Duration (ms),0.61
6,12,Duration (ms),0.75
6,13,Duration (ms),0.29
6,14,Duration (ms),0.59
7,8,Duration (ms),0.57
7,9,Duration (ms),0.65
7,10,Duration (ms),0.81
7,11,Duration (ms),0.91
7,12,Duration (ms),0.83
7,13,Duration (ms),0.46
7,14,Duration (ms),0.86
8,9,Duration (ms),0.80
8,10,Duration (ms),0.62
8,11,Duration (ms),0.55
8,12,Duration (ms),0.66
8,13,Duration (ms),0.24
8,14,Duration (ms),0.52
9,10,Duration (ms),0.73
9,11,Duration (ms),0.62
9,12,Duration (ms),0.77
9,13,Duration (ms),0.30
9,14,Duration (ms),0.59
10,11,Duration (ms),0.77
10,12,Duration (ms),0.90
10,13,Duration (ms),0.36
10,14,Duration (ms),0.72
11,12,Duration (ms),0.78
11,13,Duration (ms),0.42
11,14,Duration (ms),0.88
12,13,Duration (ms),0.44
12,14,Duration (ms),0.74
13,14,Duration (ms),0.45
0,1,Popularity,0.40
0,2,Popularity,0.64
0,3,Popularity,0.57
0,4,Popularity,0.49
0,5,Popularity,0.66
0,6,Popularity,0.42
0,7,Popularity,0.60
0,8,Popularity,0.30
0,9,Popularity,0.40
0,10,Popularity,0.57
0,11,Popularity,0.59
0,12,Popularity,0.54
0,13,Popularity,0.63
0,14,Popularity,0.69
1,2,Popularity,0.34
1,3,Popularity,0.65
1,4,Popularity,0.57
1,5,Popularity,0.28
1,6,Popularity,0.78
1,7,Popularity,0.64
1,8,Popularity,0.61
1,9,Popularity,0.79
1,10,Popularity,0.68
1,11,Popularity,0.52
1,12,Popularity,0.74
1,13,Popularity,0.31
1,14,Popularity,0.57
2,3,Popularity,0.42
2,4,Popularity,0.44
2,5,Popularity,0.63
2,6,Popularity,0.29
2,7,Popularity,0.40
2,8,Popularity,0.24
2,9,Popularity,0.34
2,10,Popularity,0.41
2,11,Popularity,0.48
2,12,Popularity,0.39
2,13,Popularity,0.62
2,14,Popularity,0.51
3,4,Popularity,0.76
3,5,Popularity,0.41
3,6,Popularity,0.70
3,7,Popularity,0.83
3,8,Popularity,0.52
3,9,Popularity,0.64
3,10,Popularity,0.88
3,11,Popularity,0.72
3,12,Popularity,0.85
3,13,Popularity,0.43
3,14,Popularity,0.79
4,5,Popularity,0.34
4,6,Popularity,0.58
4,7,Popularity,0.83
4,8,Popularity,0.48
4,9,Popularity,0.53
4,10,Popularity,0.74
4,11,Popularity,0.73
4,12,Popularity,0.70
4,13,Popularity,0.34
4,14,Popularity,0.78
5,6,Popularity,0.27
5,7,Popularity,0.39
5,8,Popularity,0.19
5,9,Popularity,0.29
5,10,Popularity,0.38
5,11,Popularity,0.44
5,12,Popularity,0.37
5,13,Popularity,0.70
5,14,Popularity,0.42
6,7,Popularity,0.66
6,8,Popularity,0.76
6,9,Popularity,0.85
6,10,Popularity,0.72
6,11,Popularity,0.56
6,12,Popularity,0.78
6,13,Popularity,0.31
6,14,Popularity,0.60
7,8,Popularity,0.50
7,9,Popularity,0.60
7,10,Popularity,0.87
7,11,Popularity,0.76
7,12,Popularity,0.78
7,13,Popularity,0.42
7,14,Popularity,0.83
8,9,Popularity,0.69
8,10,Popularity,0.53
