Playlist A, Playlist B, Feature, Cosine Similarity
0,1,Duration (ms),0.76
0,2,Duration (ms),0.59
0,3,Duration (ms),0.80
0,4,Duration (ms),0.73
0,5,Duration (ms),0.61
0,6,Duration (ms),0.66
0,7,Duration (ms),0.56
0,8,Duration (ms),0.58
0,9,Duration (ms),0.86
0,10,Duration (ms),0.78
0,11,Duration (ms),0.53
0,12,Duration (ms),0.89
1,2,Duration (ms),0.75
1,3,Duration (ms),0.92
1,4,Duration (ms),0.92
1,5,Duration (ms),0.78
1,6,Duration (ms),0.80
1,7,Duration (ms),0.44
1,8,Duration (ms),0.72
1,9,Duration (ms),0.68
1,10,Duration (ms),0.60
1,11,Duration (ms),0.66
1,12,Duration (ms),0.79
2,3,Duration (ms),0.69
2,4,Duration (ms),0.76
2,5,Duration (ms),0.93
2,6,Duration (ms),0.85
2,7,Duration (ms),0.31
2,8,Duration (ms),0.82
2,9,Duration (ms),0.49
2,10,Duration (ms),0.43
2,11,Duration (ms),0.70
2,12,Duration (ms),0.60
3,4,Duration (ms),0.88
3,5,Duration (ms),0.71
3,6,Duration (ms),0.77
3,7,Duration (ms),0.46
3,8,Duration (ms),0.67
3,9,Duration (ms),0.72
3,10,Duration (ms),0.64
3,11,Duration (ms),0.60
3,12,Duration (ms),0.85
4,5,Duration (ms),0.78
4,6,Duration (ms),0.84
4,7,Duration (ms),0.42
4,8,Duration (ms),0.73
4,9,Duration (ms),0.66
4,10,Duration (ms),0.57
4,11,Duration (ms),0.66
4,12,Duration (ms),0.77
5,6,Duration (ms),0.89
5,7,Duration (ms),0.33
5,8,Duration (ms),0.86
5,9,Duration (ms),0.52
5,10,Duration (ms),0.45
5,11,Duration (ms),0.78
5,12,Duration (ms),0.62
6,7,Duration (ms),0.35
6,8,Duration (ms),0.83
6,9,Duration (ms),0.56
6,10,Duration (ms),0.49
6,11,Duration (ms),0.75
6,12,Duration (ms),0.66
7,8,Duration (ms),0.30
7,9,Duration (ms),0.65
7,10,Duration (ms),0.70
7,11,Duration (ms),0.28
7,12,Duration (ms),0.51
8,9,Duration (ms),0.49
8,10,Duration (ms),0.42
8,11,Duration (ms),0.86
8,12,Duration (ms),0.55
9,10,Duration (ms),0.89
9,11,Duration (ms),0.44
9,12,Duration (ms),0.80
10,11,Duration (ms),0.39
10,12,Duration (ms),0.72
11,12,Duration (ms),0.51
0,1,Popularity,0.69
0,2,Popularity,0.58
0,3,Popularity,0.74
0,4,Popularity,0.70
0,5,Popularity,0.57
0,6,Popularity,0.53
0,7,Popularity,0.54
0,8,Popularity,0.53
0,9,Popularity,0.72
0,10,Popularity,0.72
0,11,Popularity,0.51
0,12,Popularity,0.84
1,2,Popularity,0.68
1,3,Popularity,0.79
1,4,Popularity,0.83
1,5,Popularity,0.68
1,6,Popularity,0.68
1,7,Popularity,0.37
1,8,Popularity,0.61
1,9,Popularity,0.51
1,10,Popularity,0.53
1,11,Popularity,0.57
1,12,Popularity,0.75
2,3,Popularity,0.63
2,4,Popularity,0.77
2,5,Popularity,0.92
2,6,Popularity,0.84
2,7,Popularity,0.36
2,8,Popularity,0.81
2,9,Popularity,0.45
2,10,Popularity,0.42
2,11,Popularity,0.78
2,12,Popularity,0.60
3,4,Popularity,0.80
3,5,Popularity,0.64
3,6,Popularity,0.58
3,7,Popularity,0.40
3,8,Popularity,0.62
3,9,Popularity,0.55
3,10,Popularity,0.58
3,11,Popularity,0.61
3,12,Popularity,0.77
4,5,Popularity,0.76
4,6,Popularity,0.70
4,7,Popularity,0.37
4,8,Popularity,0.66
4,9,Popularity,0.53
4,10,Popularity,0.53
4,11,Popularity,0.63
4,12,Popularity,0.75
5,6,Popularity,0.82
5,7,Popularity,0.34
5,8,Popularity,0.81
5,9,Popularity,0.47
5,10,Popularity,0.41
5,11,Popularity,0.75
5,12,Popularity,0.59
6,7,Popularity,0.33
6,8,Popularity,0.72
6,9,Popularity,0.41
6,10,Popularity,0.41
6,11,Popularity,0.66
6,12,Popularity,0.59
7,8,Popularity,0.31
7,9,Popularity,0.53
7,10,Popularity,0.63
7,11,Popularity,0.29
7,12,Popularity,0.48
8,9,Popularity,0.39
8,10,Popularity,0.37
8,11,Popularity,0.80
8,12,Popularity,0.56
9,10,Popularity,0.71
9,11,Popularity,0.39
9,12,Popularity,0.63
10,11,Popularity,0.38
10,12,Popularity,0.65
11,12,Popularity,0.51
0,1,Danceability,0.76
0,2,Danceability,0.56
0,3,Danceability,0.80
0,4,Danceability,0.72
0,5,Danceability,0.57
0,6,Danceability,0.64
0,7,Danceability,0.56
0,8,Danceability,0.51
0,9,Danceability,0.83
0,10,Danceability,0.77
0,11,Danceability,0.46
0,12,Danceability,0.88
1,2,Danceability,0.74
1,3,Danceability,0.92
1,4,Danceability,0.93
1,5,Danceability,0.76
1,6,Danceability,0.83
1,7,Danceability,0.43
1,8,Danceability,0.69
1,9,Danceability,0.65
1,10,Danceability,0.60
1,11,Danceability,0.64
1,12,Danceability,0.82
2,3,Danceability,0.72
2,4,Danceability,0.78
2,5,Danceability,0.93
2,6,Danceability,0.88
2,7,Danceability,0.33
2,8,Danceability,0.88
2,9,Danceability,0.47
2,10,Danceability,0.45
2,11,Danceability,0.75
2,12,Danceability,0.63
3,4,Danceability,0.89
3,5,Danceability,0.72
3,6,Danceability,0.78
3,7,Danceability,0.46
3,8,Danceability,0.67
3,9,Danceability,0.69
3,10,Danceability,0.64
3,11,Danceability,0.61
3,12,Danceability,0.88
4,5,Danceability,0.78
4,6,Danceability,0.85
4,7,Danceability,0.42
4,8,Danceability,0.72
4,9,Danceability,0.62
4,10,Danceability,0.58
4,11,Danceability,0.66
4,12,Danceability,0.78
5,6,Danceability,0.88
5,7,Danceability,0.34
5,8,Danceability,0.83
5,9,Danceability,0.49
5,10,Danceability,0.46
5,11,Danceability,0.75
5,12,Danceability,0.64
6,7,Danceability,0.37
6,8,Danceability,0.83
6,9,Danceability,0.53
6,10,Danceability,0.50
6,11,Danceability,0.76
6,12,Danceability,0.70
7,8,Danceability,0.31
7,9,Danceability,0.64
7,10,Danceability,0.70
7,11,Danceability,0.28
7,12,Danceability,0.53
8,9,Danceability,0.45
8,10,Danceability,0.42
8,11,Danceability,0.85
8,12,Danceability,0.59
9,10,Danceability,0.89
9,11,Danceability,0.42
9,12,Danceability,0.78
10,11,Danceability,0.40
10,12,Danceability,0.73
11,12,Danceability,0.54
0,1,Energy,0.68
0,2,Energy,0.51
0,3,Energy,0.74
0,4,Energy,0.66
0,5,Energy,0.48
0,6,Energy,0.57
0,7,Energy,0.51
0,8,Energy,0.46
0,9,Energy,0.77
0,10,Energy,0.71
0,11,Energy,0.41
0,12,Energy,0.82
1,2,Energy,0.77
1,3,Energy,0.91
1,4,Energy,0.94
1,5,Energy,0.73
1,6,Energy,0.84
1,7,Energy,0.45
1,8,Energy,0.70
1,9,Energy,0.64
1,10,Energy,0.58
1,11,Energy,0.61
1,12,Energy,0.81
2,3,Energy,0.70
2,4,Energy,0.79
2,5,Energy,0.87
2,6,Energy,0.88
2,7,Energy,0.33
2,8,Energy,0.82
2,9,Energy,0.51
2,10,Energy,0.45
2,11,Energy,0.72
2,12,Energy,0.62
3,4,Energy,0.87
3,5,Energy,0.65
3,6,Energy,0.74
3,7,Energy,0.48
3,8,Energy,0.63
3,9,Energy,0.68
3,10,Energy,0.62
3,11,Energy,0.56
3,12,Energy,0.86
4,5,Energy,0.76
4,6,Energy,0.86
4,7,Energy,0.43
4,8,Energy,0.74
4,9,Energy,0.62
4,10,Energy,0.56
4,11,Energy,0.64
4,12,Energy,0.79
5,6,Energy,0.83
5,7,Energy,0.31
5,8,Energy,0.76
5,9,Energy,0.48
5,10,Energy,0.42
5,11,Energy,0.65
5,12,Energy,0.59
6,7,Energy,0.36
6,8,Energy,0.78
6,9,Energy,0.55
6,10,Energy,0.49
6,11,Energy,0.65
6,12,Energy,0.68
7,8,Energy,0.30
7,9,Energy,0.63
7,10,Energy,0.69
7,11,Energy,0.27
7,12,Energy,0.52
8,9,Energy,0.48
8,10,Energy,0.40
8,11,Energy,0.82
8,12,Energy,0.56
9,10,Energy,0.87
9,11,Energy,0.41
9,12,Energy,0.77
10,11,Energy,0.35
10,12,Energy,0.70
11,12,Energy,0.50
0,1,Key,0.53
0,2,Key,0.38
0,3,Key,0.55
0,4,Key,0.41
0,5,Key,0.37
0,6,Key,0.41
0,7,Key,0.34
0,8,Key,0.33
0,9,Key,0.60
0,10,Key,0.51
0,11,Key,0.35
0,12,Key,0.62
1,2,Key,0.63
1,3,Key,0.66
1,4,Key,0.61
1,5,Key,0.52
1,6,Key,0.63
1,7,Key,0.26
1,8,Key,0.56
1,9,Key,0.38
1,10,Key,0.47
1,11,Key,0.51
1,12,Key,0.58
2,3,Key,0.54
2,4,Key,0.54
2,5,Key,0.71
2,6,Key,0.63
2,7,Key,0.21
2,8,Key,0.70
2,9,Key,0.30
2,10,Key,0.34
2,11,Key,0.50
2,12,Key,0.44
3,4,Key,0.60
3,5,Key,0.48
3,6,Key,0.57
3,7,Key,0.29
3,8,Key,0.45
3,9,Key,0.46
3,10,Key,0.42
3,11,Key,0.45
3,12,Key,0.56
4,5,Key,0.48
4,6,Key,0.52
