Playlist A, Playlist B, Feature, Cosine Similarity
0,1,Duration (ms),0.40
0,2,Duration (ms),0.58
0,3,Duration (ms),0.66
0,4,Duration (ms),0.48
0,5,Duration (ms),0.55
0,6,Duration (ms),0.67
0,7,Duration (ms),0.45
0,8,Duration (ms),0.68
0,9,Duration (ms),0.28
0,10,Duration (ms),0.30
0,11,Duration (ms),0.69
0,12,Duration (ms),0.26
1,2,Duration (ms),0.42
1,3,Duration (ms),0.27
1,4,Duration (ms),0.23
1,5,Duration (ms),0.49
1,6,Duration (ms),0.67
1,7,Duration (ms),0.40
1,8,Duration (ms),0.32
1,9,Duration (ms),0.16
1,10,Duration (ms),0.29
1,11,Duration (ms),0.54
1,12,Duration (ms),0.59
2,3,Duration (ms),0.70
2,4,Duration (ms),0.69
2,5,Duration (ms),0.75
2,6,Duration (ms),0.54
2,7,Duration (ms),0.83
2,8,Duration (ms),0.80
2,9,Duration (ms),0.35
2,10,Duration (ms),0.41
2,11,Duration (ms),0.48
2,12,Duration (ms),0.16
3,4,Duration (ms),0.59
3,5,Duration (ms),0.67
3,6,Duration (ms),0.56
3,7,Duration (ms),0.66
3,8,Duration (ms),0.70
3,9,Duration (ms),0.30
3,10,Duration (ms),0.35
3,11,Duration (ms),0.50
3,12,Duration (ms),0.15
4,5,Duration (ms),0.68
4,6,Duration (ms),0.43
4,7,Duration (ms),0.59
4,8,Duration (ms),0.67
4,9,Duration (ms),0.46
4,10,Duration (ms),0.57
4,11,Duration (ms),0.42
4,12,Duration (ms),0.07
5,6,Duration (ms),0.52
5,7,Duration (ms),0.68
5,8,Duration (ms),0.72
5,9,Duration (ms),0.37
5,10,Duration (ms),0.52
5,11,Duration (ms),0.51
5,12,Duration (ms),0.50
6,7,Duration (ms),0.48
6,8,Duration (ms),0.53
6,9,Duration (ms),0.22
6,10,Duration (ms),0.31
6,11,Duration (ms),0.85
6,12,Duration (ms),0.30
7,8,Duration (ms),0.62
7,9,Duration (ms),0.29
7,10,Duration (ms),0.42
7,11,Duration (ms),0.41
7,12,Duration (ms),0.14
8,9,Duration (ms),0.34
8,10,Duration (ms),0.39
8,11,Duration (ms),0.49
8,12,Duration (ms),0.15
9,10,Duration (ms),0.63
9,11,Duration (ms),0.21
9,12,Duration (ms),0.08
10,11,Duration (ms),0.31
10,12,Duration (ms),0.24
11,12,Duration (ms),0.39
0,1,Popularity,0.52
0,2,Popularity,0.62
0,3,Popularity,0.63
0,4,Popularity,0.32
0,5,Popularity,0.56
0,6,Popularity,0.62
0,7,Popularity,0.64
0,8,Popularity,0.46
0,9,Popularity,0.36
0,10,Popularity,0.17
0,11,Popularity,0.42
0,12,Popularity,0.22
1,2,Popularity,0.39
1,3,Popularity,0.47
1,4,Popularity,0.31
1,5,Popularity,0.59
1,6,Popularity,0.58
1,7,Popularity,0.37
1,8,Popularity,0.30
1,9,Popularity,0.37
1,10,Popularity,0.00
1,11,Popularity,0.52
1,12,Popularity,0.58
2,3,Popularity,0.72
2,4,Popularity,0.47
2,5,Popularity,0.67
2,6,Popularity,0.71
2,7,Popularity,0.73
2,8,Popularity,0.68
2,9,Popularity,0.46
2,10,Popularity,0.32
2,11,Popularity,0.50
2,12,Popularity,0.15
3,4,Popularity,0.32
3,5,Popularity,0.56
3,6,Popularity,0.60
3,7,Popularity,0.62
3,8,Popularity,0.67
3,9,Popularity,0.42
3,10,Popularity,0.23
3,11,Popularity,0.43
3,12,Popularity,0.27
4,5,Popularity,0.55
4,6,Popularity,0.35
4,7,Popularity,0.21
4,8,Popularity,0.42
4,9,Popularity,0.37
4,10,Popularity,0.25
4,11,Popularity,0.33
4,12,Popularity,0.22
5,6,Popularity,0.63
5,7,Popularity,0.51
5,8,Popularity,0.48
5,9,Popularity,0.44
5,10,Popularity,0.32
5,11,Popularity,0.62
5,12,Popularity,0.17
6,7,Popularity,0.64
6,8,Popularity,0.39
6,9,Popularity,0.49
6,10,Popularity,0.00
6,11,Popularity,0.75
6,12,Popularity,0.20
7,8,Popularity,0.46
7,9,Popularity,0.39
7,10,Popularity,0.25
7,11,Popularity,0.49
7,12,Popularity,0.21
8,9,Popularity,0.38
8,10,Popularity,0.33
8,11,Popularity,0.27
8,12,Popularity,0.38
9,10,Popularity,0.38
9,11,Popularity,0.40
9,12,Popularity,0.21
10,11,Popularity,0.00
