Playlist A, Playlist B, Feature, Cosine Similarity
0,1,Duration (ms),0.51
0,2,Duration (ms),0.29
0,3,Duration (ms),0.81
0,4,Duration (ms),0.53
0,5,Duration (ms),0.35
0,6,Duration (ms),0.46
0,7,Duration (ms),0.59
0,8,Duration (ms),0.68
0,9,Duration (ms),0.69
0,10,Duration (ms),0.51
0,11,Duration (ms),0.50
0,12,Duration (ms),0.81
0,13,Duration (ms),0.72
0,14,Duration (ms),0.72
0,15,Duration (ms),0.52
1,2,Duration (ms),0.20
1,3,Duration (ms),0.59
1,4,Duration (ms),0.85
1,5,Duration (ms),0.24
1,6,Duration (ms),0.27
1,7,Duration (ms),0.36
1,8,Duration (ms),0.60
1,9,Duration (ms),0.42
1,10,Duration (ms),0.31
1,11,Duration (ms),0.28
1,12,Duration (ms),0.45
1,13,Duration (ms),0.43
1,14,Duration (ms),0.42
1,15,Duration (ms),0.34
2,3,Duration (ms),0.36
2,4,Duration (ms),0.16
2,5,Duration (ms),0.78
2,6,Duration (ms),0.73
2,7,Duration (ms),0.47
2,8,Duration (ms),0.37
2,9,Duration (ms),0.38
2,10,Duration (ms),0.69
2,11,Duration (ms),0.41
2,12,Duration (ms),0.41
2,13,Duration (ms),0.44
2,14,Duration (ms),0.47
2,15,Duration (ms),0.41
3,4,Duration (ms),0.59
3,5,Duration (ms),0.39
3,6,Duration (ms),0.47
3,7,Duration (ms),0.61
3,8,Duration (ms),0.78
3,9,Duration (ms),0.64
3,10,Duration (ms),0.51
3,11,Duration (ms),0.46
3,12,Duration (ms),0.68
3,13,Duration (ms),0.68
3,14,Duration (ms),0.68
3,15,Duration (ms),0.52
4,5,Duration (ms),0.20
4,6,Duration (ms),0.27
4,7,Duration (ms),0.37
4,8,Duration (ms),0.63
4,9,Duration (ms),0.43
4,10,Duration (ms),0.34
4,11,Duration (ms),0.32
4,12,Duration (ms),0.45
4,13,Duration (ms),0.46
4,14,Duration (ms),0.45
4,15,Duration (ms),0.36
5,6,Duration (ms),0.76
5,7,Duration (ms),0.53
5,8,Duration (ms),0.38
5,9,Duration (ms),0.52
5,10,Duration (ms),0.76
5,11,Duration (ms),0.64
5,12,Duration (ms),0.53
5,13,Duration (ms),0.57
5,14,Duration (ms),0.56
5,15,Duration (ms),0.59
6,7,Duration (ms),0.65
6,8,Duration (ms),0.38
6,9,Duration (ms),0.63
6,10,Duration (ms),0.86
6,11,Duration (ms),0.70
6,12,Duration (ms),0.62
6,13,Duration (ms),0.59
6,14,Duration (ms),0.58
6,15,Duration (ms),0.55
7,8,Duration (ms),0.52
7,9,Duration (ms),0.72
7,10,Duration (ms),0.72
7,11,Duration (ms),0.60
7,12,Duration (ms),0.80
7,13,Duration (ms),0.81
7,14,Duration (ms),0.79
7,15,Duration (ms),0.76
8,9,Duration (ms),0.53
8,10,Duration (ms),0.45
8,11,Duration (ms),0.43
8,12,Duration (ms),0.61
8,13,Duration (ms),0.64
8,14,Duration (ms),0.66
8,15,Duration (ms),0.51
9,10,Duration (ms),0.69
9,11,Duration (ms),0.58
9,12,Duration (ms),0.81
9,13,Duration (ms),0.77
9,14,Duration (ms),0.80
9,15,Duration (ms),0.65
10,11,Duration (ms),0.71
10,12,Duration (ms),0.68
10,13,Duration (ms),0.64
10,14,Duration (ms),0.71
10,15,Duration (ms),0.64
11,12,Duration (ms),0.60
11,13,Duration (ms),0.67
11,14,Duration (ms),0.65
11,15,Duration (ms),0.76
12,13,Duration (ms),0.90
