Playlist A, Playlist B, Feature, Cosine Similarity
0,1,Duration (ms),0.80
0,2,Duration (ms),0.84
0,3,Duration (ms),0.67
0,4,Duration (ms),0.28
0,5,Duration (ms),0.37
0,6,Duration (ms),0.83
0,7,Duration (ms),0.77
0,8,Duration (ms),0.85
0,9,Duration (ms),0.73
1,2,Duration (ms),0.90
1,3,Duration (ms),0.61
1,4,Duration (ms),0.30
1,5,Duration (ms),0.34
1,6,Duration (ms),0.76
1,7,Duration (ms),0.70
1,8,Duration (ms),0.80
1,9,Duration (ms),0.90
2,3,Duration (ms),0.65
2,4,Duration (ms),0.35
2,5,Duration (ms),0.36
2,6,Duration (ms),0.79
2,7,Duration (ms),0.75
2,8,Duration (ms),0.84
2,9,Duration (ms),0.85
3,4,Duration (ms),0.20
3,5,Duration (ms),0.52
3,6,Duration (ms),0.77
3,7,Duration (ms),0.83
3,8,Duration (ms),0.73
3,9,Duration (ms),0.56
4,5,Duration (ms),0.11
4,6,Duration (ms),0.21
4,7,Duration (ms),0.24
4,8,Duration (ms),0.27
4,9,Duration (ms),0.34
5,6,Duration (ms),0.43
5,7,Duration (ms),0.46
5,8,Duration (ms),0.40
5,9,Duration (ms),0.32
6,7,Duration (ms),0.88
6,8,Duration (ms),0.90
6,9,Duration (ms),0.69
7,8,Duration (ms),0.83
7,9,Duration (ms),0.64
8,9,Duration (ms),0.74
0,1,Popularity,0.71
0,2,Popularity,0.84
0,3,Popularity,0.59
0,4,Popularity,0.15
0,5,Popularity,0.27
0,6,Popularity,0.81
0,7,Popularity,0.71
0,8,Popularity,0.84
0,9,Popularity,0.66
1,2,Popularity,0.83
1,3,Popularity,0.52
1,4,Popularity,0.25
1,5,Popularity,0.24
1,6,Popularity,0.71
1,7,Popularity,0.63
1,8,Popularity,0.77
1,9,Popularity,0.78
2,3,Popularity,0.60
2,4,Popularity,0.27
2,5,Popularity,0.27
2,6,Popularity,0.86
2,7,Popularity,0.73
2,8,Popularity,0.89
2,9,Popularity,0.80
3,4,Popularity,0.17
3,5,Popularity,0.37
3,6,Popularity,0.68
3,7,Popularity,0.70
3,8,Popularity,0.66
3,9,Popularity,0.53
4,5,Popularity,0.10
4,6,Popularity,0.20
4,7,Popularity,0.22
4,8,Popularity,0.26
4,9,Popularity,0.30
5,6,Popularity,0.33
5,7,Popularity,0.35
5,8,Popularity,0.31
5,9,Popularity,0.22
6,7,Popularity,0.86
6,8,Popularity,0.92
6,9,Popularity,0.66
7,8,Popularity,0.82
7,9,Popularity,0.59
8,9,Popularity,0.73
0,1,Danceability,0.85
0,2,Danceability,0.90
0,3,Danceability,0.69
0,4,Danceability,0.30
0,5,Danceability,0.40
0,6,Danceability,0.84
0,7,Danceability,0.80
