Playlist A, Playlist B, Feature, Cosine Similarity
0,1,Duration (ms),0.84
0,2,Duration (ms),0.62
0,3,Duration (ms),0.90
0,4,Duration (ms),0.63
0,5,Duration (ms),0.89
0,6,Duration (ms),0.91
0,7,Duration (ms),0.59
0,8,Duration (ms),0.80
0,9,Duration (ms),0.46
0,10,Duration (ms),0.69
0,11,Duration (ms),0.80
0,12,Duration (ms),0.91
0,13,Duration (ms),0.77
0,14,Duration (ms),0.90
0,15,Duration (ms),0.82
1,2,Duration (ms),0.57
1,3,Duration (ms),0.85
1,4,Duration (ms),0.69
1,5,Duration (ms),0.76
1,6,Duration (ms),0.91
1,7,Duration (ms),0.55
1,8,Duration (ms),0.88
1,9,Duration (ms),0.51
1,10,Duration (ms),0.76
1,11,Duration (ms),0.86
1,12,Duration (ms),0.79
1,13,Duration (ms),0.68
1,14,Duration (ms),0.79
1,15,Duration (ms),0.69
2,3,Duration (ms),0.59
2,4,Duration (ms),0.41
2,5,Duration (ms),0.69
2,6,Duration (ms),0.59
2,7,Duration (ms),0.91
2,8,Duration (ms),0.55
2,9,Duration (ms),0.30
2,10,Duration (ms),0.44
2,11,Duration (ms),0.50
2,12,Duration (ms),0.69
2,13,Duration (ms),0.79
2,14,Duration (ms),0.66
2,15,Duration (ms),0.75
3,4,Duration (ms),0.64
3,5,Duration (ms),0.85
3,6,Duration (ms),0.91
3,7,Duration (ms),0.58
3,8,Duration (ms),0.80
3,9,Duration (ms),0.46
3,10,Duration (ms),0.70
3,11,Duration (ms),0.81
3,12,Duration (ms),0.87
3,13,Duration (ms),0.74
3,14,Duration (ms),0.87
3,15,Duration (ms),0.78
4,5,Duration (ms),0.58
4,6,Duration (ms),0.68
4,7,Duration (ms),0.40
4,8,Duration (ms),0.72
4,9,Duration (ms),0.71
4,10,Duration (ms),0.85
4,11,Duration (ms),0.77
4,12,Duration (ms),0.59
4,13,Duration (ms),0.50
4,14,Duration (ms),0.59
4,15,Duration (ms),0.53
5,6,Duration (ms),0.83
5,7,Duration (ms),0.69
5,8,Duration (ms),0.74
5,9,Duration (ms),0.42
5,10,Duration (ms),0.63
5,11,Duration (ms),0.73
5,12,Duration (ms),0.95
5,13,Duration (ms),0.84
5,14,Duration (ms),0.95
5,15,Duration (ms),0.89
6,7,Duration (ms),0.58
6,8,Duration (ms),0.86
6,9,Duration (ms),0.50
6,10,Duration (ms),0.75
6,11,Duration (ms),0.86
6,12,Duration (ms),0.85
6,13,Duration (ms),0.72
6,14,Duration (ms),0.84
6,15,Duration (ms),0.76
7,8,Duration (ms),0.54
7,9,Duration (ms),0.30
7,10,Duration (ms),0.43
7,11,Duration (ms),0.48
7,12,Duration (ms),0.67
7,13,Duration (ms),0.77
7,14,Duration (ms),0.64
7,15,Duration (ms),0.74
8,9,Duration (ms),0.53
8,10,Duration (ms),0.80
8,11,Duration (ms),0.89
8,12,Duration (ms),0.75
8,13,Duration (ms),0.66
8,14,Duration (ms),0.74
8,15,Duration (ms),0.68
9,10,Duration (ms),0.62
9,11,Duration (ms),0.56
9,12,Duration (ms),0.43
9,13,Duration (ms),0.37
9,14,Duration (ms),0.43
9,15,Duration (ms),0.39
10,11,Duration (ms),0.85
10,12,Duration (ms),0.65
10,13,Duration (ms),0.55
10,14,Duration (ms),0.64
10,15,Duration (ms),0.58
11,12,Duration (ms),0.74
11,13,Duration (ms),0.63
11,14,Duration (ms),0.73
11,15,Duration (ms),0.67
12,13,Duration (ms),0.83
12,14,Duration (ms),0.97
12,15,Duration (ms),0.88
13,14,Duration (ms),0.82
13,15,Duration (ms),0.91
14,15,Duration (ms),0.88
0,1,Popularity,0.79
0,2,Popularity,0.50
0,3,Popularity,0.86
0,4,Popularity,0.42
0,5,Popularity,0.74
0,6,Popularity,0.81
0,7,Popularity,0.53
0,8,Popularity,0.73
0,9,Popularity,0.34
0,10,Popularity,0.64
0,11,Popularity,0.71
0,12,Popularity,0.81
0,13,Popularity,0.67
0,14,Popularity,0.81
0,15,Popularity,0.66
1,2,Popularity,0.55
1,3,Popularity,0.87
1,4,Popularity,0.50
1,5,Popularity,0.69
1,6,Popularity,0.86
1,7,Popularity,0.57
1,8,Popularity,0.87
1,9,Popularity,0.37
1,10,Popularity,0.75
1,11,Popularity,0.84
1,12,Popularity,0.75
1,13,Popularity,0.67
1,14,Popularity,0.76
1,15,Popularity,0.64
2,3,Popularity,0.57
2,4,Popularity,0.36
2,5,Popularity,0.61
2,6,Popularity,0.51
2,7,Popularity,0.86
2,8,Popularity,0.44
2,9,Popularity,0.28
2,10,Popularity,0.40
2,11,Popularity,0.46
2,12,Popularity,0.57
2,13,Popularity,0.68
2,14,Popularity,0.63
2,15,Popularity,0.66
3,4,Popularity,0.46
3,5,Popularity,0.78
3,6,Popularity,0.88
3,7,Popularity,0.59
3,8,Popularity,0.82
3,9,Popularity,0.38
3,10,Popularity,0.70
3,11,Popularity,0.79
3,12,Popularity,0.85
3,13,Popularity,0.76
3,14,Popularity,0.85
3,15,Popularity,0.73
4,5,Popularity,0.39
4,6,Popularity,0.46
4,7,Popularity,0.33
4,8,Popularity,0.50
4,9,Popularity,0.48
4,10,Popularity,0.64
4,11,Popularity,0.55
4,12,Popularity,0.41
4,13,Popularity,0.36
4,14,Popularity,0.41
4,15,Popularity,0.37
5,6,Popularity,0.73
5,7,Popularity,0.62
5,8,Popularity,0.66
5,9,Popularity,0.34
5,10,Popularity,0.55
5,11,Popularity,0.63
5,12,Popularity,0.84
5,13,Popularity,0.74
5,14,Popularity,0.87
5,15,Popularity,0.73
6,7,Popularity,0.52
6,8,Popularity,0.81
6,9,Popularity,0.37
6,10,Popularity,0.69
6,11,Popularity,0.78
6,12,Popularity,0.79
6,13,Popularity,0.66
6,14,Popularity,0.78
6,15,Popularity,0.64
7,8,Popularity,0.45
7,9,Popularity,0.29
7,10,Popularity,0.42
7,11,Popularity,0.47
7,12,Popularity,0.57
7,13,Popularity,0.74
7,14,Popularity,0.64
7,15,Popularity,0.69
8,9,Popularity,0.36
8,10,Popularity,0.76
8,11,Popularity,0.85
8,12,Popularity,0.71
8,13,Popularity,0.60
8,14,Popularity,0.71
8,15,Popularity,0.58
9,10,Popularity,0.46
9,11,Popularity,0.41
9,12,Popularity,0.35
9,13,Popularity,0.34
9,14,Popularity,0.35
9,15,Popularity,0.33
10,11,Popularity,0.82
10,12,Popularity,0.59
10,13,Popularity,0.52
10,14,Popularity,0.60
10,15,Popularity,0.51
11,12,Popularity,0.68
11,13,Popularity,0.59
11,14,Popularity,0.68
11,15,Popularity,0.58
12,13,Popularity,0.75
12,14,Popularity,0.90
12,15,Popularity,0.73
13,14,Popularity,0.80
13,15,Popularity,0.82
14,15,Popularity,0.79
0,1,Danceability,0.81
0,2,Danceability,0.62
0,3,Danceability,0.90
0,4,Danceability,0.60
0,5,Danceability,0.86
0,6,Danceability,0.89
0,7,Danceability,0.61
0,8,Danceability,0.79
0,9,Danceability,0.45
0,10,Danceability,0.71
0,11,Danceability,0.73
0,12,Danceability,0.88
0,13,Danceability,0.76
0,14,Danceability,0.88
0,15,Danceability,0.80
1,2,Danceability,0.55
1,3,Danceability,0.83
1,4,Danceability,0.66
1,5,Danceability,0.73
1,6,Danceability,0.88
1,7,Danceability,0.54
1,8,Danceability,0.86
1,9,Danceability,0.48
1,10,Danceability,0.77
1,11,Danceability,0.81
1,12,Danceability,0.75
1,13,Danceability,0.66
1,14,Danceability,0.75
1,15,Danceability,0.68
2,3,Danceability,0.58
2,4,Danceability,0.39
2,5,Danceability,0.65
2,6,Danceability,0.57
2,7,Danceability,0.93
2,8,Danceability,0.49
2,9,Danceability,0.29
2,10,Danceability,0.47
2,11,Danceability,0.48
2,12,Danceability,0.68
2,13,Danceability,0.75
2,14,Danceability,0.66
2,15,Danceability,0.73
3,4,Danceability,0.62
3,5,Danceability,0.83
3,6,Danceability,0.92
3,7,Danceability,0.57
3,8,Danceability,0.83
3,9,Danceability,0.46
3,10,Danceability,0.73
3,11,Danceability,0.76
3,12,Danceability,0.84
3,13,Danceability,0.74
3,14,Danceability,0.84
3,15,Danceability,0.77
4,5,Danceability,0.55
4,6,Danceability,0.65
4,7,Danceability,0.38
4,8,Danceability,0.70
4,9,Danceability,0.70
4,10,Danceability,0.83
4,11,Danceability,0.75
4,12,Danceability,0.56
4,13,Danceability,0.49
4,14,Danceability,0.57
4,15,Danceability,0.52
5,6,Danceability,0.82
5,7,Danceability,0.63
5,8,Danceability,0.70
5,9,Danceability,0.41
5,10,Danceability,0.65
5,11,Danceability,0.67
5,12,Danceability,0.94
5,13,Danceability,0.82
5,14,Danceability,0.94
5,15,Danceability,0.87
6,7,Danceability,0.57
6,8,Danceability,0.86
6,9,Danceability,0.48
6,10,Danceability,0.77
6,11,Danceability,0.80
6,12,Danceability,0.84
6,13,Danceability,0.72
6,14,Danceability,0.84
6,15,Danceability,0.76
7,8,Danceability,0.48
7,9,Danceability,0.28
7,10,Danceability,0.46
7,11,Danceability,0.48
7,12,Danceability,0.67
7,13,Danceability,0.74
7,14,Danceability,0.65
7,15,Danceability,0.72
8,9,Danceability,0.51
8,10,Danceability,0.82
8,11,Danceability,0.87
8,12,Danceability,0.73
8,13,Danceability,0.60
8,14,Danceability,0.73
8,15,Danceability,0.63
9,10,Danceability,0.62
9,11,Danceability,0.56
9,12,Danceability,0.42
9,13,Danceability,0.37
9,14,Danceability,0.42
9,15,Danceability,0.39
10,11,Danceability,0.88
10,12,Danceability,0.67
10,13,Danceability,0.58
10,14,Danceability,0.67
10,15,Danceability,0.61
11,12,Danceability,0.68
11,13,Danceability,0.59
11,14,Danceability,0.69
11,15,Danceability,0.62
12,13,Danceability,0.84
12,14,Danceability,0.97
12,15,Danceability,0.88
13,14,Danceability,0.84
13,15,Danceability,0.91
14,15,Danceability,0.87
0,1,Energy,0.78
0,2,Energy,0.63
0,3,Energy,0.90
0,4,Energy,0.61
0,5,Energy,0.86
0,6,Energy,0.89
0,7,Energy,0.63
0,8,Energy,0.81
0,9,Energy,0.45
0,10,Energy,0.72
0,11,Energy,0.72
0,12,Energy,0.91
0,13,Energy,0.78
0,14,Energy,0.91
0,15,Energy,0.81
1,2,Energy,0.54
1,3,Energy,0.80
1,4,Energy,0.65
1,5,Energy,0.68
1,6,Energy,0.84
1,7,Energy,0.53
1,8,Energy,0.86
1,9,Energy,0.47
1,10,Energy,0.75
1,11,Energy,0.77
1,12,Energy,0.71
1,13,Energy,0.63
1,14,Energy,0.71
1,15,Energy,0.67
2,3,Energy,0.56
2,4,Energy,0.41
2,5,Energy,0.60
2,6,Energy,0.57
2,7,Energy,0.90
2,8,Energy,0.50
2,9,Energy,0.29
2,10,Energy,0.45
2,11,Energy,0.43
2,12,Energy,0.64
2,13,Energy,0.74
2,14,Energy,0.67
2,15,Energy,0.75
3,4,Energy,0.62
3,5,Energy,0.80
3,6,Energy,0.91
3,7,Energy,0.57
3,8,Energy,0.81
3,9,Energy,0.46
3,10,Energy,0.73
3,11,Energy,0.73
3,12,Energy,0.85
3,13,Energy,0.74
3,14,Energy,0.85
3,15,Energy,0.76
4,5,Energy,0.54
4,6,Energy,0.65
4,7,Energy,0.42
4,8,Energy,0.71
4,9,Energy,0.72
4,10,Energy,0.84
4,11,Energy,0.74
4,12,Energy,0.57
4,13,Energy,0.50
4,14,Energy,0.57
4,15,Energy,0.53
5,6,Energy,0.80
5,7,Energy,0.60
5,8,Energy,0.71
5,9,Energy,0.40
5,10,Energy,0.63
5,11,Energy,0.63
5,12,Energy,0.92
5,13,Energy,0.77
5,14,Energy,0.92
5,15,Energy,0.83
6,7,Energy,0.56
6,8,Energy,0.86
6,9,Energy,0.48
6,10,Energy,0.77
6,11,Energy,0.77
6,12,Energy,0.85
6,13,Energy,0.72
6,14,Energy,0.84
6,15,Energy,0.76
7,8,Energy,0.50
7,9,Energy,0.30
7,10,Energy,0.46
7,11,Energy,0.43
7,12,Energy,0.64
7,13,Energy,0.73
7,14,Energy,0.68
7,15,Energy,0.76
8,9,Energy,0.53
8,10,Energy,0.82
8,11,Energy,0.85
8,12,Energy,0.75
8,13,Energy,0.65
8,14,Energy,0.74
8,15,Energy,0.67
9,10,Energy,0.64
9,11,Energy,0.56
9,12,Energy,0.42
9,13,Energy,0.36
9,14,Energy,0.42
9,15,Energy,0.39
10,11,Energy,0.86
10,12,Energy,0.66
10,13,Energy,0.56
10,14,Energy,0.66
10,15,Energy,0.59
11,12,Energy,0.66
11,13,Energy,0.54
11,14,Energy,0.67
11,15,Energy,0.58
12,13,Energy,0.82
12,14,Energy,0.97
12,15,Energy,0.86
13,14,Energy,0.83
13,15,Energy,0.89
14,15,Energy,0.89
0,1,Key,0.57
0,2,Key,0.48
0,3,Key,0.67
0,4,Key,0.44
0,5,Key,0.62
0,6,Key,0.61
0,7,Key,0.43
0,8,Key,0.58
0,9,Key,0.33
0,10,Key,0.48
0,11,Key,0.57
0,12,Key,0.63
0,13,Key,0.55
0,14,Key,0.65
0,15,Key,0.59
1,2,Key,0.40
1,3,Key,0.56
1,4,Key,0.44
1,5,Key,0.50
1,6,Key,0.60
1,7,Key,0.37
1,8,Key,0.66
1,9,Key,0.35
1,10,Key,0.51
1,11,Key,0.63
1,12,Key,0.51
1,13,Key,0.40
1,14,Key,0.52
1,15,Key,0.44
2,3,Key,0.45
2,4,Key,0.30
2,5,Key,0.46
2,6,Key,0.41
2,7,Key,0.66
2,8,Key,0.35
2,9,Key,0.22
2,10,Key,0.31
2,11,Key,0.35
2,12,Key,0.43
2,13,Key,0.48
2,14,Key,0.46
2,15,Key,0.49
3,4,Key,0.41
3,5,Key,0.63
3,6,Key,0.64
3,7,Key,0.43
3,8,Key,0.60
3,9,Key,0.33
3,10,Key,0.51
3,11,Key,0.57
3,12,Key,0.56
3,13,Key,0.55
3,14,Key,0.61
3,15,Key,0.57
4,5,Key,0.35
4,6,Key,0.46
4,7,Key,0.27
4,8,Key,0.49
4,9,Key,0.49
4,10,Key,0.59
4,11,Key,0.55
4,12,Key,0.38
4,13,Key,0.34
4,14,Key,0.38
4,15,Key,0.35
5,6,Key,0.57
5,7,Key,0.51
5,8,Key,0.51
5,9,Key,0.31
5,10,Key,0.42
5,11,Key,0.51
5,12,Key,0.60
5,13,Key,0.56
5,14,Key,0.66
5,15,Key,0.63
6,7,Key,0.40
6,8,Key,0.63
6,9,Key,0.34
6,10,Key,0.53
6,11,Key,0.57
6,12,Key,0.57
6,13,Key,0.46
6,14,Key,0.60
6,15,Key,0.53
7,8,Key,0.38
7,9,Key,0.21
7,10,Key,0.31
7,11,Key,0.37
7,12,Key,0.42
7,13,Key,0.43
7,14,Key,0.49
7,15,Key,0.47
