Playlist A, Playlist B, Feature, Cosine Similarity
0,1,Duration (ms),0.65
0,2,Duration (ms),0.31
0,3,Duration (ms),0.67
0,4,Duration (ms),0.10
0,5,Duration (ms),0.22
0,6,Duration (ms),0.75
0,7,Duration (ms),0.29
0,8,Duration (ms),0.40
0,9,Duration (ms),0.53
1,2,Duration (ms),0.37
1,3,Duration (ms),0.67
1,4,Duration (ms),0.18
1,5,Duration (ms),0.38
1,6,Duration (ms),0.63
1,7,Duration (ms),0.38
1,8,Duration (ms),0.58
1,9,Duration (ms),0.76
2,3,Duration (ms),0.45
2,4,Duration (ms),0.09
2,5,Duration (ms),0.18
2,6,Duration (ms),0.55
2,7,Duration (ms),0.75
2,8,Duration (ms),0.31
2,9,Duration (ms),0.28
3,4,Duration (ms),0.12
3,5,Duration (ms),0.20
3,6,Duration (ms),0.72
3,7,Duration (ms),0.51
3,8,Duration (ms),0.38
3,9,Duration (ms),0.58
4,5,Duration (ms),0.32
4,6,Duration (ms),0.10
4,7,Duration (ms),0.09
4,8,Duration (ms),0.23
4,9,Duration (ms),0.19
5,6,Duration (ms),0.21
5,7,Duration (ms),0.16
5,8,Duration (ms),0.53
5,9,Duration (ms),0.36
6,7,Duration (ms),0.41
6,8,Duration (ms),0.47
6,9,Duration (ms),0.48
7,8,Duration (ms),0.28
7,9,Duration (ms),0.24
8,9,Duration (ms),0.51
0,1,Popularity,0.58
0,2,Popularity,0.24
0,3,Popularity,0.63
0,4,Popularity,0.10
0,5,Popularity,0.23
0,6,Popularity,0.58
0,7,Popularity,0.29
0,8,Popularity,0.46
0,9,Popularity,0.40
1,2,Popularity,0.49
1,3,Popularity,0.81
1,4,Popularity,0.18
1,5,Popularity,0.30
1,6,Popularity,0.60
1,7,Popularity,0.50
1,8,Popularity,0.68
1,9,Popularity,0.62
2,3,Popularity,0.62
2,4,Popularity,0.06
2,5,Popularity,0.21
2,6,Popularity,0.65
2,7,Popularity,0.70
2,8,Popularity,0.26
2,9,Popularity,0.27
3,4,Popularity,0.12
3,5,Popularity,0.21
3,6,Popularity,0.68
3,7,Popularity,0.57
3,8,Popularity,0.53
3,9,Popularity,0.40
4,5,Popularity,0.28
4,6,Popularity,0.11
4,7,Popularity,0.09
4,8,Popularity,0.20
4,9,Popularity,0.14
5,6,Popularity,0.27
5,7,Popularity,0.20
5,8,Popularity,0.51
5,9,Popularity,0.28
6,7,Popularity,0.67
6,8,Popularity,0.39
6,9,Popularity,0.34
7,8,Popularity,0.25
7,9,Popularity,0.32
8,9,Popularity,0.60
