genre, occurence
"hip hop",12
"west coast hip hop",8
"r&b",8
"alternative rock",6
"classic rock",21
"soft rock",16
"art pop",2
"pop",17
"soft pop",6
"rock",11
"glam metal",3
"hard rock",6
"emo",2
"country",6
"acoustic country",1
"gangster rap",2
"g-funk",2
"quiet storm",1
"rap",6
"rock and roll",1
"grunge",2
"post-grunge",2
"musicals",16
"colombian pop",1
"reggaeton",1
"latin",3
"pop punk",1
"emo pop",1
"east coast hip hop",3
"album rock",5
"disco",2
"new wave",5
"synthpop",4
"crunk",1
"southern hip hop",2
"europop",3
"eurodance",2
"children's music",6
"christmas",2
"rap rock",1
"reggae rock",1
"ska punk",1
"ska",1
"modern rock",1
"folk pop",3
"meme rap",1
"trap",3
"melodic rap",1
"southern rock",2
"progressive rock",2
"latin pop",2
"k-pop",1
"funk rock",1
"indie",3
"garage rock",3
"symphonic rock",1
"art rock",1
"noise rock",1
"mandopop",1
"indie folk",2
"country rock",1
"soundtrack",2
"classical",2
"orchestra",2
"opera",2
"variété française",1
"norwegian pop",1
"jazz rap",1
"corridos tumbados",1
"corrido",1
"corridos bélicos",1
"música mexicana",1
"electro corridos",1
"metal",1
"thrash metal",1
"heavy metal",1
