genre, occurence
"r&b",20
"grime",1
"afroswing",1
"afrobeats",13
"rap",6
"hip hop",7
"jersey club",1
"sexy drill",1
"arabic rap",14
"opera",1
"alté",4
"alternative r&b",3
"raï",1
"moroccan chaabi",1
"moroccan pop",1
"gnawa",1
"country",2
"kizomba",6
"afrobeat",9
"afropop",8
"afro soul",8
"zouk",2
"kuduro",1
"latin pop",1
"latin",2
"motown",1
"soul",1
"northern soul",1
"quiet storm",1
"rage rap",1
"jazz house",2
"reggaeton",1
"southern hip hop",1
"egyptian hip hop",2
"pop",2
"mandopop",1
"c-pop",1
"taiwanese pop",1
"shatta",1
"dancehall",1
"moombahton",1
"ragga",1
"west coast hip hop",1
"uk drill",1
"afropiano",1
"k-pop",1
"pop soul",1
"corridos tumbados",1
"corrido",1
"corridos bélicos",1
"música mexicana",1
"electro corridos",1
