genre, occurence
"soft pop",10
"k-pop",45
"musicals",2
"pop",31
"r&b",2
"brazilian pop",1
"funk pop",1
"funk carioca",1
"funk",1
"pagode baiano",1
"neo soul",2
"rap",2
"hip hop",2
"banda",3
"ranchera",1
"mariachi",1
"norteño",1
"música mexicana",6
"grupera",1
"east coast hip hop",1
"art pop",2
"dancehall",1
"southern hip hop",1
"country",1
"argentine trap",1
"sad sierreño",6
"corridos tumbados",5
"corrido",5
"sierreño",4
"rap rock",1
"bedroom pop",2
"christmas",1
"corridos bélicos",1
"reggaeton",2
"latin",2
"colombian pop",1
