genre, occurence
"midwest emo",8
"math rock",5
"emo",16
"emo pop",9
"pop punk",13
"rage rap",2
"melodic hardcore",2
"retro soul",1
"country",7
"red dirt",4
"alt country",1
"texas country",1
"bluegrass",2
"indie rock",4
"soft pop",5
"christmas",1
"rock",19
"post-grunge",9
"alternative rock",12
"grunge",7
"modern rock",8
"industrial rock",3
"industrial",1
"industrial metal",3
"alternative metal",21
"electronic rock",1
"nu metal",19
"hip hop",31
"west coast hip hop",18
"east coast hip hop",7
"rap",34
"melodic rap",4
"gangster rap",16
"g-funk",16
"soul",3
"philly soul",1
"r&b",7
"jazz rap",2
"southern hip hop",12
"hyperpop",4
"christian rock",3
"christian alternative rock",3
"screamo",4
"post-hardcore",3
"metal",9
"rap metal",21
"hard rock",3
"indie",8
"heavy metal",3
"classic rock",14
"southern rock",5
"country rock",4
"folk rock",2
"baroque pop",1
"psychedelic rock",6
"psychedelic pop",1
"acid rock",4
"rockabilly",2
"rock and roll",2
"blues rock",5
"motown",1
"folk",2
"singer-songwriter",1
"roots rock",1
"memphis rap",4
"crunk",5
"hyphy",3
"garage rock",9
"art pop",5
"pop",13
"reggae rock",3
"ska punk",3
"ska",3
"surf rock",1
"pop country",1
"bedroom pop",1
"spoken word",1
"folk punk",1
"indie punk",1
"metalcore",1
"dark trap",20
"emo rap",22
"horrorcore",17
"punk rap",8
"cloud rap",13
"underground hip hop",8
"punk",3
"rap rock",7
"dubstep",3
"edm",3
"electro",2
"electronic",2
"musicals",2
"christian",1
"doo-wop",1
"country hip hop",1
"shoegaze",10
"malayalam hip hop",1
"desi hip hop",1
"groove metal",1
"french house",1
"k-pop",1
"alternative r&b",1
"witch house",1
"electroclash",4
"new rave",1
"alternative dance",1
"trap",4
"j-rap",1
"jersey club",1
"future bass",2
"portuguese hip hop",1
"edm trap",1
"quiet storm",1
"neo soul",2
"smooth r&b",1
"modern blues",1
"moombahton",1
"art rock",1
"trip hop",1
"downtempo",1
"roots reggae",1
"dub",2
"reggae",2
"rocksteady",1
"lovers rock",1
"ragga",1
"darkwave",1
"post-punk",1
"dream pop",1
"slowcore",1
"skate punk",1
"disco",1
"new jack swing",1
"experimental hip hop",3
"alternative hip hop",3
"experimental",2
"brooklyn drill",1
"new york drill",1
"reggaeton",1
"trap latino",1
"latin",1
"urbano latino",1
"americana",1
"newgrass",1
