genre, occurence
"rap",98
"r&b",170
"hip hop",73
"west coast hip hop",10
"edm trap",1
"future bass",2
"southern hip hop",20
"neo soul",2
"jersey club",2
"bedroom pop",1
"edm",3
"singer-songwriter",1
"nu disco",1
"french house",1
"cloud rap",4
"rage rap",9
"experimental hip hop",1
"alternative hip hop",1
"underground hip hop",2
"melodic rap",9
"afro house",1
"crunk",3
"east coast hip hop",3
"g-funk",1
"gangster rap",2
"alternative r&b",1
"trap",2
"hardcore hip hop",1
"memphis rap",5
"dark trap",1
"afrobeats",2
"alté",2
"afrobeat",2
"house",1
"pop",2
"drill",1
"emo rap",1
"dancehall",1
"reggae",1
"soca",1
"lovers rock",1
"ragga",1
"hyphy",1
"sexy drill",2
"philly club",1
"new york drill",1
"baltimore club",1
