genre, occurence
"country",184
"acoustic country",18
"alternative rock",4
"soft pop",48
"album rock",3
"classic rock",28
"southern rock",6
"rock",21
"soft rock",17
"pop",85
"pop punk",17
"emo",21
"emo pop",13
"nu metal",1
"punk",6
"power pop",1
"metalcore",1
"metal",1
"screamo",1
"disco",3
"dance pop",4
"edm",26
"dance",8
"r&b",14
"synthpop",6
"art pop",26
"post-grunge",9
"christmas",9
"psychedelic rock",3
"eurodance",3
"europop",3
"acoustic rock",1
"hard rock",5
"musicals",35
"tropical house",6
"pop country",9
"alt country",1
"garage rock",1
"blues rock",1
"rap rock",1
"country rock",5
"folk rock",9
"folk",7
"neue deutsche welle",1
"schlager",1
"german pop",1
"rap",10
"hip hop",8
"new wave",6
"east coast hip hop",5
"melodic rap",1
"trap",1
"electro swing",1
"glam rock",14
"dancehall",5
"rockabilly",3
"rock and roll",6
"variété française",2
"surf rock",2
"reggaeton",1
"latin",5
"urbano latino",1
"children's music",6
"baroque pop",2
"art rock",4
"grime",1
"uk drill",1
"indie folk",3
"nz reggae",2
"post-punk",1
"uk garage",1
"uk funky",1
"bassline",1
"glam metal",4
"modern rock",1
"tamil pop",1
"kollywood",1
"sufi",1
"bollywood",1
"hindi pop",1
"desi",1
"tamil dance",1
"alternative r&b",1
"soul",2
"motown",4
"jazz blues",2
"latin pop",4
"trance",1
"big room",4
"house",2
"neo soul",2
"skate punk",1
"honky tonk",1
"traditional country",3
"christian country",7
"southern hip hop",5
"g-funk",1
"west coast hip hop",1
"gangster rap",1
"soundtrack",1
"norwegian pop",2
"celtic",1
"latin folk",1
"bolero",1
"latin indie",1
"latin alternative",2
"chanson",1
"french jazz",1
"doo-wop",1
"northern soul",1
"funk rock",1
"singer-songwriter",5
"folk pop",2
"crunk",2
"proto-punk",1
"rap metal",1
"bluegrass",1
"americana",1
"adult standards",1
"big band",1
"arena rock",1
"latin dance",1
"moombahton",1
"memphis rap",1
"hyperpop",1
"stoner rock",1
"reggae",1
"jangle pop",1
"comedy",2
"melbourne bounce",1
