genre, occurence
"soft rock",24
"glam metal",7
"classic rock",52
"rock",29
"hard rock",2
"new wave",17
"synthpop",12
"disco",4
"christmas",1
"album rock",13
"musicals",3
"psychedelic rock",10
"neue deutsche welle",1
"schlager",1
"german pop",1
"funk",1
"ragtime",1
"polka",1
"rockabilly",2
"blues",2
"roots rock",1
"rock and roll",2
"southern rock",3
"progressive rock",7
"glam rock",14
"art rock",3
"southern hip hop",1
"hip hop",2
"post-punk",5
"alternative rock",1
"reggae",1
"acid jazz",1
"blues rock",1
"classic blues",1
"jangle pop",1
"r&b",1
"east coast hip hop",1
"pop",4
"industrial metal",1
"groove metal",1
"industrial",1
"industrial rock",1
"nu metal",1
"metal",1
"rap metal",1
"alternative metal",1
"darkwave",2
"singer-songwriter",1
"baroque pop",2
"madchester",1
"cold wave",1
"symphonic rock",1
"country rock",2
"big beat",1
"punk",1
"ska punk",2
"ska",2
"skate punk",1
"hardcore punk",1
"rocksteady",1
"tropical house",1
"doo-wop",1
"power pop",1
"motown",1
"soul",1
