genre, occurence
"indie",18
"indie rock",11
"baroque pop",5
"tropical house",12
"indie folk",59
"folk",37
"americana",6
"bluegrass",4
"newgrass",3
"alt country",6
"folk rock",27
"edm",11
"folk pop",44
"soft rock",18
"blues rock",10
"garage rock",7
"modern blues",7
"rock",8
"country rock",3
"country",28
"christian folk",5
"christmas",2
"modern rock",12
"house",6
"trap",2
"pop",17
"variété française",2
"soft pop",21
"synthpop",5
"roots rock",5
"french pop",1
"chanson",1
"new wave",2
"post-punk",1
"darkwave",1
"rap",7
"hip hop",4
"afrobeats",1
"afrobeat",1
"afropop",4
"azonto",1
"afroswing",1
"afropiano",1
"dancehall",1
"classic rock",11
"retro soul",5
"nu disco",3
"alternative dance",1
"pop country",9
"deep house",3
"singer-songwriter",9
"alternative rock",3
"motown",12
"northern soul",5
"psychedelic pop",2
"southern hip hop",2
"southern rock",1
"melodic bass",2
"future bass",2
"chillstep",2
"acoustic country",6
"trance",1
"big room",1
"dance",1
"soul",9
"psychedelic rock",3
"doo-wop",2
"surf rock",1
"east coast hip hop",2
"lounge",1
"post-grunge",1
"r&b",1
"g-funk",1
"west coast hip hop",1
"gangster rap",1
"quiet storm",3
"power pop",1
"pop soul",1
"emo",2
"pop punk",3
"emo pop",3
"philly soul",1
"glam rock",2
"slap house",2
"brazilian bass",1
"electronic",1
"electro house",1
"norwegian pop",1
"art pop",1
"neo soul",1
"blues",1
"soul blues",1
"christian alternative rock",1
"chillwave",2
"texas country",1
"red dirt",1
"jazz rap",1
"downtempo",1
"idm",1
