genre, occurence
"rap",23
"hip hop",20
"r&b",18
"southern hip hop",11
"art pop",6
"soft pop",9
"east coast hip hop",9
"neo soul",5
"christmas",5
"motown",2
"dancehall",2
"crunk",2
"g-funk",3
"west coast hip hop",2
"gangster rap",2
"soul",1
"northern soul",1
"quiet storm",1
"alternative rock",5
"folk pop",1
"indie",1
"pop",17
"funk rock",1
"rock",2
"nu disco",1
"french house",2
"indie dance",1
"pop punk",6
"emo",5
"emo pop",4
"punk",3
"skate punk",1
"power pop",1
"grunge",1
"latin pop",2
"latin",3
"edm",13
"dance",7
"eurodance",1
"europop",1
"big room",1
"latin dance",1
"alternative r&b",1
"reggaeton",2
"urbano latino",1
"grime",1
"disco house",1
