genre, occurence
"country",3
"new wave",3
"synthpop",4
"pop",35
"disco",26
"funk",3
"rock",17
"hard rock",6
"classic rock",23
"rock and roll",5
"glam metal",5
"glam rock",6
"art pop",8
"edm",24
"album rock",2
"soft pop",18
"tropical house",10
"rap",15
"dance",9
"hip hop",18
"reggae",4
"southern hip hop",6
"acid rock",1
"salsa",1
"salsa romantica",1
"merengue",1
"bachata",1
"latin",6
"g-funk",11
"west coast hip hop",11
"gangster rap",11
"melbourne bounce",2
"big room",2
"bounce",1
"latin pop",5
"afro soul",1
"afropop",1
"dubstep",1
"europop",4
"eurodance",3
"sertanejo",1
"sertanejo universitário",1
"sertanejo tradicional",1
"nu disco",1
"french house",5
"indie dance",1
"latin dance",1
"acoustic pop",1
"folk pop",2
"electronic",3
"electro",3
"norwegian hip hop",3
"schlager",1
"schlagerparty",1
"alternative r&b",2
"motown",14
"christmas",8
"southern rock",2
"east coast hip hop",10
"norwegian pop",9
"r&b",11
"new jack swing",2
"musicals",5
"reggaeton",1
"urbano latino",1
"progressive rock",1
"psychedelic rock",1
"symphonic rock",1
"art rock",3
"singer-songwriter",2
"quiet storm",3
"moombahton",3
"dancehall",3
"azonto",1
"afrobeats",1
"hiplife",1
"soft rock",13
"neo soul",2
"finnish hip hop",1
"finnish pop",1
"italo dance",1
"swedish ballads",1
"electronica",1
"progressive house",1
"emo",2
"pop punk",2
"emo pop",2
"axé",1
"brazilian pop",1
"pagode baiano",1
"rockabilly",2
"boogie-woogie",1
"philly soul",3
"hi-nrg",1
"electro house",1
"soul",9
"indie",3
"crunk",1
"dance pop",1
"modern rock",1
"baroque pop",4
"country rock",1
"blues rock",2
"psychedelic pop",1
"garage rock",1
"alternative rock",1
"blues",1
"jazz blues",2
"northern soul",3
"italo disco",1
"adult standards",1
"jazz fusion",1
"new rave",1
"electronic rock",1
"roots reggae",1
"smooth jazz",1
"jazz funk",1
"soul jazz",1
"hardcore hip hop",1
"boom bap",1
"hip house",1
"big beat",1
"post-grunge",1
