genre, occurence
"alternative r&b",1
"folk pop",3
"indie folk",2
"soft pop",6
"indie",1
"psychedelic pop",1
"classic rock",1
"rock",4
"glam rock",1
"southern hip hop",8
"hip hop",9
"pop",34
"rap",11
"hyphy",1
"edm trap",1
"future bass",1
"east coast hip hop",5
"neo soul",1
"tropical house",2
"r&b",5
"edm",22
"electronica",1
"progressive house",1
"g-funk",1
"west coast hip hop",1
"gangster rap",1
"dance",4
"art pop",1
"big room",1
"latin dance",1
"crunk",2
"trap",1
"house",1
"new jack swing",1
"emo",3
"pop punk",3
"emo pop",3
"modern rock",2
"alternative rock",2
"garage rock",1
"blues rock",1
"post-grunge",3
"memphis rap",1
"reggaeton",1
"latin",1
"freestyle",1
