genre, occurence
"pop punk",27
"punk",16
"emo pop",22
"rock",14
"skate punk",10
"emo",22
"christmas",3
"hip hop",22
"east coast hip hop",12
"rap",13
"alternative rock",14
"country",2
"reggae",3
"reggae rock",3
"ska punk",3
"ska",3
"indie rock",2
"indie",2
"pop",12
"dancehall",5
"g-funk",4
"gangster rap",5
"west coast hip hop",4
"art pop",2
"modern rock",1
"funk rock",6
"new jack swing",2
"southern hip hop",15
"post-grunge",13
"r&b",5
"garage rock",2
"soft pop",3
"power pop",1
"nu metal",5
"rap metal",4
"alternative metal",5
"jazz rap",1
"big beat",2
"bubblegum pop",1
"riddim",2
"ragga",2
"lovers rock",2
"eurodance",3
"europop",2
"christian rock",1
"christian alternative rock",1
"ccm",1
"christian",1
"hardstyle",1
"nederpop",1
"hardcore hip hop",1
"rap rock",3
"celtic rock",1
"singer-songwriter",1
"salsa",1
"salsa romantica",1
"merengue",1
"bachata",1
"latin",2
"shatta",1
"chamber pop",1
"blues rock",1
"tech house",1
"house",1
"techno",1
"latin pop",1
"dance pop",1
"crunk",5
"neo soul",2
"memphis rap",1
"horrorcore",1
