genre, occurence
"g-funk",5
"west coast hip hop",5
"gangster rap",4
"hip hop",16
"rap",22
"soft pop",13
"acoustic pop",1
"southern hip hop",7
"indie",3
"pop",15
"alternative r&b",1
"folk pop",7
"indie folk",6
"reggaeton",5
"latin",4
"moombahton",2
"melodic rap",8
"r&b",11
"afrobeats",1
"afrobeat",1
"dancehall",5
"edm",17
"dance",8
"east coast hip hop",5
"deep house",1
"christmas",1
"phonk",3
"drift phonk",3
"motown",2
"melbourne bounce",2
"big room",6
"bounce",1
"indie rock",1
"bedroom pop",2
"neo soul",5
"country",4
"pop country",2
"acoustic country",1
"latin dance",1
"trap",2
"pop punk",4
"punk",2
"emo",3
"trance",4
"house",5
"tropical house",6
"crunk",2
"modern rock",1
"emo pop",1
"bass house",1
"g-house",1
"electronic rock",1
"art pop",1
"memphis rap",1
"electro house",1
"norwegian pop",2
"russelåter",1
"norwegian hip hop",1
"pop urbaine",1
"chicha",1
"hyphy",1
"slap house",1
"trap latino",1
"urbano latino",2
"afro house",1
"moroccan pop",1
"emo rap",1
"electronica",1
"progressive house",1
"new jack swing",1
