genre, occurence
"bedroom pop",1
"indie folk",25
"folk pop",19
"folk",11
"rock",4
"soft pop",7
"country",14
"red dirt",4
"house",1
"christian folk",4
"chamber pop",4
"modern rock",2
"midwest emo",1
"acoustic country",2
"americana",1
"alt country",2
"bluegrass",2
"baroque pop",3
"indie",5
"classic rock",5
"soft rock",4
"garage rock",2
"new wave",4
"madchester",3
"jangle pop",3
"indie rock",1
"pop punk",3
"emo",4
"emo pop",3
"funk rock",2
"alternative rock",3
"norwegian pop",1
"art pop",3
"dream pop",3
"shoegaze",1
"slowcore",1
"melodic rap",1
"pop",4
"alternative r&b",1
"edm",3
"neo soul",1
"modern blues",1
"blues rock",1
"blues",1
"soul blues",1
"r&b",1
"album rock",1
"texas country",1
"tropical house",2
"synthpop",1
"pop country",1
"psychedelic pop",1
"psychedelic rock",1
"metal",1
"hard rock",1
"art rock",1
"traditional country",1
"french house",1
"electronic",1
"electro",1
"dance",1
"christian",1
"pop worship",1
"christian pop",1
"ccm",1
"christian rock",1
"christian hip hop",1
"cedm",1
"worship",1
"christian alternative rock",1
"folk rock",2
