genre, occurence
"soft pop",7
"rap",16
"pop",17
"classic rock",4
"rock",2
"glam rock",1
"album rock",1
"latin pop",1
"latin",2
"r&b",9
"neo soul",5
"hip hop",8
"east coast hip hop",4
"motown",2
"christmas",3
"pop punk",1
"emo",3
"emo pop",1
"southern hip hop",4
"g-funk",2
"west coast hip hop",2
"gangster rap",2
"art pop",3
"power pop",1
"reggaeton",1
"trap latino",1
"urbano latino",1
"trap",1
"country",7
"folk",1
"bedroom pop",5
"northern soul",1
"doo-wop",1
"reggae",2
"riddim",2
"dancehall",2
"ragga",2
"lovers rock",2
"quiet storm",1
"crunk",2
"hyphy",4
"blues",1
"grime",1
"punk",1
"adult standards",1
"honky tonk",1
"musicals",1
"modern rock",1
"hyperpop",1
"edm",2
"melodic rap",2
"trance",1
"big room",1
"house",1
"dance",1
"red dirt",1
"texas country",1
"soft rock",1
"southern rock",1
"pop country",1
"acoustic country",1
