genre, occurence
"indietronica",17
"hyperpop",28
"french house",13
"electronic",5
"electro",4
"big beat",3
"alternative dance",3
"breakbeat",3
"g-funk",17
"west coast hip hop",21
"pop",73
"gangster rap",15
"hip hop",56
"rap",78
"soft rock",7
"acid house",1
"chicago house",2
"piano house",2
"east coast hip hop",17
"r&b",22
"quiet storm",4
"smooth r&b",1
"hyphy",13
"motown",9
"disco",31
"new jack swing",4
"lounge",2
"hi-nrg",6
"nu disco",18
"funky house",9
"disco house",10
"uk funky",1
"deep house",3
"uk garage",1
"smooth soul",1
"christmas",12
"neo soul",4
"pop soul",1
"proto-punk",6
"moroccan chaabi",5
"glam rock",13
"synthpop",19
"art pop",43
"art rock",14
"new wave",26
"traditional country",4
"neue deutsche welle",4
"schlager",4
"german pop",4
"baroque pop",4
"alternative rock",19
"punk",9
"ska",2
"ska punk",3
"jangle pop",6
"rock",23
"alternative r&b",4
"emo",10
"skate punk",3
"emo pop",4
"trip hop",4
"afrobeat",4
"garage rock",11
"cold wave",3
"free jazz",1
"jazz",6
"avant-garde",1
"hard bop",1
"psychobilly",4
"rockabilly",7
"pop punk",10
"europop",16
"eurodance",16
"bedroom pop",11
"indie pop",1
"electroclash",4
"melodic house",1
"big band",10
"swing music",11
"indie",11
"synthwave",1
"vaporwave",1
"moombahton",4
"k-pop",2
"lullaby",1
"drum and bass",2
"liquid funk",1
"sea shanties",1
"pirate metal",1
"medieval",1
"electronic rock",4
"classic rock",22
"nu metal",2
"alternative metal",3
"rap metal",2
"shoegaze",2
"surf rock",3
"exotica",3
"grunge",10
"modern rock",3
"alt country",1
"americana",1
"adult standards",8
"rock and roll",3
"boogie-woogie",2
"smooth jazz",1
"soul jazz",1
"soul",7
"glam metal",3
"heavy metal",3
"metal",5
"hard rock",10
"dark cabaret",1
"merengue",2
"meme rap",3
"j-dance",1
"j-pop",2
"j-rap",1
"j-r&b",1
"dance pop",12
"indie rock",8
"madchester",1
"psychedelic rock",3
"post-hardcore",2
"noise rock",3
"hardcore punk",2
"italo disco",3
"italo dance",4
"french jazz",1
"stoner rock",3
"doom metal",3
"post-punk",12
"grime",4
"reggaeton",61
"trap latino",33
"urbano latino",36
"latin",68
"math rock",2
"cool jazz",1
"vocal jazz",4
"progressive rock",3
"new age",2
"symphonic rock",2
"darkwave",4
"ebm",1
"witch house",1
"industrial",1
"deathrock",1
"canzone napoletana",2
"neomelodico",2
"italian trap",2
"italian singer-songwriter",6
"hardcore",1
"city pop",1
"shibuya-kei",1
"indie folk",1
"post-grunge",13
"acid rock",1
"cloud rap",3
"singer-songwriter",4
"techno",2
"hard techno",1
"acid techno",1
"tekno",1
"minimalism",1
"classical",2
"neoclassical",1
"screamo",2
"emocore",1
"midwest emo",1
"chillstep",1
"folk rock",2
"folk",1
"roots rock",2
"country rock",1
"metalcore",1
"folk pop",1
"j-rock",1
"visual kei",1
"new rave",3
"melodic rap",10
"album rock",1
"blues rock",3
"modern blues",3
"retro soul",1
"idm",1
"glitch",1
"downtempo",1
"nu jazz",1
"soft pop",8
"house",12
"stutter house",3
"psychedelic pop",3
"afrobeats",4
"afropop",3
"azonto",2
"afroswing",3
"hiplife",1
"dancehall",13
"tech house",12
"edm",35
"memphis rap",7
"southern hip hop",33
"crunk",14
"horrorcore",2
"latin pop",8
"dance",20
"country hip hop",1
"latin hip hop",2
"ragga",2
"reggae",3
"riddim",2
"soca",3
"musicals",19
"country",14
"jersey club",3
"dembow",8
"brazilian pop",1
"funk pop",1
"funk carioca",1
"funk",6
"pagode baiano",1
"guaracha",1
"slap house",2
"electro house",1
"big room",8
"tropical house",3
"electro swing",2
"dubstep",2
"trance",5
"brooklyn drill",1
"drill",5
"new york drill",1
"electro corridos",2
"nightcore",4
"rkt",1
"turreo",1
"brazilian funk",1
"corridos tumbados",1
"sad sierreño",1
"corrido",1
"sierreño",1
"música mexicana",1
"corridos bélicos",1
"banda",1
"rage rap",4
"french pop",8
"p-pop",1
"brazilian bass",1
"trap",9
"uk drill",2
"bachata",1
"bachata pop",1
"reggaeton mexa",1
"latin r&b",1
"latin dance",2
"salsa",1
"amapiano",1
"gqom",1
"electronica",1
"argentine trap",1
"bassline",1
"latin house",1
"acoustic country",3
"red dirt",2
"comedy",1
"bolero",1
"tango",1
"dark trap",2
"emo rap",1
"acoustic rock",1
"spoken word",1
"orchestra",1
"opera",1
"soundtrack",1
"anime",1
"phonk",1
"drift phonk",1
"organic house",1
"afro house",1
"post-disco",1
"jazz funk",1
"britpop",1
"latin alternative",3
"latin indie",1
"electropop",3
"acoustic pop",1
"taiwanese indie",1
"chinese indie",1
"chillwave",1
"philly soul",5
"funk rock",5
"hardcore hip hop",1
"boom bap",1
"sludge metal",1
"afro soul",1
"jazz blues",1
"honky tonk",1
"southern rock",2
"blues",2
