genre, occurence
"chamber pop",4
"baroque pop",6
"soft rock",2
"indie rock",5
"indie folk",7
"bedroom pop",13
"indie pop",3
"soft pop",6
"pop",209
"art pop",53
"dream pop",3
"folk",3
"new wave",5
"madchester",1
"jangle pop",3
"psychedelic pop",3
"europop",24
"eurodance",27
"children's music",5
"disco",8
"hi-nrg",4
"italo disco",2
"freestyle",1
"hyperpop",26
"reggaeton",8
"latin",10
"urbano latino",7
"indie",3
"k-pop",16
"brazilian pop",1
"funk pop",1
"funk carioca",1
"funk",1
"pagode baiano",1
"americana",2
"exotica",1
"post-grunge",1
"east coast hip hop",15
"musicals",3
"new jack swing",2
"quiet storm",2
"funk rock",1
"r&b",43
"hip hop",29
"country",1
"melbourne bounce",1
"bounce",1
"motown",3
"g-funk",8
"west coast hip hop",8
"gangster rap",6
"rap",24
"edm",5
"dance",3
"italo dance",1
"latin pop",4
"hip house",3
"southern hip hop",15
"christmas",16
"alternative r&b",7
"dancehall",2
"ragga",1
"reggae",1
"riddim",1
"soca",1
"tribal house",1
"latin house",1
"nu disco",2
"synthwave",1
"french house",3
"trap",6
"hyphy",2
"grime",2
"afroswing",1
"trap latino",1
"crunk",1
"neo soul",4
"melodic rap",1
"french pop",2
"variété française",1
"chanson",1
"jersey club",3
"garage rock",1
"dance pop",8
"pop punk",2
"emo",2
"emo pop",1
"bubblegum pop",2
"jazz beats",1
"alté",1
"afrobeats",1
"lo-fi",1
"j-dance",1
"lo-fi beats",1
"slap house",1
"riot grrrl",1
"power pop",4
"old school hip hop",1
"swedish pop",1
"christian rock",1
"christian alternative rock",1
"christian",1
"ccm",1
"country hip hop",1
"indie dance",1
"post-punk",1
"gothic rock",1
"darkwave",1
"dansk pop",1
"alternative rock",1
"britpop",1
"philly soul",1
"punk",1
"proto-punk",1
"electroclash",1
"comedy",1
"trance",1
"big room",1
"house",1
