genre, occurence
"soundtrack",120
"idm",3
"ambient",13
"electronica",3
"nu jazz",2
"downtempo",3
"indietronica",21
"dark ambient",10
"classical",49
"requiem",12
"opera",16
"classical piano",19
"chamber music",20
"avant-garde",4
"choral",5
"christmas",10
"post-hardcore",1
"punk",3
"noise rock",1
"hardcore punk",1
"indie",8
"soft pop",3
"shoegaze",4
"dream pop",4
"slowcore",5
"witch house",8
"darkwave",7
"bassline",1
"bass house",1
"house",3
"tech house",3
"g-house",1
"new wave",8
"synthpop",7
"post-punk",2
"madchester",3
"melodic techno",1
"progressive house",1
"melodic house",1
"techno",1
"classic rock",22
"soft rock",15
"southern rock",2
"rock",17
"glam rock",2
"rockabilly",3
"rock and roll",2
"lounge",1
"grunge",6
"power pop",2
"jangle pop",2
"alternative rock",12
"big band",9
"adult standards",10
"swing music",9
"vocal jazz",7
"jazz",10
"chanson",1
"variété française",1
"french jazz",1
"jazz blues",4
"son cubano",1
"latin jazz",1
"bolero",1
"mambo",1
"country rock",1
"cool jazz",2
"bossa nova",1
"brazilian jazz",1
"hard rock",5
"glam metal",1
"folk rock",2
"album rock",3
"blues rock",3
"garage rock",2
"modern blues",2
"acid jazz",1
"french house",6
"disco house",1
"reggae",2
"bebop",1
"hard bop",1
"french pop",2
"reggae rock",1
"funk rock",2
"rap rock",2
"art rock",10
"pop punk",1
"post-grunge",2
"modern rock",1
"bluegrass",1
"country",7
"progressive rock",5
"miami bass",1
"funk melody",1
"east coast hip hop",1
"orchestra",24
"trip hop",2
"italo disco",2
"europop",2
"eurodance",2
"musicals",1
"city pop",1
"britpop",2
"drone",3
"psychedelic rock",4
"symphonic rock",3
"bedroom pop",1
"doo-wop",1
"norwegian pop",1
"art pop",1
"stutter house",7
"metal",2
"neoclassical",19
"minimalism",5
"easy listening",1
"post-rock",1
"japanese classical",1
"anime",5
"krautrock",2
"neue deutsche welle",3
"electronic",3
"electro",3
"italo dance",1
"rap metal",1
"alternative metal",1
"nu metal",1
"schlager",2
"german pop",2
"phonk",18
"lo-fi house",1
"synthwave",7
"breakcore",1
"tekno",1
"drift phonk",6
"champeta",1
"hardstyle",1
"nightcore",2
"arabesk",1
"vaporwave",1
"underground hip hop",1
"jersey club",1
"electroclash",3
"industrial metal",1
"industrial rock",1
"industrial",1
"medieval",4
"psychedelic pop",1
"future bass",1
"moroccan chaabi",1
"traditional country",1
"comedy",1
"dark cabaret",1
"pop",3
"gothic country",3
"folk punk",1
"alt country",1
"blues",1
"classic blues",1
"country blues",1
"new age",1
"dark trap",1
"baroque pop",1
"southern hip hop",1
"hip hop",3
"polka",1
"rap",3
"memphis rap",1
"melodic rap",1
"rage rap",1
"uk drill",1
"drill",1
"grime",1
"afroswing",1
"brooklyn drill",1
"new york drill",1
"afrobeats",1
"afrobeat",1
"r&b",1
"neo soul",1
"children's music",1
"lullaby",1
"g-funk",1
"west coast hip hop",1
"gangster rap",1
"merengue",1
"funk",1
"new rave",1
"alternative dance",1
"sovietwave",2
"cold wave",1
"gregorian chant",1
"celtic",1
