genre, occurence
"americana",7
"folk",31
"alt country",12
"singer-songwriter",47
"folk rock",56
"classic rock",199
"soft rock",83
"progressive rock",16
"album rock",12
"psychedelic rock",36
"rock",144
"blues rock",15
"blues",8
"roots rock",18
"country rock",34
"acid rock",12
"southern rock",29
"motown",10
"soul",9
"northern soul",5
"country",135
"hard rock",42
"rock and roll",28
"jazz blues",2
"glam rock",11
"rockabilly",5
"symphonic rock",14
"art rock",14
"disco",10
"baroque pop",15
"psychedelic pop",11
"soul blues",4
"new wave",21
"synthpop",15
"proto-punk",3
"post-punk",3
"doo-wop",2
"power pop",4
"mariachi",1
"philly soul",2
"classic blues",3
"madchester",12
"jangle pop",9
"celtic rock",1
"folk pop",45
"bedroom pop",20
"indie folk",37
"indie",50
"soft pop",40
"pop punk",51
"punk",19
"emo",46
"christian folk",1
"rap",203
"r&b",54
"edm",127
"dance",14
"hip hop",123
"pop",66
"electronic rock",4
"experimental hip hop",1
"alternative hip hop",1
"reggaeton",7
"latin",9
"art pop",17
"west coast hip hop",48
"g-funk",15
"gangster rap",20
"alternative r&b",10
"indie rock",8
"french pop",1
"tropical house",25
"britpop",10
"surf rock",41
"trap",17
"reggae rock",7
"funk rock",27
"rap rock",20
"dubstep",25
"electro",18
"electronic",20
"moombahton",24
"east coast hip hop",35
"alternative rock",50
"southern hip hop",28
"metal",6
"heavy metal",5
"stoner rock",2
"doom metal",1
"post-grunge",57
"grunge",34
"alternative metal",15
"acoustic rock",1
"rage rap",42
"melodic rap",103
"drill",47
"new jack swing",4
"modern rock",16
"glam metal",11
"memphis rap",10
"crunk",5
"horrorcore",4
"honky tonk",5
"traditional country",6
"hyphy",3
"emo rap",57
"brooklyn drill",13
"new york drill",12
"uk drill",24
"grime",42
"christmas",7
"trap latino",1
"urbano latino",1
"melodic hardcore",2
"emo pop",37
"nz reggae",2
"slap house",7
"future bass",52
"musicals",20
"hyperpop",8
"dark trap",5
"garage rock",15
"acoustic country",11
"electronica",9
"progressive house",12
"trance",6
"big room",10
"house",49
"skate punk",6
"reggae",7
"riddim",5
"dancehall",12
"ragga",4
"lovers rock",4
"cloud rap",5
"electro swing",1
"melbourne bounce",7
"disco house",10
"funky house",4
"nu metal",15
"rap metal",10
"jazz rap",9
"uk garage",22
"red dirt",53
"latin house",1
"latin pop",3
"german pop",2
"texas country",9
"bluegrass",8
"retro soul",2
"future house",17
"chillstep",6
"drum and bass",61
"melodic bass",10
"afrobeats",7
"afrobeat",5
"afropop",3
"azonto",4
"afroswing",9
"afropiano",2
"tech house",12
"bass house",25
"electro house",9
"bassline",34
"country hip hop",3
"pop country",4
"jersey club",2
"philly club",2
"baltimore club",2
"roots reggae",2
"soca",2
"phonk",8
"drift phonk",7
"edm trap",9
"stutter house",30
"dance pop",1
"christian hip hop",4
"christian",2
"pop worship",2
"christian pop",2
"ccm",2
"christian rock",2
"cedm",2
"worship",2
"christian alternative rock",2
"french house",9
"raï",1
"meme rap",3
"g-house",6
"techno",6
"brazilian bass",3
"aussie drill",11
"hardstyle",6
"frenchcore",2
"hardcore",3
"punk rap",4
"happy hardcore",2
"hip house",2
"quiet storm",4
"soul jazz",1
"norwegian pop",5
"italian trap",1
"nu disco",4
"lo-fi",4
"eurodance",7
"italo dance",3
"norwegian hip hop",3
"afro house",1
"europop",4
"neo soul",3
"dembow",1
"hiplife",2
"chillwave",6
"footwork",1
"chicago house",2
"miami bass",2
"electroclash",2
"brazilian hip hop",1
"samba",1
"brazilian rock",1
"mpb",1
"emocore",2
"hardcore punk",1
"psychobilly",1
"lounge",1
"k-rap",1
"k-pop",4
"big beat",3
"dub",3
"liquid funk",25
"screamo",1
"post-hardcore",1
"jungle",11
"deep house",7
"neue deutsche welle",1
"schlager",1
"melodic house",3
"progressive trance",1
"acoustic pop",2
"drumstep",1
"hardcore hip hop",1
"boom bap",2
"lo-fi beats",1
"jazz beats",1
"deathstep",1
"bass music",1
"underground hip hop",1
"witch house",1
"thrash metal",3
"rally house",2
"uk funky",2
"melodic techno",2
"space music",1
"brazilian phonk",3
"brazilian funk",1
"funk",1
"funk carioca",1
"industrial metal",1
"industrial rock",1
"industrial",1
"nightcore",3
"russelåter",1
"modern blues",1
"ska",3
"ska punk",3
"boogie-woogie",1
"southern gospel",1
"hypertechno",5
"hard house",4
"lo-fi house",1
"bounce",1
"folk punk",1
"comedy",2
"vaporwave",2
"synthwave",2
"malayalam hip hop",1
"desi hip hop",1
"dark cabaret",1
"variété française",2
"post-disco",1
"breakbeat",1
"smooth jazz",1
"j-rap",1
"midwest emo",1
"sexy drill",1
"slowcore",1
"colombian pop",1
"children's music",6
"noise rock",1
"mandopop",1
"soundtrack",2
"classical",2
"orchestra",2
"opera",2
"corridos tumbados",1
"corrido",1
"corridos bélicos",1
"música mexicana",1
"electro corridos",1
"alternative dance",1
