genre, occurence
"pop punk",88
"punk",34
"emo pop",68
"rock",133
"skate punk",14
"emo",90
"christmas",39
"hip hop",234
"east coast hip hop",67
"rap",265
"alternative rock",52
"country",269
"reggae",14
"reggae rock",7
"ska punk",9
"ska",9
"indie rock",19
"indie",45
"pop",317
"dancehall",26
"g-funk",49
"gangster rap",49
"west coast hip hop",66
"art pop",61
"modern rock",30
"funk rock",11
"new jack swing",7
"southern hip hop",95
"post-grunge",38
"r&b",283
"garage rock",26
"soft pop",153
"power pop",7
"nu metal",26
"rap metal",27
"alternative metal",27
"jazz rap",5
"big beat",4
"bubblegum pop",1
"riddim",4
"ragga",7
"lovers rock",6
"eurodance",12
"europop",13
"christian rock",5
"christian alternative rock",6
"ccm",2
"christian",3
"hardstyle",1
"nederpop",1
"hardcore hip hop",3
"rap rock",13
"celtic rock",1
"singer-songwriter",22
"salsa",2
"salsa romantica",2
"merengue",2
"bachata",2
"latin",32
"shatta",2
"chamber pop",5
"blues rock",22
"tech house",1
"house",18
"techno",1
"latin pop",16
"dance pop",6
"crunk",25
"neo soul",30
"memphis rap",13
"horrorcore",18
"k-pop",48
"musicals",64
"brazilian pop",2
"funk pop",1
"funk carioca",1
"funk",5
"pagode baiano",2
"banda",3
"ranchera",1
"mariachi",1
"norteño",1
"música mexicana",8
"grupera",1
"argentine trap",1
"sad sierreño",6
"corridos tumbados",7
"corrido",7
"sierreño",4
"bedroom pop",12
"corridos bélicos",3
"reggaeton",17
"colombian pop",2
"grime",4
"afroswing",2
"afrobeats",18
"jersey club",4
"sexy drill",3
"arabic rap",14
"opera",3
"alté",6
"alternative r&b",12
"raï",1
"moroccan chaabi",1
"moroccan pop",2
"gnawa",1
"kizomba",6
"afrobeat",13
"afropop",13
"afro soul",9
"zouk",2
"kuduro",1
"motown",40
"soul",27
"northern soul",12
"quiet storm",11
"rage rap",12
"jazz house",2
"egyptian hip hop",2
"mandopop",2
"c-pop",1
"taiwanese pop",1
"moombahton",8
"uk drill",2
"afropiano",2
"pop soul",2
"electro corridos",2
"classic rock",162
"soft rock",95
"glam metal",19
"hard rock",23
"acoustic country",29
"rock and roll",16
"grunge",10
"album rock",27
"disco",36
"new wave",38
"synthpop",32
"children's music",12
"folk pop",81
"meme rap",1
"trap",16
"melodic rap",26
"southern rock",20
"progressive rock",10
"symphonic rock",3
"art rock",13
"noise rock",1
"indie folk",97
"country rock",16
"soundtrack",3
"classical",2
"orchestra",2
"variété française",5
"norwegian pop",16
"metal",13
"thrash metal",1
"heavy metal",4
"baroque pop",17
"tropical house",39
"folk",58
"americana",9
"bluegrass",9
"newgrass",4
"alt country",10
"folk rock",42
"edm",124
"modern blues",9
"christian folk",9
"roots rock",7
"french pop",1
"chanson",2
"post-punk",9
"darkwave",4
"azonto",2
"retro soul",6
"nu disco",6
"alternative dance",2
"pop country",23
"deep house",4
"psychedelic pop",6
"melodic bass",2
"future bass",7
"chillstep",2
"trance",7
"big room",16
"dance",39
"psychedelic rock",24
"doo-wop",6
"surf rock",4
"lounge",1
"philly soul",5
"glam rock",39
"slap house",3
"brazilian bass",1
"electronic",7
"electro house",3
"blues",6
"soul blues",2
"chillwave",2
"texas country",4
"red dirt",10
"downtempo",2
"idm",1
"midwest emo",9
"madchester",4
"jangle pop",5
"dream pop",4
"shoegaze",11
"slowcore",2
"traditional country",4
"french house",10
"electro",6
"pop worship",1
"christian pop",1
"christian hip hop",1
"cedm",1
"worship",1
"acoustic pop",2
"phonk",3
"drift phonk",3
"melbourne bounce",5
"bounce",2
"latin dance",5
"bass house",1
"g-house",1
"electronic rock",3
"russelåter",1
"norwegian hip hop",4
"pop urbaine",1
"chicha",1
"hyphy",10
"trap latino",4
"urbano latino",8
"afro house",2
"emo rap",24
"electronica",3
"progressive house",3
"math rock",5
"melodic hardcore",2
"industrial rock",4
"industrial",2
"industrial metal",4
"hyperpop",6
"screamo",5
"post-hardcore",3
"acid rock",5
"rockabilly",9
"spoken word",1
"folk punk",1
"indie punk",1
"metalcore",2
"dark trap",21
"punk rap",8
"cloud rap",17
"underground hip hop",10
"dubstep",4
"country hip hop",1
"malayalam hip hop",1
"desi hip hop",1
"groove metal",2
"witch house",1
"electroclash",4
"new rave",2
"j-rap",1
"portuguese hip hop",1
"edm trap",3
"smooth r&b",1
"trip hop",1
"roots reggae",2
"dub",2
"rocksteady",2
"experimental hip hop",4
"alternative hip hop",4
"experimental",2
"brooklyn drill",1
"new york drill",2
"acoustic rock",1
"neue deutsche welle",2
"schlager",3
"german pop",2
"electro swing",1
"nz reggae",2
"uk garage",1
"uk funky",1
"bassline",1
"tamil pop",1
"kollywood",1
"sufi",1
"bollywood",1
"hindi pop",1
"desi",1
"tamil dance",1
"jazz blues",4
"honky tonk",2
"christian country",7
"celtic",1
"latin folk",1
"bolero",1
"latin indie",1
"latin alternative",2
"french jazz",1
"proto-punk",1
"adult standards",3
"big band",1
"arena rock",1
"stoner rock",1
"comedy",2
"sertanejo",1
"sertanejo universitário",1
"sertanejo tradicional",1
"indie dance",2
"schlagerparty",1
"hiplife",1
"finnish hip hop",1
"finnish pop",1
"italo dance",1
"swedish ballads",1
"axé",1
"boogie-woogie",1
"hi-nrg",1
"italo disco",1
"jazz fusion",1
"smooth jazz",1
"jazz funk",1
"soul jazz",1
"boom bap",1
"hip house",1
"drill",1
"soca",1
"philly club",1
"baltimore club",1
"disco house",1
"ragtime",1
"polka",1
"acid jazz",1
"classic blues",1
"cold wave",1
"hardcore punk",1
"freestyle",1
