genre, occurence
"soundtrack",461
"dark ambient",12
"ambient",9
"drone",5
"medieval",459
"space music",45
"classical",7
"neoclassical",9
"orchestra",19
"celtic",54
"japanese vgm",10
"traditional music",2
"sufi",2
"bhajan",2
"gregorian chant",3
"qawwali",2
"gufeng",5
"new age",6
"neofolk",2
"champeta",1
"opera",6
"folk metal",5
"sea shanties",11
"japanese classical",8
"chamber music",2
"chamber pop",1
"christmas",1
"choral",1
"french pop",5
"variété française",5
"chanson",5
"dark cabaret",1
"idm",1
"minimalism",1
"french house",1
"electronic",1
"electro",1
"darkwave",1
"black metal",1
"synthwave",1
"chillwave",1
"electro swing",1
"big beat",1
