genre, occurence
"europop",2
"eurodance",2
"pop",11
"g-funk",1
"west coast hip hop",2
"gangster rap",1
"hip hop",2
"rap",2
"hyperpop",4
"art pop",5
"new jack swing",1
"quiet storm",1
"dance pop",1
"southern hip hop",2
"trap",1
"musicals",1
"soft rock",2
"new wave",3
"synthpop",1
"classic rock",3
"rock",6
"glam rock",1
"post-punk",1
"hard rock",2
"psychedelic rock",1
"post-grunge",9
"alternative metal",1
"acoustic rock",1
"grunge",3
"spoken word",1
"classical",1
"orchestra",1
"opera",1
"soundtrack",1
"emo",2
"pop punk",2
"neue deutsche welle",1
"schlager",1
"german pop",1
"reggae",1
"anime",1
"memphis rap",1
"cloud rap",1
"phonk",1
"drift phonk",1
