genre, occurence
"garage rock",4
"indie rock",5
"alternative rock",9
"pop",2
"new wave",3
"madchester",1
"jangle pop",2
"hyperpop",2
"art pop",1
"classic rock",3
"psychedelic rock",2
"bedroom pop",2
"post-hardcore",2
"punk",1
"noise rock",3
"hardcore punk",2
"italo disco",1
"italo dance",2
"french jazz",1
"rap",1
"art rock",9
"glam rock",3
"motown",1
"christmas",3
"metal",2
"heavy metal",1
"rock",3
"stoner rock",1
"hard rock",1
"doom metal",1
"post-punk",6
"moroccan chaabi",3
"grime",1
"reggaeton",1
"trap latino",1
"urbano latino",1
"latin",1
"indie",3
"indietronica",2
"grunge",3
"shoegaze",1
"math rock",2
"jazz",2
"cool jazz",1
"vocal jazz",2
"progressive rock",1
"new age",1
"symphonic rock",1
"cold wave",2
"darkwave",3
"ebm",1
"witch house",1
"industrial",1
"deathrock",1
"canzone napoletana",2
"neomelodico",2
"italian trap",2
"italian singer-songwriter",4
"hardcore",1
"city pop",1
"shibuya-kei",1
"j-pop",1
"indie folk",1
"post-grunge",2
"modern rock",1
"acid rock",1
"big band",1
"adult standards",1
"swing music",1
"synthpop",1
"french house",1
"disco house",1
"cloud rap",1
"singer-songwriter",3
"techno",1
"hard techno",1
"acid techno",1
"tekno",1
"pop punk",1
"emo",2
"emo pop",1
"minimalism",1
"classical",1
"neoclassical",1
"screamo",2
"emocore",1
"midwest emo",1
"chillstep",1
"proto-punk",1
"k-pop",1
"folk rock",1
"folk",1
"roots rock",1
"country rock",1
"rockabilly",1
"baroque pop",1
"metalcore",1
