genre, occurence
"italian singer-songwriter",2
"italo dance",2
"italo disco",2
"organic house",1
"afro house",1
"latin pop",2
"disco",5
"post-disco",1
"jazz funk",1
"disco house",4
"nu disco",13
"funky house",3
"hyperpop",1
"britpop",1
"french house",8
"french pop",7
"alternative dance",2
"soft pop",4
"latin alternative",2
"pop",4
"dance pop",5
"trip hop",1
"latin indie",1
"electropop",3
"new wave",1
"synthpop",1
"acoustic pop",1
"indietronica",3
"electroclash",2
"psychedelic pop",1
"baroque pop",1
"art pop",2
"bedroom pop",2
"taiwanese indie",1
"chinese indie",1
"new rave",2
"chillwave",1
"house",2
"stutter house",1
"electronic rock",1
"philly soul",3
"progressive rock",1
