genre, occurence
"swing music",3
"boogie-woogie",1
"adult standards",3
"disco",3
"synthpop",6
"hi-nrg",3
"southern rock",2
"alternative rock",4
"neue deutsche welle",1
"schlager",1
"german pop",1
"classic rock",3
"rock",4
"traditional country",1
"quiet storm",1
"funk",1
"alternative r&b",1
"europop",1
"eurodance",1
"pop",3
"ska punk",1
"ska",1
"punk",2
"skate punk",1
"christmas",2
"big band",2
"proto-punk",1
"jangle pop",2
"electroclash",1
"glam rock",1
"new wave",9
"grunge",2
"post-grunge",2
"hard rock",3
"country",3
"rock and roll",1
"post-punk",4
"funk rock",1
"vocal jazz",1
"jazz",1
"soft rock",1
"blues rock",2
"blues",2
"modern blues",2
"pop punk",1
"indie rock",1
"roots rock",1
"soul",1
"motown",1
"darkwave",1
"glam metal",1
